target_id,target_type,name_zh,page_type,page_status,card_id,card_status,issue_code,map_status,relation_count,coordinate_status,page_action,notes
V1-ENT-0058,person,阿图罗·里普斯坦,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0059,author,奥克塔维奥·帕斯,author,full,V1-CARD-0048,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0060,institution,经济文化基金出版社,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0061,institution,华金·莫蒂斯出版社,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0062,institution,墨西哥国立自治大学,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0063,institution,墨西哥国立原住民研究所,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0064,movement,墨西哥革命小说,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0065,event,基督战争,timeline_node,background_only,,,,,0,,进入时间线背景节点,历史事件不生成独立地图层
V1-ENT-0066,event,1968 年特拉特洛尔科事件与加罗流亡,timeline_node,background_only,,,,,0,,进入时间线背景节点,历史事件不生成独立地图层
V1-ENT-0067,theme,时间与历史,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0068,theme,暴力与语言,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0069,theme,沉默,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0070,theme,革命与基督战争,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0071,theme,乡村与革命后的土地,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0072,author,加西亚·马尔克斯,author,full,V1-CARD-0021,meets,NONE,,5,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0073,author,胡利奥·科塔萨尔,author,full,V1-CARD-0025,meets,NONE,,6,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0074,author,阿莱霍·卡彭铁尔,author,full,V1-CARD-0029,meets,NONE,,5,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0075,work,《百年孤独》,work,full,V1-CARD-0022,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0076,work,《没有人给他写信的上校》,work,full,V1-CARD-0023,meets,DUAL-YEAR,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0077,work,《一桩事先张扬的凶杀案》,work,full,V1-CARD-0024,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0078,work,《跳房子》,work,full,V1-CARD-0026,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0079,work,《人间王国》,work,full,V1-CARD-0030,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0080,work,《消逝的足迹》,work,full,V1-CARD-0031,meets,HOLD-YEAR,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0081,work,《光明世纪》,work,full,V1-CARD-0032,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0082,collection,《动物寓言集》,collection_module,module_only,V1-CARD-0027,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0083,collection,《游戏的终结》,collection_module,module_only,V1-CARD-0028,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0084,work,《另一个天空》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0085,work,《口袋里发现的手稿》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0086,adaptation,《水晶天空》,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0087,adaptation,《地下游戏》,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0088,person,妮娜·格罗塞,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0089,person,罗贝托·热尔维茨,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0090,character,圣地亚哥·纳萨尔,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0091,character,上校（《没有人给他写信的上校》人物）,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0092,character,奥古斯丁,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0093,character,马康达尔,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0094,character,亨利·克里斯托夫,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0095,place,哥伦比亚,country,full,,,,featured,2,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0096,place,古巴,country,full,,,,featured,7,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0097,place,马孔多,fictional_space,full_without_point,,,,featured,2,none,生成文学空间页,文学空间不使用现实坐标
V1-ENT-0098,place,阿卡塔卡,real_place,full_with_point,,,,eligible,1,locality_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0099,movement,魔幻现实主义,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0100,movement,美洲神奇现实,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0101,movement,新巴洛克,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0102,theme,伦理与人性,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0103,theme,贫困与政治暴力,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0104,theme,罪责与真相的悬置,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0105,theme,读者参与与反传统叙事,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0106,theme,梦境与现实的模糊,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0107,theme,面具游戏与自我的折叠,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0108,theme,跨文化与美洲身份,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0109,theme,美洲与西方传统,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0110,theme,艺术、启蒙与现代性批判,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0111,theme,城市浪漫与偶然,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0112,event,1982 年诺贝尔文学奖,timeline_node,background_only,,,,,0,,进入时间线背景节点,历史事件不生成独立地图层
V1-ENT-0113,institution,塞万提斯学院,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0114,author,马里奥·巴尔加斯·略萨,author,full,V1-CARD-0033,meets,NONE,,6,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0115,author,巴勃罗·聂鲁达,author,full,V1-CARD-0037,meets,AUTHOR-LEVEL-POLITICAL,,5,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0116,work,《城市与狗》,work,full,V1-CARD-0034,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0117,work,《酒吧长谈》,work,full,V1-CARD-0035,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0118,work,《世界末日之战》,work,full,V1-CARD-0036,meets,CONTEXT-EVENT,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0119,collection,《二十首情诗和一支绝望的歌》,collection_module,module_only,V1-CARD-0038,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0120,collection,《大地上的居所》,collection_module,module_only,V1-CARD-0039,meets,POLITICAL-GAP,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0121,collection,《漫歌》,collection_module,module_only,V1-CARD-0040,meets,POLITICAL-HOLD,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0122,work,《马丘比丘高地》,work,related_only,,,,,0,,保留关联节点,无 V1 作品卡；不得用策展文案补足完整页
V1-ENT-0123,place,智利,country,full,,,,featured,8,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0124,place,秘鲁,country,full,,,,featured,5,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0125,place,利马,real_place,full_with_point,,,,eligible,3,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0126,place,阿雷基帕,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0127,place,帕拉尔,real_place,full_with_point,,,,hidden,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0128,place,圣地亚哥,real_place,full_with_point,,,,eligible,2,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0129,place,马德里,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0130,movement,文学爆炸,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0131,movement,现代主义,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0132,movement,先锋派,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0133,theme,利马的困闭与逃避,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0134,theme,知识分子的失败与公众角色,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0135,theme,殖民视角与去殖民思想,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0136,theme,爱情体验,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0137,theme,大陆命运与美洲史诗,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0138,theme,政治与社会承诺,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0139,event,卡努杜斯战争,timeline_node,background_only,,,,,0,,进入时间线背景节点,历史事件不生成独立地图层
V1-ENT-0140,event,1973 年智利政变,timeline_node,background_only,,,,,0,,进入时间线背景节点,历史事件不生成独立地图层
V1-ENT-0141,character,劝世者,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0142,person,玛丽亚·安东涅塔·阿吉雷,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0143,person,德莉亚·德尔·卡里尔,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0144,institution,智利共产党,related_node,research_only,,,,,0,,保留研究关联节点,当前无独立页面模板
V1-ENT-0145,author,卡洛斯·富恩特斯,author,full,V1-CARD-0041,meets,NONE,,4,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0146,work,《最明净的地区》,work,full,V1-CARD-0042,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0147,work,《阿尔特米奥·克罗斯之死》,work,full,V1-CARD-0043,meets,TRANSLATION-YEAR-HOLD,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0148,author,加夫列拉·米斯特拉尔,author,full,V1-CARD-0044,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0149,collection,《绝望集》,collection_module,module_only,V1-CARD-0045,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0150,collection,《柔情集》,collection_module,module_only,V1-CARD-0046,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0151,collection,《塔拉集》,collection_module,module_only,V1-CARD-0047,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0153,place,比库尼亚,real_place,full_with_point,,,,eligible,1,city_centroid,生成地点页,坐标精度与来源在页面显示
V1-ENT-0154,work,《孤独的迷宫》,work,full,V1-CARD-0049,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0155,work,《弓与琴》,work,full,V1-CARD-0050,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0156,work,《太阳石》,work,full,V1-CARD-0051,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0158,work,《霍乱时期的爱情》,work,full,V1-CARD-0052,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0159,work,《族长的秋天》,work,full,V1-CARD-0053,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0160,work,《绿房子》,work,full,V1-CARD-0054,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0161,work,《潘达雷昂上尉与劳军女郎》,work,full,V1-CARD-0055,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0162,collection,《沙之书》,collection_module,module_only,V1-CARD-0056,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0163,collection,《布罗迪报告》,collection_module,module_only,V1-CARD-0057,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0164,collection,《秘密武器》,collection_module,module_only,V1-CARD-0058,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0165,collection,《一百首爱情十四行诗》,collection_module,module_only,V1-CARD-0059,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0166,collection,《隐秘的幸福》,collection_module,module_only,V1-CARD-0060,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0167,collection,《时间之战》,collection_module,module_only,V1-CARD-0061,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0168,work,《追击》,work,full,V1-CARD-0062,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0169,work,《奥拉》,work,full,V1-CARD-0063,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0170,author,米格尔·安赫尔·阿斯图里亚斯,author,full,V1-CARD-0064,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0171,author,伊莎贝尔·阿连德,author,full,V1-CARD-0068,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0172,author,若热·亚马多,author,full,V1-CARD-0072,meets,NONE,,4,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0173,work,《总统先生》,work,full,V1-CARD-0065,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0174,work,《玉米人》,work,full,V1-CARD-0066,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0175,collection,《危地马拉传说》,collection_module,module_only,V1-CARD-0067,meets,NONE,,0,,进入作者/作品页关联模块,V2-N2 不单独建设集合页
V1-ENT-0176,work,《幽灵之家》,work,full,V1-CARD-0069,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0177,work,《爱情与阴影》,work,full,V1-CARD-0070,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0178,work,《伊娃·露娜》,work,full,V1-CARD-0071,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0179,work,《弗洛尔和她的两个丈夫》,work,full,V1-CARD-0073,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0180,work,《加布里埃拉》,work,full,V1-CARD-0074,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0181,work,《沙滩船长》,work,full,V1-CARD-0075,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0182,place,危地马拉,country,full,,,,featured,1,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0183,place,巴西,country,full,,,,featured,7,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0184,author,胡安·卡洛斯·奥内蒂,author,full,V1-CARD-0076,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0185,author,何塞·多诺索,author,full,V1-CARD-0080,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0186,author,埃内斯托·萨瓦托,author,full,V1-CARD-0084,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0187,work,《短暂的生命》,work,full,V1-CARD-0077,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0188,work,《造船厂》,work,full,V1-CARD-0078,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0189,work,《告别》,work,full,V1-CARD-0079,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0190,work,《污秽的夜鸟》,work,full,V1-CARD-0081,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0191,work,《无尽的地方》,work,full,V1-CARD-0082,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0192,work,《加冕》,work,full,V1-CARD-0083,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0193,work,《隧道》,work,full,V1-CARD-0085,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0194,work,《英雄与坟墓》,work,full,V1-CARD-0086,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0195,work,《毁灭者亚巴顿》,work,full,V1-CARD-0087,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0196,place,乌拉圭,country,full,,,,featured,5,country_polygon_required,生成国家页,国家层由 parent_place_id 和作者/作品地点关系驱动
V1-ENT-0197,place,圣玛丽亚,fictional_space,research_only,,,,hidden,0,none,保留研究节点，不进入默认地图,V1 当前没有正式文学地点关系
V1-ENT-0198,author,阿道夫·比奥伊·卡萨雷斯,author,full,V1-CARD-0088,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0199,author,奥古斯托·罗亚·巴斯托斯,author,full,V1-CARD-0092,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0200,author,奥拉西奥·基罗加,author,full,V1-CARD-0096,meets,NONE,,3,,生成完整作者页,V1 作者卡可直接支撑页面骨架
V1-ENT-0201,work,《莫雷尔的发明》,work,full,V1-CARD-0089,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0202,work,《逃亡计划》,work,full,V1-CARD-0090,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0203,work,《英雄的梦》,work,full,V1-CARD-0091,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0204,work,《人子》,work,full,V1-CARD-0093,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0205,work,《我，最高统帅》,work,full,V1-CARD-0094,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
V1-ENT-0206,work,《检察官》,work,full,V1-CARD-0095,meets,NONE,,0,,生成完整作品页,内容卡满足最低来源状态
