relation_candidate_id,relation_group_id,subject_candidate_id,subject_label,relation_type,object_candidate_id,object_label,description_zh,source_id,source_title,optional_locator,optional_evidence_note,confidence,dispute_status,issue_notes,extracted_by
B02-REL-0023,RG-B02-0023,B02-ENT-0003,阿莱霍·卡彭铁尔,ASSOCIATED_WITH_MOVEMENT,B02-ENT-0031,新巴洛克,卡彭铁尔与新巴洛克（neobarroco）相关,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 明确：Carpentier 发展 neobarroco,medium,needs_second_source,,EXT-AI-02
B02-REL-0024,RG-B02-0024,B02-ENT-0004,《百年孤独》,EXPLORES_THEME,B02-ENT-0032,伦理与人性,《百年孤独》探讨伦理与人性,B02-SRC-0001,Gabriel García Márquez y la ética en Cien años de soledad – I,论文摘要,Javeriana：伦理源于圣经神话、反映人性境况,high,needs_second_source,,EXT-AI-02
B02-REL-0025,RG-B02-0025,B02-ENT-0005,《没有人给他写信的上校》,EXPLORES_THEME,B02-ENT-0033,贫困与政治暴力,《没有人给他写信的上校》涉及贫困与政治暴力,B02-SRC-0002,Miseria y violencia en El Coronel no tiene quien le escriba,论文摘要,Encuentro：边缘化、贫困、政治暴力与被动抵抗,high,needs_second_source,,EXT-AI-02
B02-REL-0026,RG-B02-0026,B02-ENT-0006,《一桩事先张扬的凶杀案》,EXPLORES_THEME,B02-ENT-0034,罪责与真相的悬置,《一桩事先张扬的凶杀案》涉及罪责与真相的悬置,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,Atenea：犯罪仅为前文本，原始之罪归属悬空,medium,needs_second_source,,EXT-AI-02
B02-REL-0027,RG-B02-0027,B02-ENT-0007,《跳房子》,EXPLORES_THEME,B02-ENT-0035,读者参与与反传统叙事,《跳房子》体现读者参与与反传统叙事,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,论文摘要,Passagens：碎片叙事与读者积极参与、反传统,high,needs_second_source,,EXT-AI-02
B02-REL-0028,RG-B02-0028,B02-ENT-0011,《动物寓言集》,EXPLORES_THEME,B02-ENT-0036,梦境与现实的模糊,《动物寓言集》涉及梦境与现实的模糊,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius：人物与梦境概念的虚假关系,high,needs_second_source,,EXT-AI-02
B02-REL-0029,RG-B02-0029,B02-ENT-0012,《游戏的终结》,EXPLORES_THEME,B02-ENT-0036,梦境与现实的模糊,《游戏的终结》涉及梦境与现实的模糊,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius 分析《La noche boca arriba》（Final del juego 收录篇）梦境主题,medium,needs_second_source,,EXT-AI-02
B02-REL-0030,RG-B02-0030,B02-ENT-0012,《游戏的终结》,EXPLORES_THEME,B02-ENT-0037,面具游戏与自我的折叠,《游戏的终结》涉及面具游戏与自我的折叠,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",论文标题,UB 论文标题主题判断,medium,needs_second_source,,EXT-AI-02
B02-REL-0031,RG-B02-0031,B02-ENT-0008,《人间王国》,EXPLORES_THEME,B02-ENT-0038,跨文化与美洲身份,《人间王国》体现跨文化与美洲身份,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM：跨文化视角下的拉丁美洲呈现,high,needs_second_source,,EXT-AI-02
B02-REL-0032,RG-B02-0032,B02-ENT-0009,《消逝的足迹》,EXPLORES_THEME,B02-ENT-0039,美洲与西方传统,《消逝的足迹》涉及美洲与西方传统,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,PDF 首页,Maturo：美洲作为去蔽与西方传统新起点,medium,needs_second_source,,EXT-AI-02
B02-REL-0033,RG-B02-0033,B02-ENT-0010,《光明世纪》,EXPLORES_THEME,B02-ENT-0040,艺术、启蒙与现代性批判,《光明世纪》涉及艺术、启蒙与现代性批判,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",论文摘要,Letras：艺术物件与视觉体制批判启蒙现代性,high,needs_second_source,,EXT-AI-02
B02-REL-0034,RG-B02-0034,B02-ENT-0013,《另一个天空》,EXPLORES_THEME,B02-ENT-0041,城市浪漫与偶然,《另一个天空》体现城市浪漫与偶然,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes：科塔萨尔城市漫游式爱情主题,medium,needs_second_source,,EXT-AI-02
B02-REL-0035,RG-B02-0035,B02-ENT-0014,《口袋里发现的手稿》,EXPLORES_THEME,B02-ENT-0041,城市浪漫与偶然,《口袋里发现的手稿》体现城市浪漫与偶然,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes：同上主题,medium,needs_second_source,,EXT-AI-02
