fact_candidate_id,subject_candidate_id,subject_label,fact_field,value_candidate,source_id,source_title,confidence,dispute_status,issue_notes,extracted_by
B02-FCT-0034,B02-ENT-0006,《一桩事先张扬的凶杀案》,genre_or_form,小说（表面侦探小说结构）,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,high,none,Atenea：“novela detectivesca”表面结构反讽,EXT-AI-02
B02-FCT-0035,B02-ENT-0006,《一桩事先张扬的凶杀案》,one_sentence_summary,以圣地亚哥·纳萨尔之死为中心的重构叙事；犯罪仅是前文本，真正探究导致其被复仇杀害的原始之罪,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,high,none,,EXT-AI-02
B02-FCT-0036,B02-ENT-0006,《一桩事先张扬的凶杀案》,key_character,圣地亚哥·纳萨尔,B02-SRC-0003,Un relato sospechoso: Crónica de una muerte anunciada,high,none,,EXT-AI-02
B02-FCT-0037,B02-ENT-0007,《跳房子》,entity_layer,work,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,high,none,,EXT-AI-02
B02-FCT-0039,B02-ENT-0007,《跳房子》,genre_or_form,长篇小说,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,high,none,Passagens：“su obra más importante”,EXT-AI-02
B02-FCT-0040,B02-ENT-0007,《跳房子》,one_sentence_summary,打破传统小说观念的实验小说：碎片化叙述与多种话语交替，召唤读者积极参与文本生产,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,high,none,,EXT-AI-02
B02-FCT-0041,B02-ENT-0007,《跳房子》,research_note,Passagens 论文将 Rayuela 与《Último round》的“影格叙述”并置讨论,B02-SRC-0007,Cortázar: los relatos fragmentados y la importancia de un lector activo,medium,none,,EXT-AI-02
B02-FCT-0042,B02-ENT-0011,《动物寓言集》,entity_layer,collection,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,短篇集,EXT-AI-02
B02-FCT-0044,B02-ENT-0011,《动物寓言集》,genre_or_form,幻想短篇集,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,Orbis：“cuentos fantásticos de la primera etapa”,EXT-AI-02
B02-FCT-0045,B02-ENT-0011,《动物寓言集》,one_sentence_summary,科塔萨尔早期幻想短篇集；人物与梦境概念保持虚假关系，读者在幻想与真实之间被引导,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,,EXT-AI-02
B02-FCT-0046,B02-ENT-0012,《游戏的终结》,entity_layer,collection,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",high,none,短篇集,EXT-AI-02
B02-FCT-0048,B02-ENT-0012,《游戏的终结》,genre_or_form,幻想短篇集,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",high,none,,EXT-AI-02
B02-FCT-0049,B02-ENT-0012,《游戏的终结》,one_sentence_summary,UB 论文以《游戏的终结》为对象展开“面具游戏与自我折叠”的阅读路径研究（题名所载主题判断；正文摘要本站不可得）,B02-SRC-0009,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",medium,none,R1：删除来源不能证明的具体篇目清单，仅保留题名支持的最低表述,EXT-AI-02
B02-FCT-0050,B02-ENT-0008,《人间王国》,entity_layer,work,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0052,B02-ENT-0008,《人间王国》,genre_or_form,长篇小说,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0053,B02-ENT-0008,《人间王国》,one_sentence_summary,以跨文化视角呈现拉丁美洲：Mackandal 体现神奇现实，Henri Christophe 等人物代表“新世界”,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0054,B02-ENT-0008,《人间王国》,key_character,马康达尔;亨利·克里斯托夫,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0055,B02-ENT-0009,《消逝的足迹》,entity_layer,work,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,high,none,,EXT-AI-02
B02-FCT-0057,B02-ENT-0009,《消逝的足迹》,genre_or_form,长篇小说,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,high,none,,EXT-AI-02
B02-FCT-0058,B02-ENT-0009,《消逝的足迹》,one_sentence_summary,Maturo 以海德格尔 Kehre 概念解读：小说呈现“美洲作为去蔽与西方传统新起点”,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,medium,none,,EXT-AI-02
B02-FCT-0059,B02-ENT-0009,《消逝的足迹》,research_note,论文从阿尔瓦尔·努涅斯《遇难记》到卡彭铁尔《消逝的足迹》的谱系解读,B02-SRC-0012,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,medium,none,,EXT-AI-02
B02-FCT-0060,B02-ENT-0010,《光明世纪》,entity_layer,work,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",high,none,,EXT-AI-02
B02-FCT-0061,B02-ENT-0010,《光明世纪》,first_publication_year,1962,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",high,none,Letras 标题标注 (1962),EXT-AI-02
B02-FCT-0062,B02-ENT-0010,《光明世纪》,genre_or_form,长篇小说,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",high,none,,EXT-AI-02
B02-FCT-0063,B02-ENT-0010,《光明世纪》,one_sentence_summary,以艺术物件与视觉体制的 ecfrasis 组织叙事，批判启蒙现代性及其对拉丁美洲的影响,B02-SRC-0013,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",high,none,,EXT-AI-02
B02-FCT-0064,B02-ENT-0013,《另一个天空》,entity_layer,work,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,短篇,EXT-AI-02
B02-FCT-0065,B02-ENT-0013,《另一个天空》,one_sentence_summary,科塔萨尔短篇，1987 年由 Nina Grosse 改编为德国电影《水晶天空》（Der gläserne Himmel）,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,,EXT-AI-02
B02-FCT-0066,B02-ENT-0014,《口袋里发现的手稿》,entity_layer,work,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,短篇,EXT-AI-02
B02-FCT-0067,B02-ENT-0014,《口袋里发现的手稿》,one_sentence_summary,科塔萨尔短篇，2005 年由 Roberto Gervitz 改编为巴西电影《地下游戏》（Jogo subterraneo）,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,,EXT-AI-02
B02-FCT-0068,B02-ENT-0015,《水晶天空》,entity_layer,adaptation,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,电影改编,EXT-AI-02
B02-FCT-0069,B02-ENT-0015,《水晶天空》,first_publication_year,1987,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,德国长片,EXT-AI-02
B02-FCT-0070,B02-ENT-0016,《地下游戏》,entity_layer,adaptation,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,电影改编,EXT-AI-02
B02-FCT-0071,B02-ENT-0016,《地下游戏》,first_publication_year,2005,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,巴西长片,EXT-AI-02
B02-FCT-0072,B02-ENT-0017,妮娜·格罗塞,entity_layer,person,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,导演,EXT-AI-02
B02-FCT-0073,B02-ENT-0018,罗贝托·热尔维茨,entity_layer,person,B02-SRC-0008,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,high,none,导演,EXT-AI-02
B02-FCT-0074,B02-ENT-0022,马康达尔,entity_layer,character,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,文学人物,EXT-AI-02
B02-FCT-0075,B02-ENT-0022,马康达尔,one_sentence_summary,RFRM 论文：Mackandal 体现 lo real maravilloso，是跨文化产物本身,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,,EXT-AI-02
B02-FCT-0076,B02-ENT-0027,马孔多,entity_layer,place,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,虚构地点,EXT-AI-02
B02-FCT-0077,B02-ENT-0027,马孔多,one_sentence_summary,CVC：阿卡塔卡在马孔多名下重生，马孔多为虚构村落,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,,EXT-AI-02
B02-FCT-0078,B02-ENT-0029,魔幻现实主义,entity_layer,movement,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,,EXT-AI-02
B02-FCT-0079,B02-ENT-0030,美洲神奇现实,entity_layer,movement,B02-SRC-0011,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",high,none,与魔幻现实主义概念边界待 Codex 界定,EXT-AI-02
B02-FCT-0080,B02-ENT-0042,1982 年诺贝尔文学奖,entity_layer,event,B02-SRC-0005,The Nobel Prize in Literature 1982,high,none,,EXT-AI-02
B02-FCT-0081,B02-ENT-0042,1982 年诺贝尔文学奖,event_year,1982,B02-SRC-0005,The Nobel Prize in Literature 1982,high,none,NobelPrize.org,EXT-AI-02
B02-FCT-0082,B02-ENT-0043,塞万提斯学院,entity_layer,institution,B02-SRC-0004,CVC. Actos culturales. Gabriel García Márquez,high,none,,EXT-AI-02
B02-FCT-0083,B02-ENT-0002,胡利奥·科塔萨尔,one_sentence_summary,科塔萨尔早期幻想短篇（La otra orilla、Bestiario、Final del juego）中人物与梦境概念保持虚假关系,B02-SRC-0006,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,high,none,R1：自原 FCT-0014 拆出，梦境/早期幻想部分由 SRC-0006 单独支持,EXT-AI-02
