temporary_id,origin_material_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
CAND-B-FCT-011,CAND-B-SRC-001,CAND-B-ENT-001,entity_layer,author,fact,SRC-CAND-B-001,high,batch_retained_candidate,参照 V1-FCT-0178（聂鲁达 entity_layer=author）写法
CAND-B-FCT-012,CAND-B-SRC-001,CAND-B-ENT-001,birth_place,比库尼亚（Vicuña）,fact,"SRC-CAND-B-001（Born: 7 April 1889, Vicuña, Chile）",high,candidate_for_staging_review,"智利科金博大区 Elqui 河谷城镇（河谷/大区细节按 D1 移入 note）；既有 fact_field 词表无 birth_place，按操作手册 SOP-B §8 以事实记录；同一信息另以 ASSOCIATED_WITH_PLACE→比库尼亚承载；禁止 BORN_IN 关系"
CAND-B-FCT-013,CAND-B-SRC-003,CAND-B-ENT-002,first_publication_year,1922,fact,"SRC-CAND-B-003（Desolación. – New York : Instituto de las Españas, 1922）",high,batch_retained_candidate,首版书目直接来源；出版信息用字段，不用 PUBLISHED_IN 关系
CAND-B-FCT-014,CAND-B-SRC-003,CAND-B-ENT-002,genre_or_form,诗集（poesía）,fact,SRC-CAND-B-003,high,batch_retained_candidate,诗集层级=collection
CAND-B-FCT-015,CAND-B-SRC-003,CAND-B-ENT-002,bibliographic_note,"首版：New York : Instituto de las Españas, 1922（诺贝尔官网书目）；中文合集/诗选收录范围待核验",fact,SRC-CAND-B-003,high,batch_retained_candidate,参照既有 bibliographic_note 用法
CAND-B-FCT-016,CAND-B-SRC-003,CAND-B-ENT-003,first_publication_year,1924,fact,"SRC-CAND-B-003（Ternura : canciones de niños. – Madrid : Saturnino Calleja, 1924）",high,batch_retained_candidate,首版书目直接来源
CAND-B-FCT-017,CAND-B-SRC-001,CAND-B-ENT-003,genre_or_form,诗集（儿童摇篮曲与歌谣）,fact,SRC-CAND-B-001（contains lullabies and rhymes for children）,high,batch_retained_candidate,体裁描述出自 Nobel Facts 页
CAND-B-FCT-018,CAND-B-SRC-003,CAND-B-ENT-003,bibliographic_note,"首版：Madrid : Saturnino Calleja, 1924（Ternura: canciones de niños）；中文《柔情》/诗选收录范围待核验",fact,SRC-CAND-B-003,high,batch_retained_candidate,
CAND-B-FCT-019,CAND-B-SRC-001,CAND-B-ENT-003,one_sentence_summary,"以摇篮曲和儿童歌谣为主体的诗集（Nobel Facts 页：""contains lullabies and rhymes for children""）",fact,SRC-CAND-B-001,high,batch_retained_candidate,Nobel 官方表述直引
CAND-B-FCT-020,CAND-B-SRC-003,CAND-B-ENT-004,first_publication_year,1938,fact,"SRC-CAND-B-003（Tala. – Buenos Aires : Sur, 1938）",high,batch_retained_candidate,首版书目直接来源
CAND-B-FCT-021,CAND-B-SRC-003,CAND-B-ENT-004,genre_or_form,诗集（poesía）,fact,SRC-CAND-B-003,high,batch_retained_candidate,
CAND-B-FCT-022,CAND-B-SRC-003,CAND-B-ENT-004,bibliographic_note,"首版：Buenos Aires : Sur, 1938（诺贝尔官网书目）；中文收录待核验",fact,SRC-CAND-B-003,high,batch_retained_candidate,
CAND-B-FCT-023,CAND-B-SRC-001,CAND-B-ENT-004,one_sentence_summary,"采用不寻常意象与自由诗的诗集（Nobel Facts 页：""employs unusual imagery and free verse""）",fact,SRC-CAND-B-001,high,batch_retained_candidate,Nobel 官方表述直引
CAND-B-FCT-024,CAND-B-SRC-001,CAND-B-ENT-005,event_year_range,1945,context_fact,SRC-CAND-B-001,high,batch_retained_candidate,参照 V1-FCT-0221（卡努杜斯战争 event_year_range=1896-1897）写法
CAND-B-FCT-025,CAND-B-SRC-001,CAND-B-ENT-005,one_sentence_summary,"1945 年诺贝尔文学奖授予智利诗人加夫列拉·米斯特拉尔，系南美洲（拉丁美洲）首位获奖作家",context_fact,SRC-CAND-B-001,high,batch_retained_candidate,"参照 V1-ENT-0112（1982 年诺奖）实体模式；该既有事件暂无 facts，本候选为事件事实增强示例"
