fact_id,fact_candidate_id,subject_entity_id,fact_field,value,confidence,review_status,issue_notes
STG-FCT-0016,CAND-S2-FCT-0016,STG-ENT-0003,key_character,余准、斯蒂芬·艾伯特、理查德·马登、维克托·鲁内贝格、崔朋,high,accepted_for_n2,
STG-FCT-0017,CAND-S2-FCT-0017,STG-ENT-0003,key_place,阿什格罗夫、阿尔贝、青岛,medium,accepted_for_n2,
STG-FCT-0018,CAND-S2-FCT-0018,STG-ENT-0004,entity_layer,work,high,accepted_for_n2,与 1949 年同名作品集分层（REVIEW 3.3）
STG-FCT-0019,CAND-S2-FCT-0019,STG-ENT-0004,genre_or_form,短篇小说（UNIDAD 8 选文）,high,accepted_for_n2,
STG-FCT-0020,CAND-S2-FCT-0020,STG-ENT-0004,one_sentence_summary,叙述者博尔赫斯在亡友贝亚特丽斯表兄达内里宅邸地窖得见“包罗一切空间点的”阿莱夫,high,accepted_for_n2,
STG-FCT-0021,CAND-S2-FCT-0021,STG-ENT-0004,key_character,贝亚特丽斯·维特博、卡洛斯·阿亨蒂诺·达内里、博尔赫斯（叙述者）,high,accepted_for_n2,
STG-FCT-0022,CAND-S2-FCT-0022,STG-ENT-0004,key_place,加雷街,medium,accepted_for_n2,
STG-FCT-0023,CAND-S2-FCT-0023,STG-ENT-0004,bibliographic_note,卷首题词引《哈姆雷特》II.2 与《利维坦》IV.46；文末献词致 Estela Canto,medium,accepted_for_n2,
STG-FCT-0024,CAND-S2-FCT-0024,STG-ENT-0004,research_note,Rosman 专论《Politics of the Name: On Borges's “El Aleph”》围绕命名、共同语言、翻译、文学共同体与国家身份解读（Codex 已独立复核，REVIEW 3.1）,medium,accepted_for_n2,
STG-FCT-0025,CAND-S2-FCT-0025,STG-ENT-0011,entity_layer,collection,high,accepted_for_n2,
STG-FCT-0026,CAND-S2-FCT-0026,STG-ENT-0011,first_publication_year,1944,high,accepted_for_n2,
STG-FCT-0027,CAND-S2-FCT-0027,STG-ENT-0011,genre_or_form,短篇作品集,high,accepted_for_n2,
STG-FCT-0028,CAND-S2-FCT-0028,STG-ENT-0011,bibliographic_note,SRC-0007 页面记录：1944 初版、1956 修订,medium,accepted_for_n2,
STG-FCT-0029,CAND-S2-FCT-0029,STG-ENT-0012,entity_layer,collection,high,accepted_for_n2,与短篇《阿莱夫》分层（REVIEW 3.3）
STG-FCT-0030,CAND-S2-FCT-0030,STG-ENT-0012,first_publication_year,1949,medium,accepted_for_n2,作品集年份；短篇《阿莱夫》首发年未核定，不沿用
STG-FCT-0031,CAND-S2-FCT-0031,STG-ENT-0017,entity_layer,work,high,accepted_for_n2,
STG-FCT-0032,CAND-S2-FCT-0032,STG-ENT-0017,first_publication_year,1973,high,accepted_for_n2,
STG-FCT-0033,CAND-S2-FCT-0033,STG-ENT-0017,genre_or_form,官网列“Romance”；混合体裁、无常规情节（兼有小说/诗/日记/随笔碎片）,medium,accepted_for_n2,
STG-FCT-0034,CAND-S2-FCT-0034,STG-ENT-0017,one_sentence_summary,据 1971 年手稿《Objeto gritante》改写；主题为时间与“当下瞬间”、沉默、创作与女性声音,medium,accepted_for_n2,
STG-FCT-0035,CAND-S2-FCT-0035,STG-ENT-0017,bibliographic_note,源自更早专栏文字与《外国军团》中的文本,medium,accepted_for_n2,
STG-FCT-0036,CAND-S2-FCT-0036,STG-ENT-0017,research_note,晚年写作《活水》期间开始绘画，与超越言语达至沉默的努力并提,medium,accepted_for_n2,
STG-FCT-0037,CAND-S2-FCT-0037,STG-ENT-0018,entity_layer,work,high,accepted_for_n2,与 1985 年电影 adaptation 分层（REVIEW 3.3）
STG-FCT-0038,CAND-S2-FCT-0038,STG-ENT-0018,first_publication_year,1977,high,accepted_for_n2,
STG-FCT-0039,CAND-S2-FCT-0039,STG-ENT-0018,genre_or_form,官网列“Novela”（中篇小说）,medium,accepted_for_n2,
STG-FCT-0040,CAND-S2-FCT-0040,STG-ENT-0018,one_sentence_summary,东北部贫苦移民少女玛卡贝娅在里约被男友抛弃、遭友人背叛，叙述者罗德里戈·S.M. 反思书写她的故事,high,accepted_for_n2,
STG-FCT-0041,CAND-S2-FCT-0041,STG-ENT-0018,key_character,玛卡贝娅、奥林皮科、格洛里娅、罗德里戈·S.M.,medium,accepted_for_n2,
STG-FCT-0042,CAND-S2-FCT-0042,STG-ENT-0018,key_place,里约热内卢,medium,accepted_for_n2,
STG-FCT-0043,CAND-S2-FCT-0043,STG-ENT-0018,research_note,社会参与文学的悖论化为“虚构面具”；叙述者之声与作家之声时分时合，贫穷人物始终沉默,medium,accepted_for_n2,
STG-FCT-0044,CAND-S2-FCT-0044,STG-ENT-0019,entity_layer,collection,high,accepted_for_n2,13 篇短篇集；按试行 Schema §5 种子，最终命名待 N2
STG-FCT-0045,CAND-S2-FCT-0045,STG-ENT-0019,first_publication_year,1960,high,accepted_for_n2,
STG-FCT-0046,CAND-S2-FCT-0046,STG-ENT-0019,genre_or_form,短篇集（13 篇）,high,accepted_for_n2,
STG-FCT-0047,CAND-S2-FCT-0047,STG-ENT-0019,one_sentence_summary,从城市与家庭场景切入内心生活、家庭关系、沉默、姿态与揭示时刻,medium,accepted_for_n2,
STG-FCT-0048,CAND-S2-FCT-0048,STG-ENT-0019,bibliographic_note,1961 年获 Jabuti 文学奖,high,accepted_for_n2,
STG-FCT-0049,CAND-S2-FCT-0049,STG-ENT-0019,research_note,女性人物在 21 世纪仍具共鸣；网络语录多被去语境化，文章主张回到文本（fólio 百年诞辰专刊）,medium,accepted_for_n2,
STG-FCT-0050,CODEX-S2-FCT-0050,STG-ENT-0003,first_publication_year,1941,high,accepted_for_n2,Codex 权威来源补充
STG-FCT-0051,CODEX-S2-FCT-0051,STG-ENT-0004,first_publication_year,1945,high,accepted_for_n2,Codex 权威来源补充；替代候选实体中的 1949 误值
STG-FCT-0052,CODEX-S2-FCT-0052,STG-ENT-0016,death_year,1977,high,accepted_for_n2,Codex 权威来源补充
