legacy_candidate_id,source_id,source_title,source_level,source_task,mapping_action,master_candidate_id,proposed_order,mapping_note
B02-SRC-0011,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",A,V1-S3-B02,new_sequence_candidate,,024,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0012,SRC-0042,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,A,V1-S3-B02,new_sequence_candidate,,025,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0013,SRC-0043,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",A,V1-S3-B02,new_sequence_candidate,,026,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0001,SRC-0044,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",A,V1-S3-B03,new_sequence_candidate,,027,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0002,SRC-0045,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",A,V1-S3-B03,new_sequence_candidate,,028,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0003,SRC-0046,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",A,V1-S3-B03,new_sequence_candidate,,029,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0004,SRC-0047,Mario Vargas Llosa – Facts,B,V1-S3-B03,new_sequence_candidate,,030,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0005,SRC-0048,The Nobel Prize in Literature 2010,B,V1-S3-B03,new_sequence_candidate,,031,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0006,SRC-0049,"La experiencia del amor en la obra de Pablo Neruda y Nizar Qabbani. Un estudio comparativo entre los dos poemarios: ""Veinte poemas de amor y una canción desesperada"" y ""Cien cartas de amor""",A,V1-S3-B03,new_sequence_candidate,,032,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0007,SRC-0050,"Interpretación de ""residencia en la tierra"" de Pablo Neruda",A,V1-S3-B03,new_sequence_candidate,,033,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0008,SRC-0051,Diccionario del Canto General de Pablo Neruda,C,V1-S3-B03,new_sequence_candidate,,034,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0009,SRC-0052,Un événement poétique : le Canto General de Pablo Neruda,A,V1-S3-B03,new_sequence_candidate,,035,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0010,SRC-0053,« Veinte poemas de amor y una canción desesperada »,A,V1-S3-B03,new_sequence_candidate,,036,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0011,SRC-0054,Pablo Neruda – Facts,B,V1-S3-B03,new_sequence_candidate,,037,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B03-SRC-0012,SRC-0055,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,B,V1-S3-B03,new_sequence_candidate,,038,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0001,SRC-0056,Gabriel García Márquez – Facts,B,V1-S4-A01,new_sequence_candidate,,039,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0002,SRC-0057,Cien años de soledad: a Macondo-América de Gabriel García Márquez como representação do continente latino-americano,A,V1-S4-A01,new_sequence_candidate,,040,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0003,SRC-0046,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa（开放 PDF 全文核验）",A,V1-S4-A01,reuse_existing,B03-SRC-0003,041,同文复用 B03-SRC-0003 的正式来源记录
A01-SRC-0004,SRC-0042,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana（参考文献书目核验）,A,V1-S4-A01,reuse_existing,B02-SRC-0012,042,同文复用 B02-SRC-0012 的正式来源记录
A01-SRC-0005,SRC-0058,Julio Cortázar (1914-1984),B,V1-S4-A01,new_sequence_candidate,,043,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0006,SRC-0059,El compromiso americano en la poesía de Neruda,A,V1-S4-A01,new_sequence_candidate,,044,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0007,SRC-0060,"Pablo Neruda, poesía y política",B,V1-S4-A01,new_sequence_candidate,,045,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0008,SRC-0061,Macchu Picchu as a symbol of Latin American borderlands in Pablo Neruda's «Alturas de Macchu Picchu»,B,V1-S4-A01,new_sequence_candidate,,046,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0009,SRC-0062,"Arquitectura poética de ""alturas de macchu picchu""",A,V1-S4-A01,new_sequence_candidate,,047,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A01-SRC-0010,SRC-0063,L'écriture comme vérité historique potentielle (A propos de La guerra del fin del mundo de Mario Vargas Llosa),A,V1-S4-A01,new_sequence_candidate,,048,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0001,SRC-0064,CVC. Gabriel García Márquez. Obra. Prosa,B,V1-S4-A02,new_sequence_candidate,,050,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0002,SRC-0065,L'objet du désir dans « El Perseguidor » de Julio Cortázar（落地页脚注）,A,V1-S4-A02,new_sequence_candidate,,051,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0003,SRC-0066,"Relatos : Bestiario, 1951, Las armas secretas, 1959, Final del juego, 1964, Todos los fuegos el fuego, 1966（BnF 目录记录，稳定 ark 页）",B,V1-S4-A02,new_sequence_candidate,,052,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0004,SRC-0067,Final del juego / Julio Cortazar（BnF 目录记录，稳定 ark 页）,B,V1-S4-A02,new_sequence_candidate,,053,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0005,SRC-0068,El Siglo de las luces / Alejo Carpentier（BnF 书目/权威标目记录页，稳定 ark 页）,B,V1-S4-A02,new_sequence_candidate,,054,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0006,SRC-0069,"Notice de personne « Cortázar, Julio (1914-1984) »（BnF 权威记录，稳定 ark 页）",B,V1-S4-A02,new_sequence_candidate,,055,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0007,SRC-0070,CVC. Pablo Neruda. Bibliografía,B,V1-S4-A02,new_sequence_candidate,,056,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0008,SRC-0071,Les Cristeros / Hugues Kéraly（BnF 目录记录，稳定 ark 页）,B,V1-S4-A02,new_sequence_candidate,,057,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
A02-RECHECK-SRC-0009,SRC-0072,Noviciado y apoteosis de Ti Noel en « El reino de este mundo » de Alejo Carpentier（落地页脚注）,A,V1-S4-A02,new_sequence_candidate,,058,按 A02 R1 REVIEW 批准顺序分配新正式来源 ID
B02-SRC-0010,,Dialnet: búsqueda «Cortázar»,D,V1-S3-B02,hold,,,D 级查询页继续 hold，不分配正式来源 ID
B02-SRC-0014,,Dialnet: búsqueda «Carpentier»,D,V1-S3-B02,hold,,,D 级查询页继续 hold，不分配正式来源 ID
B02-SRC-0015,,Dialnet: búsqueda «El reino de este mundo»,D,V1-S3-B02,hold,,,D 级查询页继续 hold，不分配正式来源 ID
