relation_hold_id,origin_layer,origin_relation_group_id,subject_id,relation_type,object_id,description_zh,confidence,review_status,evidence_count,issue_code
V1-HOLD-0036,B03,RG-B03-0018,V1-ENT-0115,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0132,聂鲁达与先锋派革新关联,medium,hold_needs_second_source,1,NONE
V1-HOLD-0037,B03,RG-B03-0019,V1-ENT-0116,EXPLORES_THEME,V1-ENT-0133,《城市与狗》体现利马的困闭与逃避,high,hold_needs_second_source,1,NONE
V1-HOLD-0038,B03,RG-B03-0020,V1-ENT-0117,EXPLORES_THEME,V1-ENT-0134,《酒吧长谈》涉及知识分子的失败与公众角色,high,hold_needs_second_source,1,NONE
V1-HOLD-0039,B03,RG-B03-0021,V1-ENT-0118,EXPLORES_THEME,V1-ENT-0135,《世界末日之战》体现殖民视角与去殖民思想,high,hold_needs_second_source,1,NONE
V1-HOLD-0040,B03,RG-B03-0022,V1-ENT-0119,EXPLORES_THEME,V1-ENT-0136,《二十首情诗和一支绝望的歌》涉及爱情体验,high,hold_needs_second_source,1,NONE
V1-HOLD-0041,WEB-CE-B01,CAND-B-REL-006,V1-ENT-0148,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0131,"早期诗作受现代主义（Modernismo）影响；文学史亦有将其归入现代主义之后""后现代主义""（posmodernismo）一代的归类",medium,hold,1,hold_needs_second_source
V1-HOLD-0042,WEB-CE-B01,CAND-C-REL-006,V1-ENT-0059,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0132,帕斯与先锋派：青年时期创办先锋派文学杂志《Barandal》,medium,hold,1,hold_needs_second_source
V1-HOLD-0043,WEB-CE-B01,CAND-C-REL-008,V1-ENT-0154,EXPLORES_THEME,V1-ENT-0107,《孤独的迷宫》与墨西哥身份/面具主题,low,hold,0,hold_needs_second_source
V1-HOLD-0044,WEB-CE-B01,CAND-D-REL-12,V1-ENT-0158,SET_IN,V1-ENT-0095,《霍乱时期的爱情》设定于哥伦比亚（通行与卡塔赫纳关联）,low,hold,0,NEEDS_SOURCE
V1-HOLD-0045,WEB-CE-B01,CAND-D-REL-13,V1-ENT-0160,SET_IN,V1-ENT-0124,《绿房子》设定于秘鲁（通行与皮乌拉/亚马逊关联）,low,hold,0,NEEDS_SOURCE
V1-HOLD-0046,WEB-CE-B01,CAND-D-REL-14,V1-ENT-0158,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0099,《霍乱时期的爱情》与魔幻现实主义的运动关联,low,hold,0,hold_needs_second_source
V1-HOLD-0047,WEB-CE-B01,CAND-D-REL-15,V1-ENT-0159,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0099,《族长的秋天》与魔幻现实主义的运动关联,low,hold,0,hold_needs_second_source
V1-HOLD-0048,WEB-CE-B01,CAND-D-REL-16,V1-ENT-0164,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0130,《秘密武器》作者科塔萨尔与文学爆炸的关联,low,hold,1,hold_needs_second_source
V1-HOLD-0049,WEB-CE-B01,CAND-D-REL-17,V1-ENT-0160,ASSOCIATED_WITH_MOVEMENT,V1-ENT-0130,《绿房子》与文学爆炸的关联,low,hold,0,hold_needs_second_source
V1-HOLD-0050,WEB-CE-B01,CAND-D-REL-19,V1-ENT-0158,EXPLORES_THEME,V1-ENT-0136,《霍乱时期的爱情》与爱情体验主题的关联,low,hold,0,hold_needs_second_source
