tier,candidate_id,author_id,author_name,original_title,recommended_name_zh,publication_year,recommended_entity_type,disposition,current_main_evidence,hierarchy_or_edition_note,research_gate_note
P1,,V1-ENT-0073,胡利奥·科塔萨尔,Todos los fuegos el fuego,《万火归一》,1966,collection,COLLECTION_OVERLAP,"原集实体0命中；V1-ENT-0084《另一个天空》是集内已存短篇；SRC-0066支持原集","可新增原集但不得重建子篇；CONTAINS_WORK须直接证据","2009全译信息可审；2017单行版未核"
P1,,V1-ENT-0273,里卡多·皮格利亚,La ciudad ausente,《缺席的城市》,1992,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","单一小说；2022中译本是edition","需补原语权威书目"
P1,,V1-ENT-0238,马里奥·贝内德蒂,Primavera con una esquina rota,《破角的春天》,1982,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","书信体/多声部仍为work","需补原语A/B来源"
P1,,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego II: Caras y máscaras,《火的记忆Ⅱ：面孔与面具》,1984,collection,STILL_MISSING,"规范化匹配0；仅卷I V1-ENT-0276在库","与卷I/III并列，不建series实体","《面具与面孔》只作alias；出版社为作家出版社"
P1,,V1-ENT-0272,爱德华多·加莱亚诺,Memoria del fuego III: El siglo del viento,《火的记忆Ⅲ：风的世纪》,1986,collection,STILL_MISSING,"规范化匹配0；仅卷I V1-ENT-0276在库","与卷I/II并列，不建series实体","中文edition线索与原作身份分层"
P1,,V1-ENT-0114,马里奥·巴尔加斯·略萨,La tía Julia y el escribidor,《胡利娅姨妈和作家》,1977,work,STILL_MISSING,"规范化匹配0；作者已有5条CREATED","单一小说；与字译名仅为中文变体","中文书目需补馆藏/出版社"
P1,,V1-ENT-0115,巴勃罗·聂鲁达,Odas elementales,《元素颂》,1954,collection,STILL_MISSING,"规范化匹配0；作者已有5条CREATED","独立诗集；不与《漫歌》或《马丘比丘高地》混同","中文版本需补出版社/馆藏"
P1,,V1-ENT-0262,罗贝托·波拉尼奥,Nocturno de Chile,《智利之夜》,2000,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","独立西语中篇；不是中文选编或身后汇编","译者/品牌/月仅C级，须补强"
P1,,V1-ENT-0016,克拉丽丝·李斯佩克朵,Perto do coração selvagem,《濒临狂野的心》,1944,work,STILL_MISSING,"规范化匹配0；作者已有6条CREATED","独立长篇；中文出版系列不是collection实体","《濒于狂野的心》只作alias"
P1,,V1-ENT-0072,加西亚·马尔克斯,Del amor y otros demonios,《爱情和其他魔鬼》,1994,work,STILL_MISSING,"规范化匹配0；作者已有5条CREATED","独立小说；台湾题名是地区edition-specific title","中文书目目前主要C级"
P1,,V1-ENT-0072,加西亚·马尔克斯,La hojarasca,《枯枝败叶》,1955,work,STILL_MISSING,"规范化匹配0；作者已有5条CREATED","独立作品；与其他马孔多作品互文但不属edition/collection","中文版本保持edition层"
P1,,V1-ENT-0072,加西亚·马尔克斯,Vivir para contarla,《活着为了讲述》,2002,work,STILL_MISSING,"规范化匹配0；作者已有5条CREATED","唯一完成的回忆录卷仍为独立work；不建series","中译出版月争议只影响edition"
P1,,V1-ENT-0185,何塞·多诺索,Historia personal del boom,《文学“爆炸”亲历记》,1972,work,STILL_MISSING,"规范化匹配0；作者已有3条CREATED","独立随笔/回忆录；1993/2021是同原作不同edition","不得与文学爆炸运动实体合并"
