relation_candidate_id,relation_group_id,subject_candidate_id,subject_label,relation_type,object_candidate_id,object_label,description_zh,source_id,source_title,optional_locator,optional_evidence_note,confidence,dispute_status,issue_notes,extracted_by
B03-REL-0011,RG-B03-0011,B03-ENT-0001,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,B03-ENT-0013,阿雷基帕,巴尔加斯·略萨与阿雷基帕关联,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,Nobel：生于阿雷基帕,high,none,,EXT-AI-02
B03-REL-0012,RG-B03-0012,B03-ENT-0001,马里奥·巴尔加斯·略萨,ASSOCIATED_WITH_PLACE,B03-ENT-0016,马德里,巴尔加斯·略萨与马德里关联,B03-SRC-0004,Mario Vargas Llosa – Facts,Facts 页,Nobel：大部分时间居于马德里,high,none,,EXT-AI-02
B03-REL-0013,RG-B03-0013,B03-ENT-0002,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,B03-ENT-0010,智利,聂鲁达与智利关联,B03-SRC-0011,Pablo Neruda – Facts,Facts 页,Nobel：Born/Died/Residence 智利,high,none,,EXT-AI-02
B03-REL-0014,RG-B03-0014,B03-ENT-0002,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,B03-ENT-0014,帕拉尔,聂鲁达与帕拉尔关联,B03-SRC-0011,Pablo Neruda – Facts,Facts 页,Nobel：生于帕拉尔,high,none,,EXT-AI-02
B03-REL-0015,RG-B03-0015,B03-ENT-0002,巴勃罗·聂鲁达,ASSOCIATED_WITH_PLACE,B03-ENT-0015,圣地亚哥,聂鲁达与圣地亚哥关联,B03-SRC-0011,Pablo Neruda – Facts,Facts 页,Nobel：赴圣地亚哥求学；卒于圣地亚哥,high,none,,EXT-AI-02
B03-REL-0016,RG-B03-0016,B03-ENT-0004,《酒吧长谈》,ASSOCIATED_WITH_MOVEMENT,B03-ENT-0017,文学爆炸,《酒吧长谈》与拉丁美洲文学爆炸关联,B03-SRC-0002,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文摘要,Catedral Tomada：小说为 Boom 时期文本，知识分子角色辩论居 Boom 中心,medium,needs_second_source,,EXT-AI-02
B03-REL-0017,RG-B03-0017,B03-ENT-0002,巴勃罗·聂鲁达,ASSOCIATED_WITH_MOVEMENT,B03-ENT-0018,现代主义,聂鲁达早期诗集与现代主义关联,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC：早期作品仍受现代主义影响,medium,needs_second_source,,EXT-AI-02
B03-REL-0018,RG-B03-0018,B03-ENT-0002,巴勃罗·聂鲁达,ASSOCIATED_WITH_MOVEMENT,B03-ENT-0019,先锋派,聂鲁达与先锋派革新关联,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC：以先锋派意图进行形式革新,medium,needs_second_source,,EXT-AI-02
B03-REL-0019,RG-B03-0019,B03-ENT-0003,《城市与狗》,EXPLORES_THEME,B03-ENT-0020,利马的困闭与逃避,《城市与狗》体现利马的困闭与逃避,B03-SRC-0001,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",论文摘要,Ángulo Recto 主题判断,high,needs_second_source,,EXT-AI-02
B03-REL-0020,RG-B03-0020,B03-ENT-0004,《酒吧长谈》,EXPLORES_THEME,B03-ENT-0021,知识分子的失败与公众角色,《酒吧长谈》涉及知识分子的失败与公众角色,B03-SRC-0002,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文摘要,Catedral Tomada 主题判断,high,needs_second_source,,EXT-AI-02
B03-REL-0021,RG-B03-0021,B03-ENT-0005,《世界末日之战》,EXPLORES_THEME,B03-ENT-0022,殖民视角与去殖民思想,《世界末日之战》体现殖民视角与去殖民思想,B03-SRC-0003,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",论文摘要,Letral 主题判断,high,needs_second_source,,EXT-AI-02
B03-REL-0022,RG-B03-0022,B03-ENT-0006,《二十首情诗和一支绝望的歌》,EXPLORES_THEME,B03-ENT-0023,爱情体验,《二十首情诗和一支绝望的歌》涉及爱情体验,B03-SRC-0006,"La experiencia del amor en la obra de Pablo Neruda y Nizar Qabbani. Un estudio comparativo entre los dos poemarios: ""Veinte poemas de amor y una canción desesperada"" y ""Cien cartas de amor""",PDF 首页摘要,Kadhim & Shalan 主题判断,high,needs_second_source,,EXT-AI-02
B03-REL-0023,RG-B03-0023,B03-ENT-0008,《漫歌》,EXPLORES_THEME,B03-ENT-0024,大陆命运与美洲史诗,《漫歌》体现大陆命运与美洲史诗,B03-SRC-0011,Pablo Neruda – Facts,Facts 页,Nobel：关于整个南美大陆的史诗；获奖理由涉及大陆命运与梦想,medium,none,,EXT-AI-02
B03-REL-0024,RG-B03-0023,B03-ENT-0008,《漫歌》,EXPLORES_THEME,B03-ENT-0024,大陆命运与美洲史诗,《漫歌》体现大陆命运与美洲史诗,B03-SRC-0012,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,数字展主展页,CVC：la epopeya que comienza con la telúrica cosmogonía（美洲史诗）,medium,none,,EXT-AI-02
