mapping_id,preview_entity_ref,origin_layer,origin_ref,entity_id,mapping_action,mapping_basis
V1-EMAP-0081,PRE-ENT-0080,B02,B02-ENT-0008,V1-ENT-0079,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0082,PRE-ENT-0081,B02,B02-ENT-0009,V1-ENT-0080,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0083,PRE-ENT-0082,B02,B02-ENT-0010,V1-ENT-0081,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0084,PRE-ENT-0083,B02,B02-ENT-0011,V1-ENT-0082,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0085,PRE-ENT-0084,B02,B02-ENT-0012,V1-ENT-0083,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0086,PRE-ENT-0085,B02,B02-ENT-0013,V1-ENT-0084,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0087,PRE-ENT-0086,B02,B02-ENT-0014,V1-ENT-0085,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0088,PRE-ENT-0087,B02,B02-ENT-0015,V1-ENT-0086,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0089,PRE-ENT-0088,B02,B02-ENT-0016,V1-ENT-0087,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0090,PRE-ENT-0089,B02,B02-ENT-0017,V1-ENT-0088,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0091,PRE-ENT-0090,B02,B02-ENT-0018,V1-ENT-0089,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0092,PRE-ENT-0091,B02,B02-ENT-0019,V1-ENT-0090,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0093,PRE-ENT-0092,B02,B02-ENT-0020,V1-ENT-0091,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0094,PRE-ENT-0093,B02,B02-ENT-0021,V1-ENT-0092,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0095,PRE-ENT-0094,B02,B02-ENT-0022,V1-ENT-0093,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0096,PRE-ENT-0095,B02,B02-ENT-0023,V1-ENT-0094,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0097,PRE-ENT-0096,B02,B02-ENT-0024,V1-ENT-0095,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0098,PRE-ENT-0098,B02,B02-ENT-0026,V1-ENT-0096,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0099,PRE-ENT-0099,B02,B02-ENT-0027,V1-ENT-0097,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0100,PRE-ENT-0100,B02,B02-ENT-0028,V1-ENT-0098,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0101,PRE-ENT-0101,B02,B02-ENT-0029,V1-ENT-0099,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0102,PRE-ENT-0102,B02,B02-ENT-0030,V1-ENT-0100,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0103,PRE-ENT-0103,B02,B02-ENT-0031,V1-ENT-0101,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0104,PRE-ENT-0104,B02,B02-ENT-0032,V1-ENT-0102,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0105,PRE-ENT-0105,B02,B02-ENT-0033,V1-ENT-0103,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0106,PRE-ENT-0106,B02,B02-ENT-0034,V1-ENT-0104,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0107,PRE-ENT-0107,B02,B02-ENT-0035,V1-ENT-0105,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0108,PRE-ENT-0108,B02,B02-ENT-0036,V1-ENT-0106,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0109,PRE-ENT-0109,B02,B02-ENT-0037,V1-ENT-0107,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0110,PRE-ENT-0110,B02,B02-ENT-0038,V1-ENT-0108,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0111,PRE-ENT-0111,B02,B02-ENT-0039,V1-ENT-0109,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0112,PRE-ENT-0112,B02,B02-ENT-0040,V1-ENT-0110,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0113,PRE-ENT-0113,B02,B02-ENT-0041,V1-ENT-0111,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0114,PRE-ENT-0114,B02,B02-ENT-0042,V1-ENT-0112,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0115,PRE-ENT-0115,B02,B02-ENT-0043,V1-ENT-0113,retain_as_formal_candidate,B02 批次已通过实体层
V1-EMAP-0116,PRE-ENT-0116,B03,B03-ENT-0001,V1-ENT-0114,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0117,PRE-ENT-0117,B03,B03-ENT-0002,V1-ENT-0115,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0118,PRE-ENT-0118,B03,B03-ENT-0003,V1-ENT-0116,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0119,PRE-ENT-0119,B03,B03-ENT-0004,V1-ENT-0117,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0120,PRE-ENT-0120,B03,B03-ENT-0005,V1-ENT-0118,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0121,PRE-ENT-0121,B03,B03-ENT-0006,V1-ENT-0119,retain_as_formal_candidate,A02-TC-0001/DEC-032 裁决：诗集以 collection 为准
V1-EMAP-0122,PRE-ENT-0122,B03,B03-ENT-0007,V1-ENT-0120,retain_as_formal_candidate,A02-TC-0002/DEC-032 裁决
V1-EMAP-0123,PRE-ENT-0123,B03,B03-ENT-0008,V1-ENT-0121,retain_as_formal_candidate,A02-TC-0003/DEC-032 裁决
V1-EMAP-0124,PRE-ENT-0124,B03,B03-ENT-0009,V1-ENT-0122,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0125,PRE-ENT-0125,B03,B03-ENT-0010,V1-ENT-0123,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0126,PRE-ENT-0126,B03,B03-ENT-0011,V1-ENT-0124,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0127,PRE-ENT-0127,B03,B03-ENT-0012,V1-ENT-0125,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0128,PRE-ENT-0128,B03,B03-ENT-0013,V1-ENT-0126,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0129,PRE-ENT-0129,B03,B03-ENT-0014,V1-ENT-0127,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0130,PRE-ENT-0130,B03,B03-ENT-0015,V1-ENT-0128,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0131,PRE-ENT-0131,B03,B03-ENT-0016,V1-ENT-0129,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0132,PRE-ENT-0132,B03,B03-ENT-0017,V1-ENT-0130,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0133,PRE-ENT-0133,B03,B03-ENT-0018,V1-ENT-0131,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0134,PRE-ENT-0134,B03,B03-ENT-0019,V1-ENT-0132,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0135,PRE-ENT-0135,B03,B03-ENT-0020,V1-ENT-0133,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0136,PRE-ENT-0136,B03,B03-ENT-0021,V1-ENT-0134,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0137,PRE-ENT-0137,B03,B03-ENT-0022,V1-ENT-0135,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0138,PRE-ENT-0138,B03,B03-ENT-0023,V1-ENT-0136,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0139,PRE-ENT-0139,B03,B03-ENT-0024,V1-ENT-0137,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0140,PRE-ENT-0140,B03,B03-ENT-0025,V1-ENT-0138,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0141,PRE-ENT-0141,B03,B03-ENT-0026,V1-ENT-0139,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0142,PRE-ENT-0142,B03,B03-ENT-0027,V1-ENT-0140,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0143,PRE-ENT-0143,B03,B03-ENT-0028,V1-ENT-0141,retain_as_formal_candidate,B03 批次已通过实体层；A02-TC-0013/A02 R1 REVIEW：文学人物 el Consejero 与历史人物 Antônio Conselheiro 保持不同引用
V1-EMAP-0144,PRE-ENT-0144,B03,B03-ENT-0029,V1-ENT-0142,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0145,PRE-ENT-0145,B03,B03-ENT-0030,V1-ENT-0143,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0146,PRE-ENT-0146,B03,B03-ENT-0031,V1-ENT-0144,retain_as_formal_candidate,B03 批次已通过实体层
V1-EMAP-0147,CAND-R1-ENT-01,WEB-CE-B01-R1,CAND-R1-ENT-01,V1-ENT-0145,retain_as_formal_candidate,Independent review PASS
V1-EMAP-0148,CAND-R1-ENT-02,WEB-CE-B01-R1,CAND-R1-ENT-02,V1-ENT-0146,retain_as_formal_candidate,Independent review PASS
V1-EMAP-0149,CAND-R1-ENT-03,WEB-CE-B01-R1,CAND-R1-ENT-03,V1-ENT-0147,retain_as_formal_candidate,Independent review PASS; translation publication year excluded
V1-EMAP-0150,PRE-ENT-WEBCE,WEB-CE-B01,CAND-B-ENT-001,V1-ENT-0148,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0151,PRE-ENT-WEBCE,WEB-CE-B01,CAND-B-ENT-002,V1-ENT-0149,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0152,PRE-ENT-WEBCE,WEB-CE-B01,CAND-B-ENT-003,V1-ENT-0150,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0153,PRE-ENT-WEBCE,WEB-CE-B01,CAND-B-ENT-004,V1-ENT-0151,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0154,PRE-ENT-WEBCE,WEB-CE-B01,CAND-B-ENT-006,V1-ENT-0153,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0155,PRE-ENT-WEBCE,WEB-CE-B01,CAND-C-W-001,V1-ENT-0154,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0156,PRE-ENT-WEBCE,WEB-CE-B01,CAND-C-W-002,V1-ENT-0155,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0157,PRE-ENT-WEBCE,WEB-CE-B01,CAND-C-W-003,V1-ENT-0156,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0158,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-01,V1-ENT-0158,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0159,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-02,V1-ENT-0159,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0160,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-03,V1-ENT-0160,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0161,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-04,V1-ENT-0161,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0162,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-07,V1-ENT-0162,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0163,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-08,V1-ENT-0163,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0164,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-09,V1-ENT-0164,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0165,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-10,V1-ENT-0165,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0166,PRE-ENT-WEBCE,WEB-CE-B01,CAND-D-ENT-11,V1-ENT-0166,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0167,PRE-ENT-WEBCE,WEB-CE-B01,CAND-PM-ENT-01,V1-ENT-0167,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0168,PRE-ENT-WEBCE,WEB-CE-B01,CAND-PM-ENT-02,V1-ENT-0168,retain_as_formal_candidate,WEB-CE-B01 批次已通过实体层
V1-EMAP-0169,PRE-ENT-WEBCE,WEB-CE-B01-HY3,CAND-HY3-ENT-01,V1-ENT-0169,retain_as_formal_candidate,WEB-CE-B01-HY3 批次已通过实体层
V1-EMAP-0170,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-MIGUEL-AUTHOR,V1-ENT-0170,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0171,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-ISABEL-AUTHOR,V1-ENT-0171,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0172,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-JORGE-AUTHOR,V1-ENT-0172,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0173,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0173-WORK,V1-ENT-0173,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0174,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0174-WORK,V1-ENT-0174,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0175,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0175-WORK,V1-ENT-0175,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0176,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0176-WORK,V1-ENT-0176,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0177,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0177-WORK,V1-ENT-0177,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0178,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0178-WORK,V1-ENT-0178,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0179,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0179-WORK,V1-ENT-0179,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0180,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0180-WORK,V1-ENT-0180,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0181,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0181-WORK,V1-ENT-0181,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
V1-EMAP-0182,PRE-ENT-WEBCE,WEB-CE-B02,CAND-B02-V1-ENT-0182-PLACE,V1-ENT-0182,retain_as_formal_candidate,B02 fresh preflight: no duplicate entity or CREATED relation
