curation_id,target_type,target_id,field_key,content_zh,status,draft_origin,research_refs,source_refs,basis_note,display_scope,sort_order,created_at,reviewed_at,reviewer,review_note,schema_version
V2-CUR-FULL-026,author,V1-ENT-0073,page_lede,阿根廷作家（1914-1984）：Passagens 论文认为其叙事自早期小说起即对抗既定文学规范，强调碎片叙事与读者参与。,auto_approved,codex,V1-CARD-0025,SRC-0037;SRC-0038;SRC-0058;SRC-0069,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-027,work,V1-ENT-0078,one_line_summary,一部以碎片化叙述和多种话语邀请读者参与文本组合的实验长篇小说。,auto_approved,codex,V1-CARD-0026;V1-FCT-0145,SRC-0038;SRC-0065,将已收录的一句话简介转换为读者导入；不扩写新的文学判断,detail;search,,2026-08-11,2026-08-13,CODEX,独立终审返修：论文归属与延伸解释留在研究层,v2-curation-0.1
V2-CUR-FULL-028,author,V1-ENT-0074,page_lede,古巴跨文化作家（1904-1980）：RFRM 论文认为其为呈现拉美本质发展出 lo real maravilloso 与 neobarroco。,auto_approved,codex,V1-CARD-0029,SRC-0041;SRC-0068,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-029,work,V1-ENT-0079,one_line_summary,一部围绕马康达尔与亨利·克里斯托夫展开的长篇小说；1949 年首次出版。,auto_approved,codex,V1-CARD-0030,SRC-0041;SRC-0072,仅组合正式人物、体裁与发表年份；论文解释留在研究层,detail;search,,2026-08-11,2026-08-13,CODEX,独立终审返修：低剧透导入只保留正式事实,v2-curation-0.1
V2-CUR-FULL-030,work,V1-ENT-0080,one_line_summary,长篇小说：Maturo 以海德格尔 Kehre 概念解读“美洲作为去蔽与西方传统新起点”。,auto_approved,codex,V1-CARD-0031,SRC-0042,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-031,work,V1-ENT-0081,one_line_summary,长篇小说（1962）：Letras 论文解读其以艺术物件与视觉体制批判启蒙现代性及其对拉美的影响。,auto_approved,codex,V1-CARD-0032,SRC-0043,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-032,author,V1-ENT-0114,page_lede,秘鲁小说家（1936-2025），2010 年诺贝尔文学奖得主。,auto_approved,codex,V1-CARD-0033,SRC-0047;SRC-0048,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-033,work,V1-ENT-0116,one_line_summary,一部以利马为故事背景的长篇小说；1963 年首次出版。,auto_approved,codex,V1-CARD-0034;V1-REL-0066,SRC-0044;SRC-0046,仅组合正式体裁、发表年份和 SET_IN 关系；论文解释留在研究层,detail;search,,2026-08-11,2026-08-13,CODEX,独立终审返修：低剧透导入只保留正式事实与关系,v2-curation-0.1
V2-CUR-FULL-034,work,V1-ENT-0117,one_line_summary,长篇小说（1969）：论文以该小说讨论文学爆炸中知识分子的角色与失败。,auto_approved,codex,V1-CARD-0035,SRC-0045,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-035,work,V1-ENT-0118,one_line_summary,一部将卡努杜斯战争写入虚构叙事的长篇小说；1981 年首次出版。,auto_approved,codex,V1-CARD-0036;V1-REL-0076,SRC-0046,仅组合正式作品事实与 BASED_ON_EVENT 关系；论文解释留在研究层,detail;search,,2026-08-11,2026-08-13,CODEX,独立终审返修：低剧透导入只保留正式事实与关系,v2-curation-0.1
V2-CUR-FULL-036,author,V1-ENT-0115,page_lede,智利诗人（1904-1973），1971 年诺贝尔文学奖得主，曾任外交官与智利共产党参议员。,auto_approved,codex,V1-CARD-0037,SRC-0054;SRC-0055,由 V1 内容卡的一句话简介机械转换；不新增研究事实。,detail;search,,2026-08-11,2026-08-11,CODEX,批量来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-037,place,V1-ENT-0008,literary_place_note,该地点保留 V1 文学关系，但现实/虚构分类仍待核验；当前不生成确定性地点导语。,hold,codex,V1-REL-0011,SRC-0002,地点分类未完成；不以策展文字代替地理与文学证据。,map;detail,,2026-08-11,2026-08-11,CODEX,保持 hold；不进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-038,place,V1-ENT-0009,literary_place_note,V1 已审核地点关系显示，《阿莱夫》故事核心地点为布宜诺斯艾利斯加雷街,auto_approved,codex,V1-REL-0012,SRC-0002,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-039,place,V1-ENT-0001,literary_place_note,V1 已审核地点关系显示，博尔赫斯与阿根廷关联,auto_approved,codex,V1-REL-0014,SRC-0002,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-040,place,V1-ENT-0054,literary_place_note,V1 已审核地点关系显示，《未来的回忆》故事发生于伊斯特佩克,auto_approved,codex,V1-REL-0032,SRC-0020,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-041,place,V1-ENT-0051,literary_place_note,V1 已审核地点关系显示，加罗与墨西哥关联；鲁尔福与墨西哥关联,auto_approved,codex,V1-REL-0035;V1-REL-0038,SRC-0017;SRC-0027,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-042,place,V1-ENT-0057,literary_place_note,V1 已审核地点关系显示，鲁尔福与圣加布里埃尔关联,auto_approved,codex,V1-REL-0039,SRC-0027,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-043,place,V1-ENT-0095,literary_place_note,V1 已审核地点关系显示，加西亚·马尔克斯与哥伦比亚关联,auto_approved,codex,V1-REL-0055,SRC-0035,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-044,place,V1-ENT-0096,literary_place_note,V1 已审核地点关系显示，卡彭铁尔与古巴关联,auto_approved,codex,V1-REL-0058,SRC-0041,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-045,place,V1-ENT-0125,literary_place_note,V1 已审核地点关系显示，《城市与狗》的故事以利马为背景；巴尔加斯·略萨与利马关联,auto_approved,codex,V1-REL-0066;V1-REL-0068,SRC-0044;SRC-0047,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-046,place,V1-ENT-0124,literary_place_note,V1 已审核地点关系显示，巴尔加斯·略萨与秘鲁关联,auto_approved,codex,V1-REL-0067,SRC-0047,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-047,place,V1-ENT-0126,literary_place_note,V1 已审核地点关系显示，巴尔加斯·略萨与阿雷基帕关联,auto_approved,codex,V1-REL-0069,SRC-0047,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-048,place,V1-ENT-0129,literary_place_note,V1 已审核地点关系显示，巴尔加斯·略萨与马德里关联,auto_approved,codex,V1-REL-0070,SRC-0047,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-049,place,V1-ENT-0123,literary_place_note,V1 已审核地点关系显示，聂鲁达与智利关联,auto_approved,codex,V1-REL-0071,SRC-0054,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-050,place,V1-ENT-0127,literary_place_note,V1 已审核地点关系显示，聂鲁达与帕拉尔关联,auto_approved,codex,V1-REL-0072,SRC-0054,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
V2-CUR-FULL-051,place,V1-ENT-0128,literary_place_note,V1 已审核地点关系显示，聂鲁达与圣地亚哥关联,auto_approved,codex,V1-REL-0073,SRC-0054,由 V1 已审核地点关系聚合；不增加关系类型或地点事实。,map;detail,,2026-08-11,2026-08-11,CODEX,来源核验通过；可进入公共阅读层,v2-curation-0.1
