entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes
V1-ENT-0012,collection,《阿莱夫》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0016,author,克拉丽丝·李斯佩克朵,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,6,3,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0017,work,《活水》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,6,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0018,work,《星辰时刻》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,8,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0019,collection,《家庭纽带》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0020,work,《G.H. 受难》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0022,place,里约热内卢,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0026,work,《生命的气息》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0029,author,埃莱娜·加罗,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,8,1,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,8,1,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0031,author,胡安·鲁尔福,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,8,1,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0032,work,《未来的回忆》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0033,collection,《彩色的一周》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0034,work,《关于玛丽安娜的证词》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0035,work,《巴伦坎南》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,6,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0036,work,《黑暗的职守》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0037,collection,《诗歌不是你》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0038,work,《佩德罗·巴拉莫》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,8,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0039,collection,《燃烧的原野》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0040,work,《金鸡》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0041,work,《La culpa es de los tlaxcaltecas》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0044,work,《永恒的女性》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0045,work,《费利佩·安赫莱斯》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0051,place,墨西哥,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0052,place,恰帕斯,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0053,place,科米坦,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0054,place,伊斯特佩克,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0055,place,科马拉,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0056,place,墨西哥城,RESEARCH_INSUFFICIENT,literary_intro,missing,0,0,0,literary_intro;spatial_meaning;reader_path;exploration_route,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0057,place,圣加布里埃尔,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0059,author,奥克塔维奥·帕斯,PUBLIC_BASIC,reader_lede,auto_approved,2,4,0,,8,1,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0072,author,加西亚·马尔克斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,9,3,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0073,author,胡利奥·科塔萨尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,7,4,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0074,author,阿莱霍·卡彭铁尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,7,2,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0075,work,《百年孤独》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,4,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0076,work,《没有人给他写信的上校》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,9,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0077,work,《一桩事先张扬的凶杀案》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,6,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0078,work,《跳房子》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,8,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0079,work,《人间王国》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,5,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0080,work,《消逝的足迹》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0081,work,《光明世纪》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0082,collection,《动物寓言集》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0083,collection,《游戏的终结》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,4,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0084,work,《另一个天空》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0085,work,《口袋里发现的手稿》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0095,place,哥伦比亚,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0096,place,古巴,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0097,place,马孔多,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0098,place,阿卡塔卡,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0114,author,马里奥·巴尔加斯·略萨,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,8,2,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0115,author,巴勃罗·聂鲁达,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,2,4,0,,11,3,yes,no,P2,USER_REVIEW_BATCH,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0116,work,《城市与狗》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0117,work,《酒吧长谈》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,7,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0118,work,《世界末日之战》,PUBLIC_BASIC,story_intro,auto_approved,2,4,0,,8,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0119,collection,《二十首情诗和一支绝望的歌》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,3,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0120,collection,《大地上的居所》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0121,collection,《漫歌》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,4,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0122,work,《马丘比丘高地》,RESEARCH_INSUFFICIENT,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0123,place,智利,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0124,place,秘鲁,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0125,place,利马,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0126,place,阿雷基帕,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0127,place,帕拉尔,RESEARCH_INSUFFICIENT,literary_intro,missing,0,0,0,literary_intro;spatial_meaning;reader_path;exploration_route,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0128,place,圣地亚哥,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0129,place,马德里,PUBLIC_STRONG,literary_intro,auto_approved,4,0,0,,0,0,no,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0145,author,卡洛斯·富恩特斯,PUBLIC_BASIC,reader_lede,auto_approved,2,4,0,,4,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0146,work,《最明净的地区》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,3,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0147,work,《阿尔特米奥·克罗斯之死》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,4,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0148,author,加夫列拉·米斯特拉尔,PUBLIC_BASIC,reader_lede,auto_approved,2,4,0,,12,1,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0149,collection,《绝望集》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,3,1,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0150,collection,《柔情集》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,4,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0151,collection,《塔拉集》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,4,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0153,place,比库尼亚,RESEARCH_INSUFFICIENT,literary_intro,missing,0,0,0,literary_intro;spatial_meaning;reader_path;exploration_route,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0154,work,《孤独的迷宫》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,5,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0155,work,《弓与琴》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,5,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0156,work,《太阳石》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,5,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0158,work,《霍乱时期的爱情》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0159,work,《族长的秋天》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0160,work,《绿房子》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,1,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0161,work,《潘达雷昂上尉与劳军女郎》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0162,collection,《沙之书》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0163,collection,《布罗迪报告》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0164,collection,《秘密武器》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0165,collection,《一百首爱情十四行诗》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0166,collection,《隐秘的幸福》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0167,collection,《时间之战》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0168,work,《追击》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0169,work,《奥拉》,PUBLIC_STRONG,story_intro,auto_approved,3,3,0,,8,2,yes,no,DEFER,KEEP,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0170,author,米格尔·安赫尔·阿斯图里亚斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,4,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0171,author,伊莎贝尔·阿连德,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0172,author,若热·亚马多,PUBLIC_BASIC,reader_lede,auto_approved,2,4,0,,5,3,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0173,work,《总统先生》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0174,work,《玉米人》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0175,collection,《危地马拉传说》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0176,work,《幽灵之家》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0177,work,《爱情与阴影》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0178,work,《伊娃·露娜》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0179,work,《弗洛尔和她的两个丈夫》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0180,work,《加布里埃拉》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0181,work,《沙滩船长》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0182,place,危地马拉,HOLD,literary_intro,hold,0,3,1,,0,0,no,no,P2,RESEARCH_FIRST,WCD-06E_RESEARCH_GAP_HANDOFF,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0183,place,巴西,USER_REVIEW_LOW_JUDGMENT,literary_intro,user_review,0,4,0,,0,0,no,no,P1,LOW_JUDGMENT_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0184,author,胡安·卡洛斯·奥内蒂,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed
V1-ENT-0185,author,何塞·多诺索,PUBLIC_BASIC,reader_lede,auto_approved,2,4,0,,4,2,yes,no,DEFER,REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed
