row_type,record_id,entity_type,display_name,degree,out_degree,in_degree,relationship_type_diversity,relationship_types,hold_count,current_state,priority,recommended_action,route,notes
ENTITY_NETWORK,V1-ENT-0020,work,《G.H. 受难》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0021,adaptation,《星辰时刻》,1,1,0,1,ADAPTED_FROM,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0022,place,里约热内卢,2,0,2,2,ASSOCIATED_WITH_PLACE;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0023,theme,家庭关系与内心生活,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0024,theme,时间、当下瞬间与沉默,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0025,theme,社会不平等与书写,1,0,1,1,EXPLORES_THEME,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0026,work,《生命的气息》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0027,theme,升华、沉默与女性写作（精神分析视角）,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0028,theme,女性人物与21世纪再读,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0029,author,埃莱娜·加罗,5,5,0,2,ASSOCIATED_WITH_PLACE;CREATED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0030,author,罗萨里奥·卡斯特利亚诺斯,6,6,0,2,ASSOCIATED_WITH_PLACE;CREATED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0031,author,胡安·鲁尔福,5,5,0,2,ASSOCIATED_WITH_PLACE;CREATED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0032,work,《未来的回忆》,3,1,2,3,ADAPTED_FROM;CREATED;SET_IN,2,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0033,collection,《彩色的一周》,2,1,1,2,CONTAINS_WORK;CREATED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0034,work,《关于玛丽安娜的证词》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0035,work,《巴伦坎南》,3,1,2,3,CREATED;EDITION_OF;SET_IN,2,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0036,work,《黑暗的职守》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0037,collection,《诗歌不是你》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0038,work,《佩德罗·巴拉莫》,3,1,2,3,CREATED;EDITION_OF;SET_IN,3,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0039,collection,《燃烧的原野》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0040,work,《金鸡》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0041,work,《La culpa es de los tlaxcaltecas》,1,0,1,1,CONTAINS_WORK,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0042,adaptation,《未来的回忆》（1968 年电影）,2,1,1,2,ADAPTED_FROM;DIRECTED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0043,edition,Balún-Canán（FCE 2007 版）,1,1,0,1,EDITION_OF,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0044,work,《永恒的女性》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0045,work,《费利佩·安赫莱斯》,1,0,1,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0046,edition,Pedro Páramo（FCE 1964 版）,1,1,0,1,EDITION_OF,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0047,character,弗朗西斯科·罗萨斯,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0048,character,胡利娅·安德拉德,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0049,character,胡安·普雷西亚多,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0050,character,佩德罗·巴拉莫（人物）,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0051,place,墨西哥,9,0,9,1,ASSOCIATED_WITH_PLACE,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0052,place,恰帕斯,2,0,2,2,ASSOCIATED_WITH_PLACE;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0053,place,科米坦,1,0,1,1,ASSOCIATED_WITH_PLACE,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0054,place,伊斯特佩克,1,0,1,1,SET_IN,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0055,place,科马拉,1,0,1,1,SET_IN,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0056,place,墨西哥城,4,0,4,2,ASSOCIATED_WITH_PLACE;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0057,place,圣加布里埃尔,1,0,1,1,ASSOCIATED_WITH_PLACE,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0058,person,阿图罗·里普斯坦,1,1,0,1,DIRECTED,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0059,author,奥克塔维奥·帕斯,5,5,0,2,ASSOCIATED_WITH_PLACE;CREATED,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0060,institution,经济文化基金出版社,0,0,0,0,,0,ZERO_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0061,institution,华金·莫蒂斯出版社,0,0,0,0,,0,ZERO_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0062,institution,墨西哥国立自治大学,0,0,0,0,,0,ZERO_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0063,institution,墨西哥国立原住民研究所,0,0,0,0,,0,ZERO_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0064,movement,墨西哥革命小说,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0065,event,基督战争,0,0,0,0,,0,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0066,event,1968 年特拉特洛尔科事件与加罗流亡,0,0,0,0,,0,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0067,theme,时间与历史,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0068,theme,暴力与语言,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0069,theme,沉默,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0070,theme,革命与基督战争,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0071,theme,乡村与革命后的土地,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0072,author,加西亚·马尔克斯,8,8,0,2,ASSOCIATED_WITH_PLACE;CREATED,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0073,author,胡利奥·科塔萨尔,6,6,0,1,CREATED,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0074,author,阿莱霍·卡彭铁尔,6,6,0,2,ASSOCIATED_WITH_PLACE;CREATED,2,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0075,work,《百年孤独》,2,1,1,2,CREATED;SET_IN,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0076,work,《没有人给他写信的上校》,1,0,1,1,CREATED,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0077,work,《一桩事先张扬的凶杀案》,1,0,1,1,CREATED,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0078,work,《跳房子》,3,2,1,2,CREATED;SET_IN,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0079,work,《人间王国》,1,0,1,1,CREATED,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0080,work,《消逝的足迹》,1,0,1,1,CREATED,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0081,work,《光明世纪》,2,1,1,2,CREATED;SET_IN,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0082,collection,《动物寓言集》,1,0,1,1,CREATED,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0083,collection,《游戏的终结》,1,0,1,1,CREATED,2,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0084,work,《另一个天空》,2,0,2,2,ADAPTED_FROM;CREATED,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0085,work,《口袋里发现的手稿》,2,0,2,2,ADAPTED_FROM;CREATED,1,CONNECTED,P1,HOLD_EVIDENCE_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0086,adaptation,《水晶天空》,2,1,1,2,ADAPTED_FROM;DIRECTED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0087,adaptation,《地下游戏》,2,1,1,2,ADAPTED_FROM;DIRECTED,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0088,person,妮娜·格罗塞,1,1,0,1,DIRECTED,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0089,person,罗贝托·热尔维茨,1,1,0,1,DIRECTED,0,WEAK_DEGREE,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0090,character,圣地亚哥·纳萨尔,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0091,character,上校（《没有人给他写信的上校》人物）,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0092,character,奥古斯丁,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0093,character,马康达尔,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0094,character,亨利·克里斯托夫,0,0,0,0,,0,ZERO_DEGREE,P0,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0095,place,哥伦比亚,1,0,1,1,ASSOCIATED_WITH_PLACE,1,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0096,place,古巴,7,0,7,2,ASSOCIATED_WITH_PLACE;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0097,place,马孔多,2,0,2,2,ASSOCIATED_WITH_PLACE;SET_IN,0,CONNECTED,DEFER,NO_AUTOMATIC_DENSIFICATION,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0098,place,阿卡塔卡,1,0,1,1,ASSOCIATED_WITH_PLACE,0,WEAK_DEGREE,P1,SEMANTIC_DIVERSITY_REVIEW,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0099,movement,魔幻现实主义,0,0,0,0,,3,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0100,movement,美洲神奇现实,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0101,movement,新巴洛克,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0102,theme,伦理与人性,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0103,theme,贫困与政治暴力,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0104,theme,罪责与真相的悬置,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0105,theme,读者参与与反传统叙事,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0106,theme,梦境与现实的模糊,0,0,0,0,,2,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0107,theme,面具游戏与自我的折叠,0,0,0,0,,2,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0108,theme,跨文化与美洲身份,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0109,theme,美洲与西方传统,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
ENTITY_NETWORK,V1-ENT-0110,theme,艺术、启蒙与现代性批判,0,0,0,0,,1,ZERO_DEGREE,P1,NECESSITY_REVIEW_THEN_RELATION_RESEARCH,WCD-05,"audit only; no relation, hold release, second-source research or schema change in WCD-04"
