asset_id,file_path,purpose,creator_or_rightsholder,source_page_url,license_name,license_url,attribution_required,modifications,width_px,height_px,size_bytes,verification_status,notes
AST-011,previews/wcd-11/imagery/assets/portraits/v1-ent-0002.jpg,作家档案身份栏肖像（豪尔赫·路易斯·博尔赫斯）,Grete Stern,"https://commons.wikimedia.org/wiki/File:Jorge_Luis_Borges_1951,_by_Grete_Stern.jpg",Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1025,162843,VERIFIED,SHA256 前缀 a3d13e3fb66dfbb6；Commons API 元数据核验（Public domain）
AST-012,previews/wcd-11/imagery/assets/portraits/v1-ent-0200.jpg,作家档案身份栏肖像（奥拉西奥·基罗加）,佚名,https://commons.wikimedia.org/wiki/File:Horacio_Quiroga_1897.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1015,200461,VERIFIED,SHA256 前缀 54f29cfbcb9f170c；Commons API 元数据核验（Public domain）
AST-013,previews/wcd-11/imagery/assets/portraits/v1-ent-0145.jpg,作家档案身份栏肖像（卡洛斯·富恩特斯）,Bernard Gotfryd,https://commons.wikimedia.org/wiki/File:Carlos_Fuentes_1987.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,989,138374,VERIFIED,SHA256 前缀 e196043399ad9d4e；Commons API 元数据核验（Public domain）
AST-014,previews/wcd-11/imagery/assets/portraits/v1-ent-0115.jpg,作家档案身份栏肖像＋首页作家精选缩略（巴勃罗·聂鲁达）,Annemarie Heinrich,"https://commons.wikimedia.org/wiki/File:Pablo_Neruda_by_Annemarie_Heinrich,_1954.jpg",Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,934,113563,VERIFIED,SHA256 前缀 23734cd6f1686f81；Commons API 元数据核验（Public domain）；视觉核验确为本人（作家，非同名政客）
AST-015,previews/wcd-11/imagery/assets/portraits/v1-ent-0171.jpg,作家档案身份栏肖像＋首页作家精选缩略（伊莎贝尔·阿连德）,Mutari,https://commons.wikimedia.org/wiki/File:Isabel_Allende_-_001.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1015,163032,VERIFIED,SHA256 前缀 27b9524b113b59ee；Commons API 元数据核验（Public domain）；视觉核验确为本人（作家，非同名政客）
AST-016,previews/wcd-11/imagery/assets/portraits/v1-ent-0030.jpg,作家档案身份栏肖像＋目录行缩略（罗萨里奥·卡斯特利亚诺斯）,Jesús Ortiz Tajonar（版画）· fedemx（摄影）,https://commons.wikimedia.org/wiki/File:Grabado_de_Rosario_Castellanos_por_Jesus_Ortiz_Tajonar_(1).jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,wsrv.nl 代理下载并等比缩至宽 720,720,960,187630,VERIFIED,SHA256 前缀 ad3e15eec1d2a6fe；Commons API 元数据核验（CC BY-SA 4.0，1951 版画肖像）
AST-017,previews/wcd-11/imagery/assets/portraits/v1-ent-0031.jpg,作家档案身份栏肖像＋目录行缩略（胡安·鲁尔福）,Lyon,https://commons.wikimedia.org/wiki/File:Rulfo_por_Lyon.jpg,Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载（原图 724 宽未缩放）,724,1008,112501,VERIFIED,SHA256 前缀 e820c6ff36ac39ce；Commons API 元数据核验（Public domain）
AST-018,previews/wcd-11/imagery/assets/portraits/v1-ent-0172.jpg,作家档案身份栏肖像＋目录行缩略（若热·亚马多）,Bernard Gotfryd,"https://commons.wikimedia.org/wiki/File:Jorge_Amado,_gtfy.00010.jpg",Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1011,168249,VERIFIED,SHA256 前缀 1d772c8c3e857cc0；Commons API 元数据核验（Public domain）
AST-019,previews/wcd-11/imagery/assets/portraits/v1-ent-0212.jpg,作家档案身份栏肖像＋目录行缩略（若昂·吉马朗埃斯·罗萨）,佚名,"https://commons.wikimedia.org/wiki/File:Guimarães_Rosa,_anos_1960.jpg",Public domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,948,79877,VERIFIED,SHA256 前缀 a24a8c5fe1f5b48f；Commons API 元数据核验（Public domain）
AST-020,previews/wcd-11/imagery/assets/portraits/v1-ent-0148.jpg,作家档案身份栏肖像＋目录行缩略（加夫列拉·米斯特拉尔）,佚名（智利国家图书馆藏）,https://commons.wikimedia.org/wiki/File:Retrato_lucila_godoy_1923_bcn.jpg,Public domain,no,,wsrv.nl 代理下载并等比缩至宽 720,720,1118,281823,VERIFIED,SHA256 前缀 87300d3686dd7ef4；Commons API 元数据核验（Public domain）
AST-021,previews/wcd-11/imagery/assets/portraits/v1-ent-0073.jpg,作家档案身份栏肖像＋目录行缩略（胡利奥·科塔萨尔）,Sara Facio,https://commons.wikimedia.org/wiki/File:Cortázar.jpg,Public domain,no,,wsrv.nl 代理下载并等比缩至宽 720,720,966,234255,VERIFIED,SHA256 前缀 d7714b10c79dfeac；Commons API 元数据核验（Public domain）
AST-022,previews/wcd-11/imagery/assets/portraits/v1-ent-0184.jpg,作家档案身份栏肖像＋目录行缩略（胡安·卡洛斯·奥内蒂）,Elisa Cabot,https://commons.wikimedia.org/wiki/File:Juan_Carlos_Onetti_1981.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,yes,wsrv.nl 代理下载并等比缩至宽 720,720,820,36071,VERIFIED,SHA256 前缀 9e47e92cae06e931；Commons API 元数据核验（CC BY-SA 2.0）
AST-023,previews/wcd-11/imagery/assets/portraits/v1-ent-0185.jpg,作家档案身份栏肖像＋目录行缩略（何塞·多诺索）,佚名,"https://commons.wikimedia.org/wiki/File:José_Donoso,_Estadio,_1953-10-10_(543).jpg",Public domain,no,,wsrv.nl 代理下载（罗亚·巴斯托斯为原生 526 宽，其余等比缩至 720）,720,1000,254519,VERIFIED,SHA256 前缀 248d9403426ac8b9；Commons API 元数据核验（Public domain）
AST-024,previews/wcd-11/imagery/assets/portraits/v1-ent-0199.jpg,作家档案身份栏肖像＋目录行缩略（奥古斯托·罗亚·巴斯托斯）,FF MM,https://commons.wikimedia.org/wiki/File:Escritor_Augusto_R._Bastos.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,wsrv.nl 代理下载（罗亚·巴斯托斯为原生 526 宽，其余等比缩至 720）,526,663,104879,WITHDRAWN_IDENTITY_UNVERIFIED,SHA256 前缀 885535e0a141c9b5；两轮独立视觉核验均不能人脸比对确认（Bastos 常见姓氏，文件名标注不足以核身份）；素材会话首轮已撤，2026-09-10 被 GLM 从同文件重登记后依更严标准再次撤回留痕；文件移 research/imagery-cache/withdrawn/
AST-025,previews/wcd-11/imagery/assets/portraits/v1-ent-0213.jpg,作家档案身份栏肖像＋目录行缩略（格拉西利亚诺·拉莫斯）,佚名,"https://commons.wikimedia.org/wiki/File:Graciliano_Ramos,_1940.tif",Public domain,no,,wsrv.nl 代理下载（罗亚·巴斯托斯为原生 526 宽，其余等比缩至 720）,720,867,94777,VERIFIED,SHA256 前缀 c575c0fe309aeeff；Commons API 元数据核验（Public domain）
AST-026,previews/wcd-11/imagery/assets/portraits/v1-ent-0198.jpg,作家档案身份栏肖像（比奥伊·卡萨雷斯）,Alicia D'Amico,https://commons.wikimedia.org/wiki/File:Adolfo_Bioy_Casares_1968.png,Public Domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载并等比缩至宽 720,720,1000,214690,VERIFIED,SHA256 前缀 da2cd4e824a87d1b；Commons API 元数据核验（Public Domain）；视觉核验
AST-027,previews/wcd-11/imagery/assets/portraits/v1-ent-0170.jpg,作家档案身份栏肖像（阿斯图里亚斯）,Dominique Roger,"https://commons.wikimedia.org/wiki/File:Miguel_Angel_Asturias,_Nobel_Prize_of_Literature_1967,_visit_at_the_Chateau_of_Cormeilles-en-Parisis.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,wsrv.nl 代理下载并等比缩至宽 720,720,955,188557,VERIFIED,SHA256 前缀 9fc718714aeda344；Commons API 元数据核验（CC BY-SA 3.0）；视觉核验（Dominique Roger 1967 诺贝尔年访问照）
AST-028,previews/wcd-11/imagery/assets/portraits/v1-ent-0186.jpg,作家档案身份栏肖像（萨瓦托）,Sara Facio - Alicia D'Amico,https://commons.wikimedia.org/wiki/File:Ernesto_Sabato_-_Antolog%C3%ADa.jpg,Public Domain,https://commons.wikimedia.org/wiki/Help:Public_domain,no,wsrv.nl 代理下载（Commons 仅提供 250/500px 预渲染缩略，取 500px 原生未放大）,500,522,68871,VERIFIED,SHA256 前缀 c5e9d52781789cc5；Commons API 元数据核验（Public Domain）；视觉核验
AST-029,previews/wcd-11/imagery/assets/backgrounds/parchment-field-v1.webp,imagery 全站羊皮纸板块背景,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,生成后以 Sharp 转为 WebP quality 82；不含人物/文字/标志/地图,1024,1024,167634,VERIFIED,SHA256 670c1bfbfd8887160e6611efffd0cfe5f7d44aa38fd80072430e3ec813a481c4；2026-09-10 1440/390 实拍核验
AST-030,previews/wcd-11/imagery/assets/backgrounds/nautical-chart-v1.webp,首页交互地图航海罗盘装饰底图,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,生成后以 Sharp 转为 WebP quality 84；仅罗盘/经纬网/航线/海浪装饰且不含真实国界/文字；权威地图几何仍由上层 Natural Earth SVG 提供,1536,1024,250558,VERIFIED,SHA256 d3da370510928079611683e7776f389039898771ab10c995b1e59ee47c888494；2026-09-10 1440/390 实拍核验
AST-031,previews/wcd-11/imagery/assets/backgrounds/literary-postage-stamp-v1.webp,首页 Hero 虚构文学邮票拼贴,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,Sharp 等比缩至宽 560 并转 WebP quality 88/alphaQuality 100；虚构蜂鸟与西番莲邮票；不复制真实邮票且无国旗国徽真人,560,747,239102,VERIFIED,SHA256 804414c072fdb9405a29ce99b10f58140f7a7bf4c60cea04e33d2806daac48a1；透明齿孔边；文字与 1440/390 实拍核验
AST-032,previews/wcd-11/imagery/assets/backgrounds/archive-masthead-v1.webp,全站档案横幅底图,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,Sharp 等比缩至宽 1667 并转 WebP quality 84；图像无文字；热带植物铜版画＋中央撕边纸＋安第斯山版画,1667,604,304878,VERIFIED,SHA256 d0a9bde7735c15cf890bd167a07ddabc3b24ae86f4fe05f01f938a24e3954c51；全站 139 壳加载；1440/390 实拍核验
AST-033,previews/wcd-11/imagery/assets/editorial/hero-caribbean-writing-desk-v1.webp,首页 Hero 加勒比旧式写作桌文化拼贴,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,Sharp 等比缩至宽 1440 并转 WebP quality 84；无人物无文字无标志,1440,1080,180834,VERIFIED,SHA256 c5d1b39fb57e10fddbf3d7f4fe73c36c50105921e32dd1b771a58e6a0665b810；2026-09-10 1440/390 实拍与浏览器加载核验
AST-034,previews/wcd-11/imagery/assets/editorial/hero-colonial-balcony-v1.webp,首页 Hero 殖民城市阳台文化明信片,LATAM 文学地图项目（OpenAI imagegen 按项目提示生成）,N/A,项目自有 AI 辅助生成候选资产,N/A,no,Sharp 等比缩至宽 720 并转 WebP quality 84；无人物无文字无标志,720,960,164840,VERIFIED,SHA256 1f0207123f2f051d6459fab35549f6747f0169b189012375eebb16d8e2942727；2026-09-10 1440/390 实拍与浏览器加载核验
