evidence_id,relation_hold_id,origin_evidence_id,source_id,source_title,locator,evidence_note,confidence,evidence_status
V1-HEV-0015,V1-HOLD-0015,B01-REL-0028,SRC-0024,La palabra sagrada. Violencia y lenguaje en Balún-Canán,,LM 论文：书面语/口语错位,medium,hold_evidence
V1-HEV-0016,V1-HOLD-0016,B01-REL-0029,SRC-0024,La palabra sagrada. Violencia y lenguaje en Balún-Canán,,LM 论文：沉默作为暴力形式,medium,hold_evidence
V1-HEV-0017,V1-HOLD-0017,B01-REL-0030,SRC-0028,Economía poética de Pedro Páramo: de la Revolución a la Cristiada,,LM 论文：片段 67 浓缩 1915-1929,medium,hold_evidence
V1-HEV-0018,V1-HOLD-0018,B01-REL-0031,SRC-0029,Pedro Páramo - Detalle de la obra,,作品页：革命后乡村书写,medium,hold_evidence
V1-HEV-0019,V1-HOLD-0019,B02-REL-0021,SRC-0035,CVC. Actos culturales. Gabriel García Márquez,数字展页,CVC 明确判断：“uno de los más grandes representantes del realismo mágico”,medium,hold_evidence
V1-HEV-0020,V1-HOLD-0020,B02-REL-0022,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 明确：Carpentier 发展出 lo real maravilloso 工具,high,hold_evidence
V1-HEV-0021,V1-HOLD-0021,B02-REL-0023,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM 明确：Carpentier 发展 neobarroco,medium,hold_evidence
V1-HEV-0022,V1-HOLD-0022,B02-REL-0024,SRC-0032,Gabriel García Márquez y la ética en Cien años de soledad – I,论文摘要,Javeriana：伦理源于圣经神话、反映人性境况,high,hold_evidence
V1-HEV-0023,V1-HOLD-0023,B02-REL-0025,SRC-0033,Miseria y violencia en El Coronel no tiene quien le escriba,论文摘要,Encuentro：边缘化、贫困、政治暴力与被动抵抗,high,hold_evidence
V1-HEV-0024,V1-HOLD-0024,B02-REL-0026,SRC-0034,Un relato sospechoso: Crónica de una muerte anunciada,PDF 首页,Atenea：犯罪仅为前文本，原始之罪归属悬空,medium,hold_evidence
V1-HEV-0025,V1-HOLD-0025,B02-REL-0027,SRC-0038,Cortázar: los relatos fragmentados y la importancia de un lector activo,论文摘要,Passagens：碎片叙事与读者积极参与、反传统,high,hold_evidence
V1-HEV-0026,V1-HOLD-0026,B02-REL-0028,SRC-0037,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius：人物与梦境概念的虚假关系,high,hold_evidence
V1-HEV-0027,V1-HOLD-0027,B02-REL-0029,SRC-0037,Esto no es un sueño: los personajes frente al concepto onírico en los primeros cuentos fantásticos de Julio Cortázar,论文摘要,Orbis Tertius 分析《La noche boca arriba》（Final del juego 收录篇）梦境主题,medium,hold_evidence
V1-HEV-0028,V1-HOLD-0028,B02-REL-0030,SRC-0040,"Jogos de máscaras e dobras do eu: encruzilhadas de leitura(s) a partir de ""Final de juego"" de Julio Cortázar",论文标题,UB 论文标题主题判断,medium,hold_evidence
V1-HEV-0029,V1-HOLD-0029,B02-REL-0031,SRC-0041,"Alejo Carpentier, autor transcultural. El caso de ""El reino de este mundo""",论文摘要,RFRM：跨文化视角下的拉丁美洲呈现,high,hold_evidence
V1-HEV-0030,V1-HOLD-0030,B02-REL-0032,SRC-0042,De los pasos perdidos de Alvar Núñez a los Pasos de Alejo Carpentier a través del concepto de la Kehre heideggeriana,PDF 首页,Maturo：美洲作为去蔽与西方传统新起点,medium,hold_evidence
V1-HEV-0031,V1-HOLD-0031,B02-REL-0033,SRC-0043,"Objetos de arte, écfrasis y regímenes escópicos en El siglo de las luces (1962) de Alejo Carpentier",论文摘要,Letras：艺术物件与视觉体制批判启蒙现代性,high,hold_evidence
V1-HEV-0032,V1-HOLD-0032,B02-REL-0034,SRC-0039,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes：科塔萨尔城市漫游式爱情主题,medium,hold_evidence
V1-HEV-0033,V1-HOLD-0033,B02-REL-0035,SRC-0039,Romance y azar en la ciudad: dos transposiciones de cuentos de Julio Cortázar,论文摘要,Anclajes：同上主题,medium,hold_evidence
V1-HEV-0034,V1-HOLD-0034,B03-REL-0016,SRC-0045,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文摘要,Catedral Tomada：小说为 Boom 时期文本，知识分子角色辩论居 Boom 中心,medium,hold_evidence
V1-HEV-0035,V1-HOLD-0035,B03-REL-0017,SRC-0055,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC：早期作品仍受现代主义影响,medium,hold_evidence
V1-HEV-0036,V1-HOLD-0036,B03-REL-0018,SRC-0055,CVC. Pablo Neruda.（数字展：主展页 + Biografía 页）,传记子页,CVC：以先锋派意图进行形式革新,medium,hold_evidence
V1-HEV-0037,V1-HOLD-0037,B03-REL-0019,SRC-0044,"Lima: encierro y evasión en ""La ciudad y los perros"" de Mario Vargas Llosa",论文摘要,Ángulo Recto 主题判断,high,hold_evidence
V1-HEV-0038,V1-HOLD-0038,B03-REL-0020,SRC-0045,"El Boom y el fracaso de los intelectuales. Sobre ""Conversación en la Catedral"" (1969) de Vargas Llosa y ""Cien años de soledad"" (1967) de García Márquez",论文摘要,Catedral Tomada 主题判断,high,hold_evidence
V1-HEV-0039,V1-HOLD-0039,B03-REL-0021,SRC-0046,"Canudos o la redención de los malditos: La guerra del fin del mundo, de Mario Vargas Llosa",论文摘要,Letral 主题判断,high,hold_evidence
V1-HEV-0040,V1-HOLD-0040,B03-REL-0022,SRC-0049,"La experiencia del amor en la obra de Pablo Neruda y Nizar Qabbani. Un estudio comparativo entre los dos poemarios: ""Veinte poemas de amor y una canción desesperada"" y ""Cien cartas de amor""",PDF 首页摘要,Kadhim & Shalan 主题判断,high,hold_evidence
