relation_candidate_id,relation_group_id,subject_candidate_id,subject_label,relation_type,object_candidate_id,object_label,description_zh,source_id,source_title,optional_locator,optional_evidence_note,confidence,dispute_status,issue_notes,extracted_by
B01-REL-0020,RG-B01-0020,B01-ENT-0001,埃莱娜·加罗,ASSOCIATED_WITH_PLACE,B01-ENT-0023,墨西哥,加罗与墨西哥关联,B01-SRC-0001,Elena Garro - Detalle del autor,,词条（国籍/生平）,high,none,,EXT-AI-02
B01-REL-0021,RG-B01-0021,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,ASSOCIATED_WITH_PLACE,B01-ENT-0024,恰帕斯,卡斯特利亚诺斯与恰帕斯关联,B01-SRC-0006,Rosario Castellanos - Detalle del autor,,词条：幼年迁居恰帕斯科米坦,high,none,,EXT-AI-02
B01-REL-0022,RG-B01-0022,B01-ENT-0002,罗萨里奥·卡斯特利亚诺斯,ASSOCIATED_WITH_PLACE,B01-ENT-0025,科米坦,卡斯特利亚诺斯与科米坦关联,B01-SRC-0006,Rosario Castellanos - Detalle del autor,,词条：童年地,medium,none,,EXT-AI-02
B01-REL-0023,RG-B01-0023,B01-ENT-0003,胡安·鲁尔福,ASSOCIATED_WITH_PLACE,B01-ENT-0023,墨西哥,鲁尔福与墨西哥关联,B01-SRC-0011,Juan Rulfo - Detalle del autor,,词条（国籍/生平）,high,none,,EXT-AI-02
B01-REL-0024,RG-B01-0024,B01-ENT-0003,胡安·鲁尔福,ASSOCIATED_WITH_PLACE,B01-ENT-0029,圣加布里埃尔,鲁尔福与圣加布里埃尔关联,B01-SRC-0011,Juan Rulfo - Detalle del autor,,词条：童年成长地,medium,none,,EXT-AI-02
B01-REL-0025,RG-B01-0025,B01-ENT-0010,《佩德罗·巴拉莫》,ASSOCIATED_WITH_MOVEMENT,B01-ENT-0036,墨西哥革命小说,《佩德罗·巴拉莫》与墨西哥革命小说传统对话,B01-SRC-0013,Pedro Páramo - Detalle de la obra,,作品页：“cosmopolitismo 与革命小说之间”,low,needs_second_source,解释性/文学史判断，单来源,EXT-AI-02
B01-REL-0026,RG-B01-0026,B01-ENT-0004,《未来的回忆》,EXPLORES_THEME,B01-ENT-0039,记忆与遗忘,《未来的回忆》探讨记忆与遗忘,B01-SRC-0003,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro,,RCL 论文：记忆/anámnesis 与历史真相,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
B01-REL-0027,RG-B01-0027,B01-ENT-0004,《未来的回忆》,EXPLORES_THEME,B01-ENT-0040,时间与历史,《未来的回忆》涉及时间与历史,B01-SRC-0003,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro,,RCL 论文：消解过去/未来分裂,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
B01-REL-0028,RG-B01-0028,B01-ENT-0007,《巴伦坎南》,EXPLORES_THEME,B01-ENT-0041,暴力与语言,《巴伦坎南》探讨暴力与语言,B01-SRC-0008,La palabra sagrada. Violencia y lenguaje en Balún-Canán,,LM 论文：书面语/口语错位,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
B01-REL-0029,RG-B01-0029,B01-ENT-0007,《巴伦坎南》,EXPLORES_THEME,B01-ENT-0042,沉默,《巴伦坎南》涉及沉默,B01-SRC-0008,La palabra sagrada. Violencia y lenguaje en Balún-Canán,,LM 论文：沉默作为暴力形式,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
B01-REL-0030,RG-B01-0030,B01-ENT-0010,《佩德罗·巴拉莫》,EXPLORES_THEME,B01-ENT-0043,革命与基督战争,《佩德罗·巴拉莫》涉及革命与基督战争,B01-SRC-0012,Economía poética de Pedro Páramo: de la Revolución a la Cristiada,,LM 论文：片段 67 浓缩 1915-1929,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
B01-REL-0031,RG-B01-0031,B01-ENT-0010,《佩德罗·巴拉莫》,EXPLORES_THEME,B01-ENT-0044,乡村与革命后的土地,《佩德罗·巴拉莫》涉及乡村与革命后的土地,B01-SRC-0013,Pedro Páramo - Detalle de la obra,,作品页：革命后乡村书写,medium,needs_second_source,解释性判断，单来源,EXT-AI-02
