fact_candidate_id,subject_candidate_id,subject_label,fact_field,value_candidate,source_id,source_title,confidence,dispute_status,issue_notes,extracted_by
B01-FCT-0019,B01-ENT-0003,胡安·鲁尔福,country_or_region,墨西哥,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0020,B01-ENT-0003,胡安·鲁尔福,language,es,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0021,B01-ENT-0003,胡安·鲁尔福,entity_layer,author,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0022,B01-ENT-0003,胡安·鲁尔福,one_sentence_summary,墨西哥小说家与摄影师，以《佩德罗·巴拉莫》与《燃烧的原野》著称；童年历经革命与基督战争暴力,B01-SRC-0011,Juan Rulfo - Detalle del autor,high,none,,EXT-AI-02
B01-FCT-0023,B01-ENT-0003,胡安·鲁尔福,research_note,1952-1953 年墨西哥作家中心（Centro Mexicano de Escritores）奖学金期间完成两部代表作；曾任 INI 编辑（词条）,B01-SRC-0011,Juan Rulfo - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0024,B01-ENT-0003,胡安·鲁尔福,bibliographic_note,奖项：Xavier Villaurrutia 1955、国家文学奖 1970、阿斯图里亚斯亲王奖 1983（词条）,B01-SRC-0011,Juan Rulfo - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0025,B01-ENT-0004,《未来的回忆》,entity_layer,work,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0026,B01-ENT-0004,《未来的回忆》,first_publication_year,1963,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,high,none,Joaquín Mortiz（Novelistas Contemporáneos）,EXT-AI-02
B01-FCT-0027,B01-ENT-0004,《未来的回忆》,genre_or_form,长篇小说,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0028,B01-ENT-0004,《未来的回忆》,one_sentence_summary,以村镇伊斯特佩克为全知叙述者，讲述革命后秩序幻灭与基督战争之灾；同年获 Xavier Villaurrutia 奖,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0029,B01-ENT-0004,《未来的回忆》,key_character,弗朗西斯科·罗萨斯、胡利娅·安德拉德,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0030,B01-ENT-0004,《未来的回忆》,key_place,伊斯特佩克,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0031,B01-ENT-0004,《未来的回忆》,research_note,RCL 论文以记忆/anámnesis 与历史真相解读；1968 年 Ripstein 电影改编（B01-SRC-0003/0004）,B01-SRC-0003,El fondo de la memoria: Los recuerdos del porvenir de Elena Garro,medium,none,,EXT-AI-02
B01-FCT-0032,B01-ENT-0005,《彩色的一周》,entity_layer,collection,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0033,B01-ENT-0005,《彩色的一周》,first_publication_year,1964,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,high,none,Universidad Veracruzana（Ficción 58）,EXT-AI-02
B01-FCT-0034,B01-ENT-0005,《彩色的一周》,genre_or_form,短篇集,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0035,B01-ENT-0005,《彩色的一周》,one_sentence_summary,1964 年出版的短篇集，含《La culpa es de los tlaxcaltecas》,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0036,B01-ENT-0006,《关于玛丽安娜的证词》,entity_layer,work,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0037,B01-ENT-0006,《关于玛丽安娜的证词》,first_publication_year,1981,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,获 Grijalbo 小说奖；出版信息待核,EXT-AI-02
B01-FCT-0038,B01-ENT-0006,《关于玛丽安娜的证词》,genre_or_form,长篇小说,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,体裁表述待核,EXT-AI-02
B01-FCT-0039,B01-ENT-0007,《巴伦坎南》,entity_layer,work,B01-SRC-0007,Balún-Canán (FCE 产品页),high,none,,EXT-AI-02
B01-FCT-0040,B01-ENT-0007,《巴伦坎南》,first_publication_year,1957,B01-SRC-0007,Balún-Canán (FCE 产品页),high,none,FCE（Letras Mexicanas 36）,EXT-AI-02
B01-FCT-0041,B01-ENT-0007,《巴伦坎南》,genre_or_form,长篇小说,B01-SRC-0007,Balún-Canán (FCE 产品页),high,none,,EXT-AI-02
B01-FCT-0042,B01-ENT-0007,《巴伦坎南》,one_sentence_summary,恰帕斯村镇中白人世界与 chontal 印第安世界的张力；1958 年获 Premio Chiapas（词条）,B01-SRC-0007,Balún-Canán (FCE 产品页),medium,none,,EXT-AI-02
B01-FCT-0043,B01-ENT-0007,《巴伦坎南》,key_place,恰帕斯,B01-SRC-0007,Balún-Canán (FCE 产品页),medium,none,,EXT-AI-02
B01-FCT-0044,B01-ENT-0007,《巴伦坎南》,research_note,LM 论文：暴力与语言的交织、书面语/口语错位、沉默作为暴力形式（B01-SRC-0008）,B01-SRC-0008,La palabra sagrada. Violencia y lenguaje en Balún-Canán,medium,none,,EXT-AI-02
B01-FCT-0045,B01-ENT-0008,《黑暗的职守》,entity_layer,work,B01-SRC-0010,Oficio de tinieblas - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0046,B01-ENT-0008,《黑暗的职守》,first_publication_year,1962,B01-SRC-0010,Oficio de tinieblas - Detalle de la obra,high,none,Joaquín Mortiz,EXT-AI-02
B01-FCT-0047,B01-ENT-0008,《黑暗的职守》,genre_or_form,长篇小说,B01-SRC-0010,Oficio de tinieblas - Detalle de la obra,medium,none,体裁表述以作品页书目为据,EXT-AI-02
B01-FCT-0048,B01-ENT-0009,《诗歌不是你》,entity_layer,collection,B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0049,B01-ENT-0009,《诗歌不是你》,first_publication_year,1972,B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,high,none,FCE（Letras Mexicanas）,EXT-AI-02
B01-FCT-0050,B01-ENT-0009,《诗歌不是你》,genre_or_form,诗集,B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0051,B01-ENT-0009,《诗歌不是你》,bibliographic_note,副题 obra poética 1948-1971：收录 1948-1971 年诗作（作品页标题）,B01-SRC-0009,Poesía no eres tú: obra poética 1948-1971 - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0052,B01-ENT-0010,《佩德罗·巴拉莫》,entity_layer,work,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0053,B01-ENT-0010,《佩德罗·巴拉莫》,first_publication_year,1955,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,1955 年 3 月 FCE（Letras Mexicanas 19）,EXT-AI-02
B01-FCT-0054,B01-ENT-0010,《佩德罗·巴拉莫》,genre_or_form,长篇小说,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0055,B01-ENT-0010,《佩德罗·巴拉莫》,one_sentence_summary,Juan Preciado 赴科马拉寻父与考迪罗 Pedro Páramo 命运的双主线；村镇最终成为鬼村,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0056,B01-ENT-0010,《佩德罗·巴拉莫》,key_character,胡安·普雷西亚多、佩德罗·巴拉莫（人物）,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0057,B01-ENT-0010,《佩德罗·巴拉莫》,key_place,科马拉,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0058,B01-ENT-0010,《佩德罗·巴拉莫》,research_note,LM 论文：70 个片段构成；片段 67 以十四句对话浓缩 1915-1929 年（B01-SRC-0012）,B01-SRC-0012,Economía poética de Pedro Páramo: de la Revolución a la Cristiada,medium,none,,EXT-AI-02
B01-FCT-0059,B01-ENT-0011,《燃烧的原野》,entity_layer,collection,B01-SRC-0014,El Llano en llamas - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0060,B01-ENT-0011,《燃烧的原野》,first_publication_year,1953,B01-SRC-0014,El Llano en llamas - Detalle de la obra,high,none,FCE（Letras Mexicanas 11）,EXT-AI-02
B01-FCT-0061,B01-ENT-0011,《燃烧的原野》,genre_or_form,短篇集,B01-SRC-0014,El Llano en llamas - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0062,B01-ENT-0011,《燃烧的原野》,one_sentence_summary,1953 年 FCE 出版；以哈利斯科乡村为背景的短篇集,B01-SRC-0014,El Llano en llamas - Detalle de la obra,medium,none,篇数与篇目明细来源未提供，待补,EXT-AI-02
B01-FCT-0063,B01-ENT-0012,《金鸡》,entity_layer,work,B01-SRC-0015,El gallo de oro - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0064,B01-ENT-0012,《金鸡》,first_publication_year,1958/1980,B01-SRC-0015,El gallo de oro - Detalle de la obra,high,none,1958 年写成、1980 年 Era 出版（词条+作品页）,EXT-AI-02
B01-FCT-0065,B01-ENT-0012,《金鸡》,genre_or_form,中篇小说/电影文本,B01-SRC-0015,El gallo de oro - Detalle de la obra,medium,none,体裁表述待核,EXT-AI-02
B01-FCT-0066,B01-ENT-0013,《La culpa es de los tlaxcaltecas》,entity_layer,work,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0067,B01-ENT-0013,《La culpa es de los tlaxcaltecas》,one_sentence_summary,《彩色的一周》所收短篇（词条明示收录关系）,B01-SRC-0005,La semana de colores: cuentos - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0068,B01-ENT-0014,《未来的回忆》（1968 年电影）,entity_layer,adaptation,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0069,B01-ENT-0014,《未来的回忆》（1968 年电影）,one_sentence_summary,1968 年 Arturo Ripstein 执导的同名电影改编,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0070,B01-ENT-0015,Balún-Canán（FCE 2007 版）,entity_layer,edition,B01-SRC-0007,Balún-Canán (FCE 产品页),high,none,,EXT-AI-02
B01-FCT-0071,B01-ENT-0015,Balún-Canán（FCE 2007 版）,first_publication_year,2007,B01-SRC-0007,Balún-Canán (FCE 产品页),high,none,ISBN 9789681683030，286 页,EXT-AI-02
B01-FCT-0072,B01-ENT-0016,《永恒的女性》,entity_layer,work,B01-SRC-0006,Rosario Castellanos - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0073,B01-ENT-0016,《永恒的女性》,one_sentence_summary,卡斯特利亚诺斯遗作剧作（1975 年出版）,B01-SRC-0006,Rosario Castellanos - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0074,B01-ENT-0017,《费利佩·安赫莱斯》,entity_layer,work,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0075,B01-ENT-0017,《费利佩·安赫莱斯》,one_sentence_summary,加罗剧作（词条所列作品）,B01-SRC-0001,Elena Garro - Detalle del autor,medium,none,,EXT-AI-02
B01-FCT-0076,B01-ENT-0018,Pedro Páramo（FCE 1964 版）,entity_layer,edition,B01-SRC-0013,Pedro Páramo - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0077,B01-ENT-0018,Pedro Páramo（FCE 1964 版）,first_publication_year,1964,B01-SRC-0013,Pedro Páramo - Detalle de la obra,medium,none,FCE 1964 年版（作品页书目）,EXT-AI-02
B01-FCT-0078,B01-ENT-0019,弗朗西斯科·罗萨斯,entity_layer,character,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,medium,none,,EXT-AI-02
B01-FCT-0079,B01-ENT-0020,胡利娅·安德拉德,entity_layer,character,B01-SRC-0004,Los recuerdos del porvenir - Detalle de la obra,low,none,,EXT-AI-02
B01-FCT-0080,B01-ENT-0021,胡安·普雷西亚多,entity_layer,character,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,,EXT-AI-02
B01-FCT-0081,B01-ENT-0022,佩德罗·巴拉莫（人物）,entity_layer,character,B01-SRC-0013,Pedro Páramo - Detalle de la obra,high,none,与同名作品（B01-ENT-0010）分层,EXT-AI-02
