target_id,target_type,field,current_status,classification,research_refs,source_refs,evidence_sufficiency,judgment_level,reason,recommended_next_action,wcd06_decision,decision_basis
V1-ENT-0249,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0610;V1-FCT-0611;V1-FCT-0612;V1-FCT-0613;V1-FCT-0614,SRC-0200;SRC-0201,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0250,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0615;V1-FCT-0616;V1-FCT-0617;V1-FCT-0618;V1-FCT-0619,SRC-0202;SRC-0203,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0260,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0648;V1-FCT-0650,SRC-0205;SRC-0207,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0261,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0664;V1-FCT-0673,SRC-0208;SRC-0210,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0262,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0677;V1-FCT-0684,SRC-0211;SRC-0213,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0272,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0689;V1-FCT-0692,SRC-0214;SRC-0215,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0273,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0703;V1-FCT-0707,SRC-0217;SRC-0218,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0274,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0718;V1-FCT-0719,SRC-0220;SRC-0221,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0284,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0736;V1-FCT-0740,SRC-0225,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0285,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0750;V1-FCT-0753,SRC-0227,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0286,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0769;V1-FCT-0772,SRC-0229;SRC-0230,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0308,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0820;V1-FCT-0823,SRC-0241,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0309,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0832;V1-FCT-0835,SRC-0243,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0310,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0842;V1-FCT-0844,SRC-0245,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0320,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0857;V1-FCT-0865,SRC-0248,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0322,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0880;V1-FCT-0883,SRC-0251;SRC-0253,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0332,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0895;V1-FCT-0899,SRC-0254;SRC-0255,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0333,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0911;V1-FCT-0912,SRC-0256;SRC-0257,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0334,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0919;V1-FCT-0925,SRC-0259;SRC-0260,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0344,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0926;V1-FCT-0927;V1-FCT-0928,SRC-0261;SRC-0262,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0345,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0938;V1-FCT-0939;V1-FCT-0940,SRC-0263,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0346,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0950;V1-FCT-0951;V1-FCT-0952,SRC-0267;SRC-0268,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0358,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0962;V1-FCT-0963;V1-FCT-0964;V1-FCT-0965;V1-FCT-0966,SRC-0270;SRC-0271;SRC-0272,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0359,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0976;V1-FCT-0977;V1-FCT-0978;V1-FCT-0979;V1-FCT-0980,SRC-0274;SRC-0273,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0360,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0990;V1-FCT-0991;V1-FCT-0992;V1-FCT-0993;V1-FCT-0994,SRC-0275;SRC-0276,yes,low,by field default:展示标签,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0197,place,literary_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,,SRC-0152,partial,low,保守事实介绍,USER_REVIEW_BATCH,OUT_OF_SCOPE,current governance plus WCD-04 page route
V1-ENT-0017,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0030;V1-FCT-0031;V1-FCT-0032;V1-FCT-0034,SRC-0009;SRC-0011,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0018,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0038;V1-FCT-0039;V1-FCT-0040;V1-FCT-0041;V1-FCT-0256,SRC-0009;SRC-0012;SRC-0085,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0032,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0078;V1-FCT-0079;V1-FCT-0080;V1-FCT-0081;V1-REL-0032,SRC-0019;SRC-0020;SRC-0071,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0035,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0092;V1-FCT-0093;V1-FCT-0094;V1-REL-0033,SRC-0023;SRC-0024,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0038,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0105;V1-FCT-0106;V1-FCT-0107;V1-FCT-0108;V1-FCT-0255,SRC-0028;SRC-0029;SRC-0084,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0075,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0215;V1-FCT-0216;V1-FCT-0239;V1-FCT-0240;V1-REL-0075,SRC-0032;SRC-0056;SRC-0057;SRC-0075,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0076,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0136;V1-FCT-0137;V1-FCT-0223;V1-FCT-0224;V1-FCT-0253;V1-FCT-0254,SRC-0033;SRC-0064;SRC-0083,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0077,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0141;V1-FCT-0142;V1-FCT-0249,SRC-0034;SRC-0080,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0079,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0155;V1-FCT-0156;V1-FCT-0228,SRC-0041;SRC-0072,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0081,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0162;V1-FCT-0163;V1-FCT-0164;V1-FCT-0257;V1-FCT-0258;V1-FCT-0259,SRC-0043;SRC-0086,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0117,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0191;V1-FCT-0246;V1-FCT-0247;V1-FCT-0248,SRC-0045;SRC-0078,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0118,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0195;V1-FCT-0196;V1-FCT-0197;V1-FCT-0250;V1-REL-0076,SRC-0046;SRC-0063;SRC-0081,yes,low,保守空间事实说明,USER_REVIEW_BATCH,PROMOTE,current governance plus WCD-04 page route
V1-ENT-0151,work,literary_significance,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0293;V1-FCT-0294;V1-FCT-0295;V1-FCT-0296,SRC-0096;SRC-0097,yes,low,保守转写带出处标注,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0154,work,why_read,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0305;V1-FCT-0306;V1-FCT-0307;V1-FCT-0308;V1-FCT-0309,SRC-0098;SRC-0099,yes,low,保守转写带出处标注,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0155,work,theme_explanations,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0310;V1-FCT-0311;V1-FCT-0312;V1-FCT-0313;V1-FCT-0314,SRC-0099;SRC-0100,yes,low,保守转写带出处标注,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0155,work,why_read,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0310;V1-FCT-0311;V1-FCT-0312;V1-FCT-0313;V1-FCT-0314,SRC-0099;SRC-0100,yes,low,保守转写带出处标注,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0156,work,theme_explanations,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0315;V1-FCT-0316;V1-FCT-0317;V1-FCT-0318;V1-FCT-0319,SRC-0099;SRC-0100,yes,low,保守转写带出处标注,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0254,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0629;V1-FCT-0630;V1-FCT-0631;V1-REL-0179,SRC-0200;SRC-0201,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0255,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0632;V1-FCT-0633;V1-FCT-0634;V1-REL-0180,SRC-0200;SRC-0201,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0256,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0635;V1-FCT-0636;V1-FCT-0637;V1-REL-0181,SRC-0200;SRC-0201,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0257,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0638;V1-FCT-0639;V1-FCT-0640;V1-REL-0182,SRC-0202;SRC-0203,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0259,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0644;V1-FCT-0645;V1-FCT-0646;V1-REL-0184,SRC-0202;SRC-0203,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0270,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0683;V1-FCT-0684;V1-FCT-0685,SRC-0211;SRC-0213,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0277,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-REL-0209,SRC-0216,yes,low,保守空间事实说明,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0283,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0728;V1-FCT-0729;V1-FCT-0730,SRC-0221;SRC-0224,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0317,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-REL-0247,SRC-0246,yes,low,保守空间事实说明,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0318,work,location_note,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-REL-0247,SRC-0246,yes,low,保守空间事实说明,USER_REVIEW_BATCH,KEEP_USER_REVIEW_HIGH_JUDGMENT,current governance plus WCD-04 page route
V1-ENT-0330,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0884;V1-FCT-0885;V1-FCT-0886,SRC-0252,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
V1-ENT-0343,work,story_intro,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0923;V1-FCT-0924;V1-FCT-0925,SRC-0260,yes,low,保守事实介绍,USER_REVIEW_BATCH,REWRITE_OR_RESEARCH,current governance plus WCD-04 page route
