target_id,target_type,name_zh,field,gap_type,needed_evidence,handoff
V1-ENT-0161,work,《潘达雷昂上尉与劳军女郎》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0162,collection,《沙之书》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0163,collection,《布罗迪报告》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0164,collection,《秘密武器》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0165,collection,《一百首爱情十四行诗》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0166,collection,《隐秘的幸福》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0167,collection,《时间之战》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0168,work,《追击》,story_intro,MISSING_MINIMUM_CONTENT,object-specific descriptive fact beyond bibliography,WCD-07_RESEARCH_INPUT
V1-ENT-0170,author,米格尔·安赫尔·阿斯图里亚斯,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0171,author,伊莎贝尔·阿连德,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0184,author,胡安·卡洛斯·奥内蒂,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0186,author,埃内斯托·萨瓦托,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0198,author,阿道夫·比奥伊·卡萨雷斯,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0199,author,奥古斯托·罗亚·巴斯托斯,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0200,author,奥拉西奥·基罗加,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0211,author,马查多·德·阿西斯,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
V1-ENT-0212,author,若昂·吉马朗埃斯·罗萨,literary_connections,HIGH_JUDGMENT_CONNECTION,"explicit accepted movement, influence or comparison evidence",WCD-07_RESEARCH_INPUT
