entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes,wcd06_decision,replacement_field
V1-ENT-0209,collection,《流放者》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0211,author,马查多·德·阿西斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0212,author,若昂·吉马朗埃斯·罗萨,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,2,4,0,,5,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,REWRITE,reader_lede
V1-ENT-0214,work,《布拉斯·库巴斯死后的回忆》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0215,work,《金卡斯·博尔巴》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0216,work,《堂卡斯穆罗》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0217,work,《广阔腹地：条条小径》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,2,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0218,collection,《萨加拉纳》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0219,collection,《第一故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,1,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0220,work,《枯竭的生命》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0221,work,《圣贝尔纳多》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
V1-ENT-0222,work,《苦闷》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,3,3,0,,3,3,yes,confirmed_from_external_semantic_review_and_current_text_unchanged,P0,REWRITE,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,story_intro
