target_id,target_type,name_zh,classification,primary_field,primary_status,public_visible,template_like,bibliographic_copy,research_insufficient,duplicate,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,baseline_commit
V1-ENT-0184,author,胡安·卡洛斯·奥内蒂,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0185,author,何塞·多诺索,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,8,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0186,author,埃内斯托·萨瓦托,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0198,author,阿道夫·比奥伊·卡萨雷斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,8,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0199,author,奥古斯托·罗亚·巴斯托斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0200,author,奥拉西奥·基罗加,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0211,author,马查多·德·阿西斯,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,8,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0212,author,若昂·吉马朗埃斯·罗萨,PUBLIC_BIBLIOGRAPHIC_COPY,reader_lede,auto_approved,yes,yes,yes,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0213,author,格拉西利亚诺·拉莫斯,PUBLIC_BASIC,reader_lede,auto_approved,yes,no,no,no,no,2,9,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0223,author,塞萨尔·巴列霍,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0224,author,鲁文·达里奥,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0225,author,何塞·马蒂,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0236,author,尼卡诺尔·帕拉,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0237,author,阿莱杭德拉·皮扎尼克,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0238,author,马里奥·贝内德蒂,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0248,author,何塞·玛丽亚·阿格达斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0249,author,塞尔希奥·皮托尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0250,author,胡安·何塞·阿雷奥拉,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0260,author,埃莱娜·波尼亚托夫斯卡,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0261,author,何塞·埃米利奥·帕切科,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0262,author,罗贝托·波拉尼奥,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0272,author,爱德华多·加莱亚诺,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0273,author,里卡多·皮格利亚,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0274,author,塞萨尔·艾拉,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0284,author,曼努埃尔·普伊格,HOLD,reader_lede,user_review,no,no,no,no,no,0,8,1,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0285,author,西尔维娜·奥坎波,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0286,author,罗贝托·阿尔特,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0296,author,萨曼塔·施维伯林,HOLD,reader_lede,user_review,no,no,no,no,no,0,8,1,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0297,author,玛丽安娜·恩里克斯,HOLD,reader_lede,user_review,no,no,no,no,no,0,8,1,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0298,author,亚历杭德罗·桑布拉,HOLD,reader_lede,user_review,no,no,no,no,no,0,8,1,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0308,author,保罗·柯艾略,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0309,author,卡洛斯·德鲁蒙德·德·安德拉德,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0310,author,尼古拉斯·纪廉,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0320,author,何塞·莱萨马·利马,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0321,author,吉列尔莫·卡夫雷拉·因凡特,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0322,author,索尔·胡安娜·伊内斯·德·拉·克鲁斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0332,author,胡利奥·拉蒙·里贝罗,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0333,author,胡安·何塞·萨埃尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0334,author,雷纳尔多·阿雷纳斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0344,author,路易斯·塞普尔维达,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0345,author,瓜达卢佩·内特尔,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0346,author,克里斯蒂娜·佩里·罗西,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0358,author,莉吉娅·法贡德斯·特莱斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0359,author,豪尔赫·伊卡萨,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0360,author,罗慕洛·加列戈斯,USER_REVIEW_HIGH_JUDGMENT,reader_lede,user_review,no,no,no,no,no,0,9,0,literary_profile;literary_connections,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0003,work,《小径分岔的花园》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0004,work,《阿莱夫》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0017,work,《活水》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0018,work,《星辰时刻》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0032,work,《未来的回忆》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0035,work,《巴伦坎南》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0038,work,《佩德罗·巴拉莫》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0075,work,《百年孤独》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0076,work,《没有人给他写信的上校》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0077,work,《一桩事先张扬的凶杀案》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0078,work,《跳房子》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0079,work,《人间王国》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0080,work,《消逝的足迹》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0081,work,《光明世纪》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0116,work,《城市与狗》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0117,work,《酒吧长谈》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0118,work,《世界末日之战》,PUBLIC_BASIC,story_intro,auto_approved,yes,no,no,no,no,7,4,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0154,work,《孤独的迷宫》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0155,work,《弓与琴》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0156,work,《太阳石》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0149,work,《绝望集》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0150,work,《柔情集》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0151,work,《塔拉集》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0169,work,《奥拉》,PUBLIC_STRONG,story_intro,auto_approved,yes,no,no,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0173,work,《总统先生》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,6,2,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0174,work,《玉米人》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,6,2,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0175,work,《危地马拉传说》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0176,work,《幽灵之家》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0177,work,《爱情与阴影》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,7,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0178,work,《伊娃·露娜》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0179,work,《弗洛尔和她的两个丈夫》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,6,2,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0180,work,《加布里埃拉》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,6,2,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0181,work,《沙滩船长》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,7,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0187,work,《短暂的生命》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0188,work,《造船厂》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0189,work,《告别》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0190,work,《污秽的夜鸟》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0191,work,《无尽的地方》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,7,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0192,work,《加冕》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0193,work,《隧道》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0194,work,《英雄与坟墓》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0195,work,《毁灭者亚巴顿》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0201,work,《莫雷尔的发明》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0202,work,《逃亡计划》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0203,work,《英雄的梦》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0204,work,《人子》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0205,work,《我，最高统帅》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0206,work,《检察官》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0207,work,《爱情、疯狂和死亡的故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0208,work,《丛林故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0209,work,《流放者》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,7,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0214,work,《布拉斯·库巴斯死后的回忆》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0215,work,《金卡斯·博尔巴》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0216,work,《堂卡斯穆罗》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0217,work,《广阔腹地：条条小径》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0218,work,《萨加拉纳》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0219,work,《第一故事》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0220,work,《枯竭的生命》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0221,work,《圣贝尔纳多》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,7,1,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0222,work,《苦闷》,PUBLIC_BIBLIOGRAPHIC_COPY,story_intro,auto_approved,yes,yes,yes,no,no,3,8,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0226,work,《黑色使者》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0227,work,《特里尔塞》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0228,work,《人类的诗篇》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0229,work,《蓝……》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0230,work,《世俗的颂歌》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0231,work,《生命与希望之歌》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0232,work,《伊斯梅利约》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0233,work,《纯朴的诗》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0234,work,《我们的美洲》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,11,0,,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0239,work,《诗歌与反诗歌》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,7,0,reading_premise;narrative_features;literary_significance,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0240,work,《沙龙篇》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,7,0,reading_premise;narrative_features;literary_significance,f47ab5793101f85437a793ab45cd0e241ad6cc73
V1-ENT-0241,work,《饭后演讲》,USER_REVIEW_HIGH_JUDGMENT,story_intro,user_review,no,no,no,no,no,0,7,0,reading_premise;narrative_features;literary_significance,f47ab5793101f85437a793ab45cd0e241ad6cc73
