target_id,target_type,field,current_status,classification,research_refs,source_refs,evidence_sufficiency,judgment_level,reason,recommended_next_action,wcd04_classification,rebase_status,rebase_reason
V1-ENT-0016,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0012;V1-REL-0005;V1-REL-0006;V1-REL-0008,SRC-0009;SRC-0010;SRC-0011;SRC-0012,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0016,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0012;V1-REL-0005;V1-REL-0006;V1-REL-0008,SRC-0009;SRC-0010;SRC-0011;SRC-0012,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0016,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0012;V1-REL-0005;V1-REL-0006;V1-REL-0008,SRC-0009;SRC-0010;SRC-0011;SRC-0012,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0029,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0056;V1-FCT-0057;V1-REL-0016;V1-REL-0017;V1-REL-0018,SRC-0017;SRC-0018;SRC-0019;SRC-0021,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0029,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0056;V1-FCT-0057;V1-REL-0016;V1-REL-0017;V1-REL-0018,SRC-0017;SRC-0018;SRC-0019;SRC-0021,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0029,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0056;V1-FCT-0057;V1-REL-0016;V1-REL-0017;V1-REL-0018,SRC-0017;SRC-0018;SRC-0019;SRC-0021,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0029,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0056;V1-FCT-0057;V1-REL-0016;V1-REL-0017;V1-REL-0018,SRC-0017;SRC-0018;SRC-0019;SRC-0021,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0030,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0064;V1-FCT-0065;V1-REL-0019;V1-REL-0020;V1-REL-0021,SRC-0022;SRC-0023;SRC-0024;SRC-0026,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0030,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0064;V1-FCT-0065;V1-REL-0019;V1-REL-0020;V1-REL-0021,SRC-0022;SRC-0023;SRC-0024;SRC-0026,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0030,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0064;V1-FCT-0065;V1-REL-0019;V1-REL-0020;V1-REL-0021,SRC-0022;SRC-0023;SRC-0024;SRC-0026,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0030,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0064;V1-FCT-0065;V1-REL-0019;V1-REL-0020;V1-REL-0021,SRC-0022;SRC-0023;SRC-0024;SRC-0026,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0031,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0072;V1-FCT-0073;V1-REL-0022;V1-REL-0023;V1-REL-0024,SRC-0027;SRC-0028;SRC-0029;SRC-0030,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0031,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0072;V1-FCT-0073;V1-REL-0022;V1-REL-0023;V1-REL-0024,SRC-0027;SRC-0028;SRC-0029;SRC-0030,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0031,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0072;V1-FCT-0073;V1-REL-0022;V1-REL-0023;V1-REL-0024,SRC-0027;SRC-0028;SRC-0029;SRC-0030,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0031,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0072;V1-FCT-0073;V1-REL-0022;V1-REL-0023;V1-REL-0024,SRC-0027;SRC-0028;SRC-0029;SRC-0030,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0059,author,core_themes,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:主题归纳,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,guiding_question,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:引导问题阐释框架,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:文学概括,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,reader_fit,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:读者适配判断,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,reading_route,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:阅读路线排序,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,low,by field default:展示标签,USER_REVIEW_BATCH,PUBLIC_BASIC,CONFLICT_WITH_CURRENT_CURATION,field is high judgment under current validator
V1-ENT-0059,author,start_here,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,含价值表述:代表作,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0059,author,why_know,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0297;V1-FCT-0298;V1-FCT-0299;V1-FCT-0300;V1-FCT-0301;V1-FCT-0302;V1-FCT-0303;V1-FCT-0304;V1-REL-0085;V1-REL-00...,SRC-0098;SRC-0099;SRC-0100,yes,high,by field default:入门路径推荐,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0072,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0120;V1-FCT-0121;V1-REL-0040;V1-REL-0041;V1-REL-0042,SRC-0032;SRC-0033;SRC-0034;SRC-0035;SRC-0036;SRC-0057,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0072,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0120;V1-FCT-0121;V1-REL-0040;V1-REL-0041;V1-REL-0042,SRC-0032;SRC-0033;SRC-0034;SRC-0035;SRC-0036;SRC-0057,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0072,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0120;V1-FCT-0121;V1-REL-0040;V1-REL-0041;V1-REL-0042,SRC-0032;SRC-0033;SRC-0034;SRC-0035;SRC-0036;SRC-0057,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0072,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0120;V1-FCT-0121;V1-REL-0040;V1-REL-0041;V1-REL-0042,SRC-0032;SRC-0033;SRC-0034;SRC-0035;SRC-0036;SRC-0057,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0073,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0125;V1-FCT-0165;V1-REL-0043;V1-REL-0044,SRC-0037;SRC-0038;SRC-0058;SRC-0065;SRC-0069,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0073,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0125;V1-FCT-0165;V1-REL-0043;V1-REL-0044,SRC-0037;SRC-0038;SRC-0058;SRC-0065;SRC-0069,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0073,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0125;V1-FCT-0165;V1-REL-0043;V1-REL-0044,SRC-0037;SRC-0038;SRC-0058;SRC-0065;SRC-0069,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0073,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0125;V1-FCT-0165;V1-REL-0043;V1-REL-0044,SRC-0037;SRC-0038;SRC-0058;SRC-0065;SRC-0069,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0074,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0129;V1-FCT-0130;V1-REL-0046;V1-REL-0047;V1-REL-0048,SRC-0041;SRC-0042;SRC-0043;SRC-0072,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0074,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0129;V1-FCT-0130;V1-REL-0046;V1-REL-0047;V1-REL-0048,SRC-0041;SRC-0042;SRC-0043;SRC-0072,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0074,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0129;V1-FCT-0130;V1-REL-0046;V1-REL-0047;V1-REL-0048,SRC-0041;SRC-0042;SRC-0043;SRC-0072,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0074,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0129;V1-FCT-0130;V1-REL-0046;V1-REL-0047;V1-REL-0048,SRC-0041;SRC-0042;SRC-0043;SRC-0072,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0114,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0170;V1-FCT-0172;V1-REL-0059;V1-REL-0060;V1-REL-0061,SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0114,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0170;V1-FCT-0172;V1-REL-0059;V1-REL-0060;V1-REL-0061,SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0114,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0170;V1-FCT-0172;V1-REL-0059;V1-REL-0060;V1-REL-0061,SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0114,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0170;V1-FCT-0172;V1-REL-0059;V1-REL-0060;V1-REL-0061,SRC-0044;SRC-0045;SRC-0046;SRC-0047;SRC-0048,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0115,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0179;V1-FCT-0181;V1-FCT-0182;V1-FCT-0183;V1-REL-0062;V1-REL-0064,SRC-0050;SRC-0052;SRC-0054;SRC-0055;SRC-0060;SRC-0062,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0115,author,literary_features,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0179;V1-FCT-0181;V1-FCT-0182;V1-FCT-0183;V1-REL-0062;V1-REL-0064,SRC-0050;SRC-0052;SRC-0054;SRC-0055;SRC-0060;SRC-0062,yes,high,by field default:策展判断,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0115,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0179;V1-FCT-0181;V1-FCT-0182;V1-FCT-0183;V1-REL-0062;V1-REL-0064,SRC-0050;SRC-0052;SRC-0054;SRC-0055;SRC-0060;SRC-0062,yes,high,by field default:文学概括,USER_REVIEW_BATCH,USER_REVIEW_HIGH_JUDGMENT,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0115,author,reader_lede,user_review,DUPLICATE_OR_REDUNDANT,V1-FCT-0179;V1-FCT-0181;V1-FCT-0182;V1-FCT-0183;V1-REL-0062;V1-REL-0064,SRC-0050;SRC-0052;SRC-0054;SRC-0055;SRC-0060;SRC-0062,yes,high,与literary_profile同文,DEDUP_MERGE,USER_REVIEW_HIGH_JUDGMENT,DUPLICATE,external duplicate classification retained
V1-ENT-0145,author,core_themes,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:主题归纳,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,guiding_question,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:引导问题阐释框架,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,literary_connections,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:跨作品连接;内容为ID列表,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,literary_profile,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:文学概括,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,reader_fit,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:读者适配判断,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,reading_route,user_review,HIGH_JUDGMENT_USER_REQUIRED,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,high,by field default:阅读路线排序,USER_REVIEW_BATCH,PUBLIC_BASIC,STILL_VALID,candidate remains useful after current-main rebase
V1-ENT-0145,author,signature_keywords,user_review,LOW_JUDGMENT_EVIDENCE_SUFFICIENT,V1-FCT-0260;V1-FCT-0261;V1-FCT-0262;V1-FCT-0263;V1-REL-0077;V1-REL-0078;V1-REL-0101,SRC-0087;SRC-0088;SRC-0128,yes,low,by field default:展示标签,USER_REVIEW_BATCH,PUBLIC_BASIC,CONFLICT_WITH_CURRENT_CURATION,field is high judgment under current validator
