entity_id,entity_type,display_name,classification,primary_field,primary_status,auto_approved_fields,user_review_fields,hold_fields,missing_required_fields,facts,direct_sources,content_card,bibliographic_copy_rebase,priority,recommended_action,route,notes,wcd06_decision,added_fields
V1-ENT-0121,collection,《漫歌》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,6,4,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0146,work,《最明净的地区》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,3,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,ADD_MINIMUM_CONTENT,story_intro;narrative_features;location_note
V1-ENT-0147,work,《阿尔特米奥·克罗斯之死》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,5,4,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0158,work,《霍乱时期的爱情》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0159,work,《族长的秋天》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0160,work,《绿房子》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,1,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0161,work,《潘达雷昂上尉与劳军女郎》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0162,collection,《沙之书》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0163,collection,《布罗迪报告》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0164,collection,《秘密武器》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,2,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0165,collection,《一百首爱情十四行诗》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0166,collection,《隐秘的幸福》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0167,collection,《时间之战》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,3,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
V1-ENT-0168,work,《追击》,MISSING,story_intro,missing,0,0,0,story_intro;reading_premise;narrative_features;literary_significance;location_note;why_read,2,1,yes,no,P1,WRITE_AFTER_SCOPE_REVIEW,WCD-06,WCD-04 classification only; no approval or rewriting performed,RESEARCH_GAP,
