sample_id,candidate_id,sample_code,sample_name,lon_deg,lat_deg,window,ew_ns_scale_ratio,principal_axis_ratio,area_factor,area_factor_relative_to_center,method
PROJ-NATEARTH-S03,PROJ-NATEARTH,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,0.873092,1.164695,0.891063,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S04,PROJ-NATEARTH,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,0.970219,1.190129,1.009880,1.133342,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S05,PROJ-NATEARTH,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,0.955595,1.226840,1.001170,1.123568,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S06,PROJ-NATEARTH,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.251231,1.509643,1.208886,1.356679,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-NATEARTH-S07,PROJ-NATEARTH,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,0.920467,1.386986,0.994053,1.115581,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S01,PROJ-ALBERS,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,1.393055,1.393055,0.999998,1.000001,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S02,PROJ-ALBERS,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,1.506723,1.506723,0.999998,1.000001,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S03,PROJ-ALBERS,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,0.964872,1.036407,0.999997,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S04,PROJ-ALBERS,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,1.048136,1.048136,0.999995,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S05,PROJ-ALBERS,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,1.034255,1.034255,0.999996,0.999999,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S06,PROJ-ALBERS,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,1.645662,1.645662,0.999993,0.999997,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-ALBERS-S07,PROJ-ALBERS,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,1.910644,1.910644,0.999998,1.000001,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S01,PROJ-MERCATOR,S01,Mexico City,-99.13,19.43,lon=-118..-32;lat=-56..33,0.999996,1.000004,1.124433,1.079736,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S02,PROJ-MERCATOR,S02,Havana,-82.38,23.13,lon=-118..-32;lat=-56..33,0.999996,1.000004,1.182467,1.135463,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S03,PROJ-MERCATOR,S03,center (center of viewport),-75.00,-11.50,lon=-118..-32;lat=-56..33,0.999997,1.000003,1.041396,1.000000,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S04,PROJ-MERCATOR,S04,Buenos Aires,-58.38,-34.60,lon=-118..-32;lat=-56..33,0.999994,1.000006,1.475907,1.417239,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S05,PROJ-MERCATOR,S05,Santiago,-70.65,-33.46,lon=-118..-32;lat=-56..33,0.999994,1.000006,1.436774,1.379661,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S06,PROJ-MERCATOR,S06,Tierra del Fuego,-68.00,-54.00,lon=-118..-32;lat=-56..33,0.999985,1.000015,2.894471,2.779413,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
PROJ-MERCATOR-S07,PROJ-MERCATOR,S07,Tijuana corner,-117.00,32.50,lon=-118..-32;lat=-56..33,0.999994,1.000006,1.405867,1.349982,"0.25-degree central difference; J=[P_lambda/cos(phi),P_phi] in local unit-sphere orthonormal basis; spherical R=1; uniform canvas fit is not used in metrics"
