case_id,area,current_dataset_representation,current_site_representation,issue_type,claimants_or_status,map_a_references,map_b_references,current_risk,recommended_neutral_rendering,label_strategy,boundary_style,fill_strategy,interaction_strategy,legal_compliance_flag,USER_DECISION_REQUIRED,notes
RISK-11,"Southern United States in viewport 美国南部（窗内无几何）","USA feature excluded from the current selected file","Viewport can show blank area where a reader may expect land","completeness_clarity","Whether the selected L1 scope should include USA background is a USER scope decision; no external legal claim is needed","MAPSRC-01","MAPSRC-05","MEDIUM clarity risk: blank may be read as sea","C-4 must choose between an explicit out-of-scope explanation and a background feature; do not pre-commit either branch","No labels if kept out of scope; descriptive range note if shown","Normal neutral stroke if a background feature is selected","Neutral background fill","Never interactive in this package","NONE","C-4;C-8","The viewport/asset mismatch is repository evidence. The row remains conditional until C-8 and C-4 are decided."
RISK-12,"South Georgia 南乔治亚（窗内海域）","Not present in current selected file","Not rendered","out_of_scope","Territory status is CANNOT_VERIFY; current repository omission is verified","MAPSRC-01","MAPSRC-05","NONE for the selected 50m candidate scope","Keep out of the 50m candidate scope unless a later decision changes the scope","No label","Not applicable","Not applicable","No interaction","NONE","C-7;C-8","Do not describe the omission as proof of a political position; external status remains CANNOT_VERIFY."
RISK-13,"Guantanamo Bay 关塔那摩","Not represented at 110m/50m resolution","No separate depiction","lease_territory_note","Lease/status claims are CANNOT_VERIFY without a primary source capture","MAPSRC-01","MAPSRC-05","NONE at current resolution","Do not add a micro-boundary or status icon; revisit only with a higher-resolution scope decision","No special label","No micro-boundary","Neutral fill","No interaction","NONE","NONE","Current-resolution omission is repository evidence; external lease assertions are CANNOT_VERIFY."
RISK-14,"Navassa Island 纳瓦萨岛","Not present at current 110m/50m selection; a 10m candidate may contain a feature","No separate depiction","island_dispute","Claim/status history is CANNOT_VERIFY without a retained primary source","MAPSRC-01","MAPSRC-05","NONE at current resolution; conditional risk at 10m","Keep out at 50m; a future 10m change requires D-3 case review","No label unless a future descriptive policy is approved","No current boundary","Neutral fill","No interaction","CONDITIONAL","C-7;D-3","C-7 controls current keep-out; D-3 is the case-specific review if a future 10m asset is proposed."
RISK-15,"Suriname–Guyana New River Triangle 圭亚那-苏里南","De facto line in the current country geometry","Ordinary solid line","unresolved_delimitation","Claim and administration facts are CANNOT_VERIFY without retained primary sources","MAPSRC-01","MAPSRC-05;MAPSRC-10","LOW-MEDIUM","Retain the base line; decide any note/overlay per D-2/D-3; no claimant coloring","Standard labels only","Solid by default; D-2 controls overlay","Neutral fill","No dispute-specific interaction","CONDITIONAL","D-2;D-3;D-4","Do not use the generic disclaimer as a completed case decision; external facts remain CANNOT_VERIFY."
RISK-16,"Caribbean seven sovereign states 加勒比 7 个独立小国","Absent from current 110m selection","Not rendered","completeness_error","State membership and 50m feature claims require external source capture and are CANNOT_VERIFY here","MAPSRC-03","MAPSRC-05","MEDIUM: candidate L1 completeness gap","If C-6/C-8 select inclusion, add each 50m feature as neutral background; no L2 is implied","Chinese names from 10 NAME-31;NAME-32;NAME-33;NAME-34;NAME-35;NAME-36;NAME-37 after source review","Neutral stroke","Neutral no-content fill","L1 candidate; L2 only after content approval","NONE","C-6;C-8","The seven-member list is a candidate scope set, not a completed external verification; each name row remains CANNOT_VERIFY until a primary Chinese-name source is retained."
RISK-17,"Mexico–US / Mexico–Belize–Guatemala borders 墨西哥周边","Current land geometry contains ordinary de facto-looking lines","No special overlay","settled_reference_case","Treaty/settlement claims are CANNOT_VERIFY without retained primary source records","MAPSRC-01","MAPSRC-05","NONE at current scale","Use only as an ordinary-line reference case; do not infer legal completeness from appearance","Standard labels","Ordinary line","Neutral fill","No interaction","NONE","NONE","The repository rendering is verified; external settlement assertions remain CANNOT_VERIFY."
RISK-18,"Viewport naming of window title 地图 aria 描述","SVG description refers to real country boundaries and projected literary places","Description can become stale after a projection/scope change","description_accuracy","Repository source text is the evidence; no external fact is asserted","NONE","NONE","LOW","Update description and title only after the selected projection/scope is known","Use scope-neutral wording before C-8","Not applicable","Not applicable","No interaction","NONE","C-8","Repository-only issue; current text and the required update are directly inspectable; C-8 remains the scope prerequisite for the final wording."
RISK-19,"Belize–Honduras Sapodilla Cayes 伯利兹-洪都拉斯萨波迪亚礁（萨波蒂约礁）","50m visibility and feature membership are not established by a retained package snapshot","No independent rendering is recorded; visibility requires geometry QA","sovereignty_disputed + active_controversy","ICJ Case 185 and claimant/status details are CANNOT_VERIFY without a retained case-page or judgment snapshot","MAPSRC-01","MAPSRC-05","LOW-MEDIUM but unresolved until geometry is measured","First run geometry/visibility QA; if present, use de facto neutral display and the D-4 disclaimer; case-specific annotation/overlay requires D-3 and any line-style decision requires D-2","Descriptive dual reference only; no single-claimant label","Neutral by default; D-2 controls any overlay","Neutral fill","No interaction; future 10m change reopens D-3","CONDITIONAL","D-2;D-3;D-4","Correct mapping is the general dispute-style decision D-2 plus the case-specific decision D-3 and general disclosure D-4; do not use D-1. ICJ Case 185 URL/title/date are listed in 16, but the current procedural claim is CANNOT_VERIFY without a retained snapshot."
RISK-20,"Argentina–Chile Southern Patagonian Ice Field / Campo de Hielo Sur 南巴塔哥尼亚冰原（Fitz Roy–Cerro Daudet 段）","Current repository asset renders ARG/CHL as adjacent polygons with an ordinary shared line","Ordinary solid line can be read as completed delimitation; no unresolved-demarcation note","unresolved_demarcation + cartographic_neutrality","1998 agreement context; bilateral demarcation/cartographic work for the Fitz Roy–Cerro Daudet segment remains pending; this is not described as a war or adjudicated sovereignty dispute","MAPSRC-10","MAPSRC-05","MEDIUM-HIGH: an ordinary solid line may imply final boundary/demarcation completion","Retain the base line as a cartographic reference without claiming final demarcation or sovereign adjudication; any local note/line style requires D-2/D-3/D-4, and insufficient evidence means defer sensitive presentation","Standard Argentina/Chile labels; no sovereignty conclusion","Keep the base line; D-2 controls any local neutral marker","Neutral fill unchanged","No dispute-specific interaction","CONDITIONAL","D-2;D-3;D-4","Verified primary sources: Argentina MFA, https://cancilleria.gob.ar/es/actualidad/noticias/inventario-nacional-de-glaciares-en-la-zona-de-hielos-continentales, title Inventario Nacional de Glaciares en la zona de Hielos Continentales, retrieved 2026-09-07; Chile MFA, https://www.minrel.gob.cl/sala-de-prensa/comunicado-por-inventario-nacional-de-glaciares-de-argentina, title Comunicado por Inventario Nacional de Glaciares de Argentina, retrieved 2026-09-07. Both support pending bilateral demarcation/cartographic work; summarize only, do not treat the base line as a completed final delimitation."
