place_id,name,place_kind,reality_status,current_lat,current_lon,parent,current_role,verification_source,verified_lat,verified_lon,delta_km,render_px_x,render_px_y,in_viewbox,map_status,status,risk,recommendation
V1-ENT-0057,圣加布里埃尔,city,real,19.71223586,-103.75194482,V1-ENT-0051,author_geography,GeoNames 8582212 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/advanced-search.html?country=MX&q=M,19.71224,-103.75194,0.00,145.8,83.6,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0095,哥伦比亚,country,real,,,,author_geography/story_setting,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0096,古巴,country,real,,,,author_geography/story_setting,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0097,马孔多,fictional_place,fictional,,,V1-ENT-0095,fictional_setting/fictional_space,n/a,,,,,,n/a,featured,NO_COORDINATE_BY_DESIGN (fictional; builder-enforced),LOW,keep no-coordinate policy
V1-ENT-0098,阿卡塔卡,locality,real,10.591812,-74.189831,V1-ENT-0095,author_geography,GeoNames 3689759 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/search.html?country=CO&startRow=100,10.59181,-74.18983,0.00,448.3,141.0,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0123,智利,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0124,秘鲁,country,real,,,,author_geography/story_setting,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0125,利马,city,real,-12.0431819,-77.0282364,V1-ENT-0124,author_geography/story_setting,GeoNames 3936456 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/advanced-search.html?country=PE&q=L,-12.04318,-77.02824,0.00,419.2,283.4,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0126,阿雷基帕,city,real,-16.39899451,-71.53747065,V1-ENT-0124,author_geography,GeoNames 3947322 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/3947322/arequipa.html,-16.39899,-71.53747,0.00,475.4,310.8,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V1-ENT-0127,帕拉尔,city,real,-36.14311,-71.82605,V1-ENT-0123,author_geography,GeoNames 3877146 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://geonames.en-academic.com/76511/Parral; NOTE: cited URL is a GeoNames mirror (geonames.en-academic.com) — value verified EXACT vs geonames.org; replace with canonical URL,-36.14311,-71.82605,0.00,472.5,435.1,TRUE,hidden,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0128,圣地亚哥,city,real,-33.45693774,-70.64826965,V1-ENT-0123,author_geography,GeoNames 3871336 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/search.html?q=Santiago,-33.45694,-70.64827,0.00,484.5,418.2,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity.
V1-ENT-0129,马德里,city,real,40.41650209,-3.70256424,V2-GEO-ES,author_geography,GeoNames 3117735 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/advanced-search.html?q=madrid,40.41650,-3.70256,0.00,1169.6,-46.7,FALSE,eligible,PASS_EXACT_DELTA0,MEDIUM,A-2 PENDING: replace the search/mirror citation with the correct permanent GeoNames entity URL; do not change coordinates or entity identity. C-5 separately handles its out-of-view map entry.
V2-GEO-BR,巴西,country,real,,,,none,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,resolve BR duplicate: merge V2-GEO-BR/V1-ENT-0183 or re-parent Rio
V2-GEO-ES,西班牙,country,real,,,,none,n/a,,,,,,n/a,hidden,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0153,比库尼亚,city,real,-30.0354,-70.7127,V1-ENT-0123,author_geography,GeoNames 3868308 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://www.geonames.org/3868308/vicuna.html,-30.03541,-70.71274,0.00,483.9,396.6,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V1-ENT-0182,危地马拉,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0183,巴西,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,resolve BR duplicate: merge V2-GEO-BR/V1-ENT-0183 or re-parent Rio
V1-ENT-0196,乌拉圭,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0197,圣玛丽亚,fictional_place,fictional,,,,none,n/a,,,,,,n/a,hidden,NO_COORDINATE_BY_DESIGN (fictional; builder-enforced),LOW,keep no-coordinate policy
V1-ENT-0210,巴拉圭,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0235,尼加拉瓜,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0356,厄瓜多尔,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0357,委内瑞拉,country,real,,,,author_geography,n/a,,,,,,n/a,featured,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
V1-ENT-0370,布宜诺斯艾利斯,city,real,-34.61315,-58.37723,V1-ENT-0001,author_geography/story_setting,GeoNames 3435910 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://sws.geonames.org/3435910/about.rdf,-34.61315,-58.37723,0.00,610.1,425.4,TRUE,featured,PASS_EXACT_DELTA0,LOW,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V1-ENT-0371,蒙得维的亚,city,real,-34.90328,-56.18816,V1-ENT-0196,author_geography,GeoNames 3441575 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://sws.geonames.org/3441575/about.rdf,-34.90328,-56.18816,0.00,632.5,427.3,TRUE,featured,PASS_EXACT_DELTA0,LOW,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V1-ENT-0372,哈瓦那,city,real,23.13302,-82.38304,V1-ENT-0096,author_geography,GeoNames 3553478 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://sws.geonames.org/3553478/about.rdf,23.13302,-82.38304,0.00,364.5,62.1,TRUE,eligible,PASS_EXACT_DELTA0,LOW,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V1-ENT-0373,巴黎,city,real,48.85341,2.3488,V2-GEO-FR,story_setting,GeoNames 2988507 re-fetched via sws.geonames.org/about.rdf this session; project-cited URL type: https://sws.geonames.org/2988507/about.rdf,48.85341,2.34880,0.00,1231.5,-99.8,FALSE,eligible,PASS_EXACT_DELTA0,MEDIUM,A-2 PENDING: normalize the existing permanent GeoNames URL only; no source conversion or coordinate change.
V2-GEO-FR,法国,country,real,,,,none,n/a,,,,,,n/a,hidden,COUNTRY_POLYGON_REPRESENTATION (no point by design),LOW,-
