fact_id,origin_material_id,card_id,subject_id,fact_field,value_text,material_class,origin_id,confidence,admission_status,usage_note
V1-FCT-0020,A04-MAT-0020,V1-CARD-0004,V1-ENT-0004,one_sentence_summary,叙述者博尔赫斯在亡友贝亚特丽斯表兄达内里宅邸地窖得见“包罗一切空间点的”阿莱夫,fact,STG-FCT-0020,high,accepted_for_n2,
V1-FCT-0021,A04-MAT-0021,V1-CARD-0004,V1-ENT-0004,key_character,贝亚特丽斯·维特博、卡洛斯·阿亨蒂诺·达内里、博尔赫斯（叙述者）,fact,STG-FCT-0021,high,accepted_for_n2,
V1-FCT-0022,A04-MAT-0022,V1-CARD-0004,V1-ENT-0004,key_place,加雷街,fact,STG-FCT-0022,medium,accepted_for_n2,
V1-FCT-0023,A04-MAT-0023,V1-CARD-0004,V1-ENT-0004,bibliographic_note,卷首题词引《哈姆雷特》II.2 与《利维坦》IV.46；文末献词致 Estela Canto,fact,STG-FCT-0023,medium,accepted_for_n2,
V1-FCT-0024,A04-MAT-0024,V1-CARD-0004,V1-ENT-0004,research_note,Rosman 专论《Politics of the Name: On Borges's “El Aleph”》围绕命名、共同语言、翻译、文学共同体与国家身份解读（Codex 已独立复核，REVIEW 3.1）,research_note,STG-FCT-0024,medium,accepted_for_n2,
V1-FCT-0025,A04-MAT-0025,V1-CARD-0005,V1-ENT-0011,entity_layer,collection,fact,STG-FCT-0025,high,accepted_for_n2,
V1-FCT-0026,A04-MAT-0026,V1-CARD-0005,V1-ENT-0011,first_publication_year,1944,fact,STG-FCT-0026,high,accepted_for_n2,
V1-FCT-0027,A04-MAT-0027,V1-CARD-0005,V1-ENT-0011,genre_or_form,短篇作品集,fact,STG-FCT-0027,high,accepted_for_n2,
V1-FCT-0028,A04-MAT-0028,V1-CARD-0005,V1-ENT-0011,bibliographic_note,SRC-0007 页面记录：1944 初版、1956 修订,fact,STG-FCT-0028,medium,accepted_for_n2,
V1-FCT-0029,A04-MAT-0029,V1-CARD-0006,V1-ENT-0017,entity_layer,work,fact,STG-FCT-0031,high,accepted_for_n2,
V1-FCT-0030,A04-MAT-0030,V1-CARD-0006,V1-ENT-0017,first_publication_year,1973,fact,STG-FCT-0032,high,accepted_for_n2,
V1-FCT-0031,A04-MAT-0031,V1-CARD-0006,V1-ENT-0017,genre_or_form,官网列“Romance”；混合体裁、无常规情节（兼有小说/诗/日记/随笔碎片）,fact,STG-FCT-0033,medium,accepted_for_n2,
V1-FCT-0032,A04-MAT-0032,V1-CARD-0006,V1-ENT-0017,one_sentence_summary,据 1971 年手稿《Objeto gritante》改写；主题为时间与“当下瞬间”、沉默、创作与女性声音,fact,STG-FCT-0034,medium,accepted_for_n2,
V1-FCT-0033,A04-MAT-0033,V1-CARD-0006,V1-ENT-0017,bibliographic_note,源自更早专栏文字与《外国军团》中的文本,fact,STG-FCT-0035,medium,accepted_for_n2,
V1-FCT-0034,A04-MAT-0034,V1-CARD-0006,V1-ENT-0017,research_note,晚年写作《活水》期间开始绘画，与超越言语达至沉默的努力并提,research_note,STG-FCT-0036,medium,accepted_for_n2,
V1-FCT-0035,A04-MAT-0035,V1-CARD-0007,V1-ENT-0018,entity_layer,work,fact,STG-FCT-0037,high,accepted_for_n2,与 1985 年电影 adaptation 分层（REVIEW 3.3）
V1-FCT-0036,A04-MAT-0036,V1-CARD-0007,V1-ENT-0018,first_publication_year,1977,fact,STG-FCT-0038,high,accepted_for_n2,
V1-FCT-0037,A04-MAT-0037,V1-CARD-0007,V1-ENT-0018,genre_or_form,官网列“Novela”（中篇小说）,fact,STG-FCT-0039,medium,accepted_for_n2,
V1-FCT-0038,A04-MAT-0038,V1-CARD-0007,V1-ENT-0018,one_sentence_summary,东北部贫苦移民少女玛卡贝娅在里约被男友抛弃、遭友人背叛，叙述者罗德里戈·S.M. 反思书写她的故事,fact,STG-FCT-0040,high,accepted_for_n2,
V1-FCT-0039,A04-MAT-0039,V1-CARD-0007,V1-ENT-0018,key_character,玛卡贝娅、奥林皮科、格洛里娅、罗德里戈·S.M.,fact,STG-FCT-0041,medium,accepted_for_n2,
V1-FCT-0040,A04-MAT-0040,V1-CARD-0007,V1-ENT-0018,key_place,里约热内卢,fact,STG-FCT-0042,medium,accepted_for_n2,
V1-FCT-0041,A04-MAT-0041,V1-CARD-0007,V1-ENT-0018,research_note,社会参与文学的悖论化为“虚构面具”；叙述者之声与作家之声时分时合，贫穷人物始终沉默,research_note,STG-FCT-0043,medium,accepted_for_n2,
V1-FCT-0042,A04-MAT-0042,V1-CARD-0008,V1-ENT-0019,entity_layer,collection,fact,STG-FCT-0044,high,accepted_for_n2,13 篇短篇集；按试行 Schema §5 种子，最终命名待 N2
V1-FCT-0043,A04-MAT-0043,V1-CARD-0008,V1-ENT-0019,first_publication_year,1960,fact,STG-FCT-0045,high,accepted_for_n2,
V1-FCT-0044,A04-MAT-0044,V1-CARD-0008,V1-ENT-0019,genre_or_form,短篇集（13 篇）,fact,STG-FCT-0046,high,accepted_for_n2,
V1-FCT-0045,A04-MAT-0045,V1-CARD-0008,V1-ENT-0019,one_sentence_summary,从城市与家庭场景切入内心生活、家庭关系、沉默、姿态与揭示时刻,fact,STG-FCT-0047,medium,accepted_for_n2,
V1-FCT-0046,A04-MAT-0046,V1-CARD-0008,V1-ENT-0019,bibliographic_note,1961 年获 Jabuti 文学奖,fact,STG-FCT-0048,high,accepted_for_n2,
V1-FCT-0047,A04-MAT-0047,V1-CARD-0008,V1-ENT-0019,research_note,女性人物在 21 世纪仍具共鸣；网络语录多被去语境化，文章主张回到文本（fólio 百年诞辰专刊）,research_note,STG-FCT-0049,medium,accepted_for_n2,
V1-FCT-0048,A04-MAT-0048,V1-CARD-0003,V1-ENT-0003,first_publication_year,1941,fact,STG-FCT-0050,high,accepted_for_n2,Codex 权威来源补充
V1-FCT-0049,A04-MAT-0049,V1-CARD-0004,V1-ENT-0004,first_publication_year,1945,fact,STG-FCT-0051,high,accepted_for_n2,Codex 权威来源补充；替代候选实体中的 1949 误值
V1-FCT-0050,A04-MAT-0050,V1-CARD-0002,V1-ENT-0016,death_year,1977,fact,STG-FCT-0052,high,accepted_for_n2,Codex 权威来源补充
V1-FCT-0051,A04-MAT-0051,V1-CARD-0009,V1-ENT-0029,birth_year,1916,fact,B01-FCT-0001,high,batch_retained_candidate,12 月 11 日生于普埃布拉
V1-FCT-0052,A04-MAT-0052,V1-CARD-0009,V1-ENT-0029,death_year,1998,fact,B01-FCT-0002,high,batch_retained_candidate,8 月 22 日卒于库埃纳瓦卡
V1-FCT-0053,A04-MAT-0053,V1-CARD-0009,V1-ENT-0029,country_or_region,墨西哥,fact,B01-FCT-0003,high,batch_retained_candidate,
V1-FCT-0054,A04-MAT-0054,V1-CARD-0009,V1-ENT-0029,language,es,fact,B01-FCT-0004,high,batch_retained_candidate,
V1-FCT-0055,A04-MAT-0055,V1-CARD-0009,V1-ENT-0029,entity_layer,author,fact,B01-FCT-0005,high,batch_retained_candidate,
V1-FCT-0056,A04-MAT-0056,V1-CARD-0009,V1-ENT-0029,one_sentence_summary,墨西哥剧作家与小说家，以《未来的回忆》知名；1937 年与奥克塔维奥·帕斯结婚，1968 年后长期流亡,fact,B01-FCT-0006,high,batch_retained_candidate,
V1-FCT-0057,A04-MAT-0057,V1-CARD-0009,V1-ENT-0029,research_note,婚姻（1937-1959）与 1968 年特拉特洛尔科事件后流亡美国/法国约 20 年，1994 年前后返墨（词条）,research_note,B01-FCT-0007,medium,batch_retained_candidate,
V1-FCT-0058,A04-MAT-0058,V1-CARD-0009,V1-ENT-0029,bibliographic_note,奖项：Xavier Villaurrutia 1963、Grijalbo 小说奖 1981（词条）,bibliographic_note,B01-FCT-0008,medium,batch_retained_candidate,
V1-FCT-0059,A04-MAT-0059,V1-CARD-0013,V1-ENT-0030,birth_year,1925,fact,B01-FCT-0009,high,batch_retained_candidate,5 月 25 日生于墨西哥城
V1-FCT-0060,A04-MAT-0060,V1-CARD-0013,V1-ENT-0030,death_year,1974,fact,B01-FCT-0010,high,batch_retained_candidate,8 月 7 日卒于以色列特拉维夫
V1-FCT-0061,A04-MAT-0061,V1-CARD-0013,V1-ENT-0030,country_or_region,墨西哥,fact,B01-FCT-0011,high,batch_retained_candidate,
V1-FCT-0062,A04-MAT-0062,V1-CARD-0013,V1-ENT-0030,language,es,fact,B01-FCT-0012,high,batch_retained_candidate,
V1-FCT-0063,A04-MAT-0063,V1-CARD-0013,V1-ENT-0030,entity_layer,author,fact,B01-FCT-0013,high,batch_retained_candidate,
V1-FCT-0064,A04-MAT-0064,V1-CARD-0013,V1-ENT-0030,one_sentence_summary,墨西哥作家、外交官；幼年在恰帕斯科米坦度过；UNAM 攻读法律与哲学；曾任驻以色列大使,fact,B01-FCT-0014,high,batch_retained_candidate,
V1-FCT-0065,A04-MAT-0065,V1-CARD-0013,V1-ENT-0030,research_note,曾任 INI 编辑、UNAM 出版社主任、文哲系教授（词条）,research_note,B01-FCT-0015,medium,batch_retained_candidate,
V1-FCT-0066,A04-MAT-0066,V1-CARD-0013,V1-ENT-0030,bibliographic_note,奖项：Premio Chiapas 1958、Villaurrutia 1960、Sor Juana Inés de la Cruz 1962 等（词条）,bibliographic_note,B01-FCT-0016,medium,batch_retained_candidate,
V1-FCT-0067,A04-MAT-0067,V1-CARD-0017,V1-ENT-0031,birth_year,1917,fact,B01-FCT-0017,high,batch_retained_candidate,5 月 16 日生于阿普尔科（登记于萨尤拉）
V1-FCT-0068,A04-MAT-0068,V1-CARD-0017,V1-ENT-0031,death_year,1986,fact,B01-FCT-0018,high,batch_retained_candidate,1 月 7 日卒于墨西哥城
V1-FCT-0069,A04-MAT-0069,V1-CARD-0017,V1-ENT-0031,country_or_region,墨西哥,fact,B01-FCT-0019,high,batch_retained_candidate,
V1-FCT-0070,A04-MAT-0070,V1-CARD-0017,V1-ENT-0031,language,es,fact,B01-FCT-0020,high,batch_retained_candidate,
V1-FCT-0071,A04-MAT-0071,V1-CARD-0017,V1-ENT-0031,entity_layer,author,fact,B01-FCT-0021,high,batch_retained_candidate,
V1-FCT-0072,A04-MAT-0072,V1-CARD-0017,V1-ENT-0031,one_sentence_summary,墨西哥小说家与摄影师，以《佩德罗·巴拉莫》与《燃烧的原野》著称；童年历经革命与基督战争暴力,fact,B01-FCT-0022,high,batch_retained_candidate,
V1-FCT-0073,A04-MAT-0073,V1-CARD-0017,V1-ENT-0031,research_note,1952-1953 年墨西哥作家中心（Centro Mexicano de Escritores）奖学金期间完成两部代表作；曾任 INI 编辑（词条）,research_note,B01-FCT-0023,medium,batch_retained_candidate,
V1-FCT-0074,A04-MAT-0074,V1-CARD-0017,V1-ENT-0031,bibliographic_note,奖项：Xavier Villaurrutia 1955、国家文学奖 1970、阿斯图里亚斯亲王奖 1983（词条）,bibliographic_note,B01-FCT-0024,medium,batch_retained_candidate,
V1-FCT-0075,A04-MAT-0075,V1-CARD-0010,V1-ENT-0032,entity_layer,work,fact,B01-FCT-0025,high,batch_retained_candidate,
V1-FCT-0076,A04-MAT-0076,V1-CARD-0010,V1-ENT-0032,first_publication_year,1963,fact,B01-FCT-0026,high,batch_retained_candidate,Joaquín Mortiz（Novelistas Contemporáneos）
V1-FCT-0077,A04-MAT-0077,V1-CARD-0010,V1-ENT-0032,genre_or_form,长篇小说,fact,B01-FCT-0027,high,batch_retained_candidate,
V1-FCT-0078,A04-MAT-0078,V1-CARD-0010,V1-ENT-0032,one_sentence_summary,以村镇伊斯特佩克为全知叙述者，讲述革命后秩序幻灭与基督战争之灾；同年获 Xavier Villaurrutia 奖,fact,B01-FCT-0028,high,batch_retained_candidate,
V1-FCT-0079,A04-MAT-0079,V1-CARD-0010,V1-ENT-0032,key_character,弗朗西斯科·罗萨斯、胡利娅·安德拉德,fact,B01-FCT-0029,medium,batch_retained_candidate,
V1-FCT-0080,A04-MAT-0080,V1-CARD-0010,V1-ENT-0032,key_place,伊斯特佩克,fact,B01-FCT-0030,high,batch_retained_candidate,
V1-FCT-0081,A04-MAT-0081,V1-CARD-0010,V1-ENT-0032,research_note,RCL 论文以记忆/anámnesis 与历史真相解读；1968 年 Ripstein 电影改编（B01-SRC-0003/0004）,research_note,B01-FCT-0031,medium,batch_retained_candidate,
V1-FCT-0082,A04-MAT-0082,V1-CARD-0011,V1-ENT-0033,entity_layer,collection,fact,B01-FCT-0032,high,batch_retained_candidate,
V1-FCT-0083,A04-MAT-0083,V1-CARD-0011,V1-ENT-0033,first_publication_year,1964,fact,B01-FCT-0033,high,batch_retained_candidate,Universidad Veracruzana（Ficción 58）
V1-FCT-0084,A04-MAT-0084,V1-CARD-0011,V1-ENT-0033,genre_or_form,短篇集,fact,B01-FCT-0034,high,batch_retained_candidate,
V1-FCT-0085,A04-MAT-0085,V1-CARD-0011,V1-ENT-0033,one_sentence_summary,1964 年出版的短篇集，含《La culpa es de los tlaxcaltecas》,fact,B01-FCT-0035,medium,batch_retained_candidate,
V1-FCT-0086,A04-MAT-0086,V1-CARD-0012,V1-ENT-0034,entity_layer,work,fact,B01-FCT-0036,medium,batch_retained_candidate,
V1-FCT-0087,A04-MAT-0087,V1-CARD-0012,V1-ENT-0034,first_publication_year,1981,fact,B01-FCT-0037,medium,batch_retained_candidate,获 Grijalbo 小说奖；出版信息待核
V1-FCT-0088,A04-MAT-0088,V1-CARD-0012,V1-ENT-0034,genre_or_form,长篇小说,fact,B01-FCT-0038,medium,batch_retained_candidate,体裁表述待核
V1-FCT-0089,A04-MAT-0089,V1-CARD-0014,V1-ENT-0035,entity_layer,work,fact,B01-FCT-0039,high,batch_retained_candidate,
V1-FCT-0090,A04-MAT-0090,V1-CARD-0014,V1-ENT-0035,first_publication_year,1957,fact,B01-FCT-0040,high,batch_retained_candidate,FCE（Letras Mexicanas 36）
V1-FCT-0091,A04-MAT-0091,V1-CARD-0014,V1-ENT-0035,genre_or_form,长篇小说,fact,B01-FCT-0041,high,batch_retained_candidate,
V1-FCT-0092,A04-MAT-0092,V1-CARD-0014,V1-ENT-0035,one_sentence_summary,恰帕斯村镇中白人世界与 chontal 印第安世界的张力；1958 年获 Premio Chiapas（词条）,fact,B01-FCT-0042,medium,batch_retained_candidate,
V1-FCT-0093,A04-MAT-0093,V1-CARD-0014,V1-ENT-0035,key_place,恰帕斯,fact,B01-FCT-0043,medium,batch_retained_candidate,
V1-FCT-0094,A04-MAT-0094,V1-CARD-0014,V1-ENT-0035,research_note,LM 论文：暴力与语言的交织、书面语/口语错位、沉默作为暴力形式（B01-SRC-0008）,research_note,B01-FCT-0044,medium,batch_retained_candidate,
V1-FCT-0095,A04-MAT-0095,V1-CARD-0015,V1-ENT-0036,entity_layer,work,fact,B01-FCT-0045,high,batch_retained_candidate,
V1-FCT-0096,A04-MAT-0096,V1-CARD-0015,V1-ENT-0036,first_publication_year,1962,fact,B01-FCT-0046,high,batch_retained_candidate,Joaquín Mortiz
V1-FCT-0097,A04-MAT-0097,V1-CARD-0015,V1-ENT-0036,genre_or_form,长篇小说,fact,B01-FCT-0047,medium,batch_retained_candidate,体裁表述以作品页书目为据
V1-FCT-0098,A04-MAT-0098,V1-CARD-0016,V1-ENT-0037,entity_layer,collection,fact,B01-FCT-0048,high,batch_retained_candidate,
V1-FCT-0099,A04-MAT-0099,V1-CARD-0016,V1-ENT-0037,first_publication_year,1972,fact,B01-FCT-0049,high,batch_retained_candidate,FCE（Letras Mexicanas）
V1-FCT-0100,A04-MAT-0100,V1-CARD-0016,V1-ENT-0037,genre_or_form,诗集,fact,B01-FCT-0050,high,batch_retained_candidate,
V1-FCT-0101,A04-MAT-0101,V1-CARD-0016,V1-ENT-0037,bibliographic_note,副题 obra poética 1948-1971：收录 1948-1971 年诗作（作品页标题）,bibliographic_note,B01-FCT-0051,medium,batch_retained_candidate,
V1-FCT-0102,A04-MAT-0102,V1-CARD-0018,V1-ENT-0038,entity_layer,work,fact,B01-FCT-0052,high,batch_retained_candidate,
V1-FCT-0103,A04-MAT-0103,V1-CARD-0018,V1-ENT-0038,first_publication_year,1955,fact,B01-FCT-0053,high,batch_retained_candidate,1955 年 3 月 FCE（Letras Mexicanas 19）
V1-FCT-0104,A04-MAT-0104,V1-CARD-0018,V1-ENT-0038,genre_or_form,长篇小说,fact,B01-FCT-0054,high,batch_retained_candidate,
V1-FCT-0105,A04-MAT-0105,V1-CARD-0018,V1-ENT-0038,one_sentence_summary,Juan Preciado 赴科马拉寻父与考迪罗 Pedro Páramo 命运的双主线；村镇最终成为鬼村,fact,B01-FCT-0055,high,batch_retained_candidate,
V1-FCT-0106,A04-MAT-0106,V1-CARD-0018,V1-ENT-0038,key_character,胡安·普雷西亚多、佩德罗·巴拉莫（人物）,fact,B01-FCT-0056,high,batch_retained_candidate,
V1-FCT-0107,A04-MAT-0107,V1-CARD-0018,V1-ENT-0038,key_place,科马拉,fact,B01-FCT-0057,high,batch_retained_candidate,
V1-FCT-0108,A04-MAT-0108,V1-CARD-0018,V1-ENT-0038,research_note,LM 论文：70 个片段构成；片段 67 以十四句对话浓缩 1915-1929 年（B01-SRC-0012）,research_note,B01-FCT-0058,medium,batch_retained_candidate,
V1-FCT-0109,A04-MAT-0109,V1-CARD-0019,V1-ENT-0039,entity_layer,collection,fact,B01-FCT-0059,high,batch_retained_candidate,
V1-FCT-0110,A04-MAT-0110,V1-CARD-0019,V1-ENT-0039,first_publication_year,1953,fact,B01-FCT-0060,high,batch_retained_candidate,FCE（Letras Mexicanas 11）
V1-FCT-0111,A04-MAT-0111,V1-CARD-0019,V1-ENT-0039,genre_or_form,短篇集,fact,B01-FCT-0061,high,batch_retained_candidate,
V1-FCT-0112,A04-MAT-0112,V1-CARD-0019,V1-ENT-0039,one_sentence_summary,1953 年 FCE 出版；以哈利斯科乡村为背景的短篇集,fact,B01-FCT-0062,medium,batch_retained_candidate,篇数与篇目明细来源未提供，待补
V1-FCT-0113,A04-MAT-0113,V1-CARD-0020,V1-ENT-0040,entity_layer,work,fact,B01-FCT-0063,high,batch_retained_candidate,
V1-FCT-0114,A04-MAT-0114,V1-CARD-0020,V1-ENT-0040,composition_year,1958,bibliographic_note,B01-FCT-0064,high,batch_retained_candidate,1958 年写成（R1 拆行，REVIEW §3.3）
V1-FCT-0115,A04-MAT-0115,V1-CARD-0020,V1-ENT-0040,publication_year,1980,bibliographic_note,B01-FCT-0064,high,batch_retained_candidate,1980 年 Era 出版（R1 拆行，REVIEW §3.3）
V1-FCT-0116,A04-MAT-0116,V1-CARD-0020,V1-ENT-0040,genre_or_form,中篇小说/电影文本,fact,B01-FCT-0065,medium,batch_retained_candidate,体裁表述待核
V1-FCT-0117,A04-MAT-0117,V1-CARD-0021,V1-ENT-0072,country_or_region,哥伦比亚,fact,B02-FCT-0003,high,batch_retained_candidate,CVC：加勒比哥伦比亚村落 Aracataca 出生
V1-FCT-0118,A04-MAT-0118,V1-CARD-0021,V1-ENT-0072,language,es,fact,B02-FCT-0004,high,batch_retained_candidate,西语文学（CVC：“literatura en lengua española”）
V1-FCT-0119,A04-MAT-0119,V1-CARD-0021,V1-ENT-0072,entity_layer,author,fact,B02-FCT-0005,high,batch_retained_candidate,
V1-FCT-0120,A04-MAT-0120,V1-CARD-0021,V1-ENT-0072,one_sentence_summary,哥伦比亚小说家，1982 年诺贝尔文学奖得主，生于加勒比哥伦比亚阿卡塔卡，其故乡在马孔多名下进入文学,fact,B02-FCT-0006,high,batch_retained_candidate,CVC 数字展简介
V1-FCT-0121,A04-MAT-0121,V1-CARD-0021,V1-ENT-0072,research_note,诺贝尔奖获奖理由：小说与短篇把奇幻与现实结合于丰富想象世界，映照一个大陆的生活与冲突,research_note,B02-FCT-0007,high,batch_retained_candidate,NobelPrize.org 原文获奖理由
V1-FCT-0122,A04-MAT-0122,V1-CARD-0021,V1-ENT-0072,award,诺贝尔文学奖（1982）,fact,B02-FCT-0008,high,batch_retained_candidate,NobelPrize.org 1982 年文学奖
V1-FCT-0123,A04-MAT-0123,V1-CARD-0025,V1-ENT-0073,language,es,fact,B02-FCT-0012,high,batch_retained_candidate,西语文学
V1-FCT-0124,A04-MAT-0124,V1-CARD-0025,V1-ENT-0073,entity_layer,author,fact,B02-FCT-0013,high,batch_retained_candidate,
V1-FCT-0125,A04-MAT-0125,V1-CARD-0025,V1-ENT-0073,one_sentence_summary,科塔萨尔的叙事自早期小说起即对抗既定文学规范，《跳房子》揭示其对传统小说观念的突破，强调碎片叙事与读者的积极参与,fact,B02-FCT-0014,high,batch_retained_candidate,R1：仅保留 SRC-0007 明确支持部分；梦境/早期幻想拆至 FCT-0083
V1-FCT-0126,A04-MAT-0126,V1-CARD-0029,V1-ENT-0074,country_or_region,古巴,fact,B02-FCT-0017,high,batch_retained_candidate,RFRM 首句“El cubano Alejo Carpentier”
V1-FCT-0127,A04-MAT-0127,V1-CARD-0029,V1-ENT-0074,language,es,fact,B02-FCT-0018,high,batch_retained_candidate,西语文学
V1-FCT-0128,A04-MAT-0128,V1-CARD-0029,V1-ENT-0074,entity_layer,author,fact,B02-FCT-0019,high,batch_retained_candidate,
V1-FCT-0129,A04-MAT-0129,V1-CARD-0029,V1-ENT-0074,one_sentence_summary,古巴跨文化作家，为呈现拉美本质发展出 lo real maravilloso 与 neobarroco 等文学工具,fact,B02-FCT-0020,high,batch_retained_candidate,RFRM 论文判断
V1-FCT-0130,A04-MAT-0130,V1-CARD-0029,V1-ENT-0074,research_note,RFRM 论文视卡彭铁尔为“处于文化之间”的跨文化作者，Mackandal 人物体现神奇现实,research_note,B02-FCT-0021,high,batch_retained_candidate,Araújo Branco 2013
V1-FCT-0131,A04-MAT-0131,V1-CARD-0022,V1-ENT-0075,entity_layer,work,fact,B02-FCT-0022,high,batch_retained_candidate,
V1-FCT-0132,A04-MAT-0132,V1-CARD-0022,V1-ENT-0075,genre_or_form,长篇小说,fact,B02-FCT-0024,high,batch_retained_candidate,Javeriana：“la novela Cien años de soledad”
V1-FCT-0133,A04-MAT-0133,V1-CARD-0022,V1-ENT-0075,one_sentence_summary,Javeriana 论文认为作品伦理源自圣经神话并构成统一工具，借结构、人物与主题照见人性境况,fact,B02-FCT-0025,high,batch_retained_candidate,R1：删除无来源支持的“马孔多兴衰/家族史诗”表述
V1-FCT-0134,A04-MAT-0134,V1-CARD-0023,V1-ENT-0076,entity_layer,work,fact,B02-FCT-0027,high,batch_retained_candidate,
V1-FCT-0135,A04-MAT-0135,V1-CARD-0023,V1-ENT-0076,genre_or_form,中篇小说,fact,B02-FCT-0029,high,batch_retained_candidate,Encuentro：“la célebre novela”
V1-FCT-0136,A04-MAT-0136,V1-CARD-0023,V1-ENT-0076,one_sentence_summary,上校等待来信的漫长岁月：儿子死于革命活动、家宅抵押、以斗鸡为生，最终拒绝卖鸡并等待斗鸡之日,fact,B02-FCT-0030,high,batch_retained_candidate,Encuentro 摘要
V1-FCT-0137,A04-MAT-0137,V1-CARD-0023,V1-ENT-0076,key_character,上校;奥古斯丁,fact,B02-FCT-0031,high,batch_retained_candidate,
V1-FCT-0138,A04-MAT-0138,V1-CARD-0024,V1-ENT-0077,entity_layer,work,fact,B02-FCT-0032,high,batch_retained_candidate,
V1-FCT-0139,A04-MAT-0139,V1-CARD-0024,V1-ENT-0077,first_publication_year,1981,fact,B02-FCT-0033,high,batch_retained_candidate,Atenea 论文首页标注 (1981)
V1-FCT-0140,A04-MAT-0140,V1-CARD-0024,V1-ENT-0077,genre_or_form,小说（表面侦探小说结构）,fact,B02-FCT-0034,high,batch_retained_candidate,Atenea：“novela detectivesca”表面结构反讽
V1-FCT-0141,A04-MAT-0141,V1-CARD-0024,V1-ENT-0077,one_sentence_summary,以圣地亚哥·纳萨尔之死为中心的重构叙事；犯罪仅是前文本，真正探究导致其被复仇杀害的原始之罪,fact,B02-FCT-0035,high,batch_retained_candidate,
V1-FCT-0142,A04-MAT-0142,V1-CARD-0024,V1-ENT-0077,key_character,圣地亚哥·纳萨尔,fact,B02-FCT-0036,high,batch_retained_candidate,
V1-FCT-0143,A04-MAT-0143,V1-CARD-0026,V1-ENT-0078,entity_layer,work,fact,B02-FCT-0037,high,batch_retained_candidate,
