place_id,entity_id,name_zh,original_name,place_kind,reality_status,country_code,parent_place_id,latitude,longitude,coordinate_precision,coordinate_source_url,coordinate_retrieved_at,map_status,source_kind,classification_status,classification_source_url,classification_note
V1-ENT-0095,V1-ENT-0095,哥伦比亚,Colombia,country,real,CO,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?q=colombia,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=colombia,V1国家级文学关联节点；地图使用国家边界数据
V1-ENT-0096,V1-ENT-0096,古巴,Cuba,country,real,CU,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?country=CU&q=,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=CU&q=,V1国家级文学关联节点；地图使用国家边界数据
V1-ENT-0097,V1-ENT-0097,马孔多,Macondo,fictional_place,fictional,CO,V1-ENT-0095,,,none,,2026-08-11,featured,v1_entity,confirmed,,V1关系与描述明确标注为虚构城市；不使用哥伦比亚或阿卡塔卡坐标代替
V1-ENT-0098,V1-ENT-0098,阿卡塔卡,Aracataca,locality,real,CO,V1-ENT-0095,10.591812,-74.189831,locality_centroid,https://www.geonames.org/search.html?country=CO&startRow=100,2026-08-11,eligible,v1_entity,confirmed,https://mapcarta.com/Aracataca,GeoNames编号与公开地图聚合页一致；点位仅代表现实城镇
V1-ENT-0123,V1-ENT-0123,智利,Chile,country,real,CL,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?country=CL&q=,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=CL&q=,V1国家级文学关联节点；地图使用国家边界数据
V1-ENT-0124,V1-ENT-0124,秘鲁,Perú,country,real,PE,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?country=PE&q=,2026-08-11,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=PE&q=,V1国家级文学关联节点；地图使用国家边界数据
V1-ENT-0125,V1-ENT-0125,利马,Lima,city,real,PE,V1-ENT-0124,-12.0431819,-77.0282364,city_centroid,https://www.geonames.org/advanced-search.html?country=PE&q=Lima,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?country=PE&q=Lima,GeoNames城市点位
V1-ENT-0126,V1-ENT-0126,阿雷基帕,Arequipa,city,real,PE,V1-ENT-0124,-16.39899451,-71.53747065,city_centroid,https://www.geonames.org/3947322/arequipa.html,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/3947322/arequipa.html,GeoNames城市点位
V1-ENT-0127,V1-ENT-0127,帕拉尔,Parral,city,real,CL,V1-ENT-0123,-36.14311,-71.82605,city_centroid,https://geonames.en-academic.com/76511/Parral,2026-08-11,hidden,v1_entity,provisional,https://www.wikidata.org/wiki/Q51083,公开地理索引提供GeoNames ID与城市坐标；在补充智利官方地理来源前不进入公开地图
V1-ENT-0128,V1-ENT-0128,圣地亚哥,Santiago (de Chile),city,real,CL,V1-ENT-0123,-33.45693774,-70.64826965,city_centroid,https://www.geonames.org/search.html?q=Santiago,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/search.html?q=Santiago,GeoNames城市点位；限定为智利圣地亚哥
V1-ENT-0129,V1-ENT-0129,马德里,Madrid,city,real,ES,V2-GEO-ES,40.41650209,-3.70256424,city_centroid,https://www.geonames.org/advanced-search.html?q=madrid,2026-08-11,eligible,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=madrid,作者地理关系中的欧洲节点；保留以支持完整作者路径，不扩展拉美地图层
V2-GEO-BR,,巴西,Brazil,country,real,BR,,,,country_polygon_required,https://www.geonames.org/3469034/federative-republic-of-brazil.html,2026-08-11,hidden,technical_parent_node,confirmed,https://www.geonames.org/3469034/federative-republic-of-brazil.html,仅作为里约热内卢父级技术节点；不属于V1研究实体，不单独展示
V2-GEO-ES,,西班牙,Spain,country,real,ES,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?q=Spain,2026-08-11,hidden,technical_parent_node,confirmed,https://www.geonames.org/advanced-search.html?q=Spain,仅作为马德里父级技术节点；不属于V1研究实体，不单独展示
V1-ENT-0153,V1-ENT-0153,比库尼亚,Vicuña,city,real,CL,V1-ENT-0123,-30.0354,-70.7127,city_centroid,https://www.geonames.org/3868308/vicuna.html,2026-08-18,eligible,v1_entity,confirmed,https://www.geonames.org/3868308/vicuna.html,"米斯特拉尔出生地（诺贝尔官网 Born: 7 April 1889, Vicuña, Chile）；现实地点，坐标为 GeoNames 编号 3868308 点位（-30.0354,-70.7127，与 latitude.to 一致）；虚构规则不适用，坐标来源可回查"
V1-ENT-0182,V1-ENT-0182,危地马拉,Guatemala,country,real,GT,,,,country_polygon_required,https://www.geonames.org/3595528/republic-of-guatemala.html,2026-08-20,featured,v1_entity,confirmed,https://www.geonames.org/3595528/republic-of-guatemala.html,"WEB-CE-B02 新增正式国家节点；只承载阿斯图里亚斯作者地理关联，不把出生地或作品故事空间混为一谈"
V1-ENT-0183,V1-ENT-0183,巴西,Brazil,country,real,BR,,,,country_polygon_required,https://www.geonames.org/3469034/federative-republic-of-brazil.html,2026-08-20,featured,v1_entity,confirmed,https://www.geonames.org/3469034/federative-republic-of-brazil.html,"WEB-CE-B02 新增正式国家节点；旧 V2-GEO-BR 继续作为里约热内卢技术父级，不作为研究实体"
V1-ENT-0196,V1-ENT-0196,乌拉圭,Uruguay,country,real,UY,,,,country_polygon_required,https://www.geonames.org/3439705/uruguay.html,2026-08-20,featured,v1_entity,confirmed,https://www.geonames.org/3439705/uruguay.html,"WEB-CE-B03 新增正式国家节点；只承载奥内蒂作者地理关联，不把国家节点当作作品故事坐标"
V1-ENT-0197,V1-ENT-0197,圣玛丽亚,Santa María,fictional_place,fictional,,,,,none,,2026-08-20,hidden,v1_entity,confirmed,https://cvc.cervantes.es/literatura/escritores/onetti/santa_maria/default.htm,"WEB-CE-B03 虚构文学空间；CVC 页面称其为平行/想象世界，不设置现实经纬度"
V1-ENT-0210,V1-ENT-0210,巴拉圭,Paraguay,country,real,PY,,,,country_polygon_required,https://www.geonames.org/3437598/republic-of-paraguay.html,2026-08-20,featured,v1_entity,confirmed,https://www.geonames.org/3437598/republic-of-paraguay.html,"WEB-CE-B04 新增正式国家节点；只承载罗亚·巴斯托斯作者地理关联，不把作者生平地点或作品场景混为地图坐标"
V1-ENT-0235,V1-ENT-0235,尼加拉瓜,Nicaragua,country,real,NI,,,,country_polygon_required,https://www.geonames.org/countries/NI/nicaragua.html,2026-08-21,featured,v1_entity,confirmed,https://www.geonames.org/countries/NI/nicaragua.html,"WEB-CE-B06 新增正式国家节点；只承载达里奥作者地理关联，不把国家节点当作作品故事坐标"
V1-ENT-0356,V1-ENT-0356,厄瓜多尔,Ecuador,country,real,EC,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?q=Ecuador,2026-08-22,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=Ecuador,"WEB-CE-B17 新增正式国家节点；只承载伊卡萨作者地理关联，使用国家边界，不伪造中心坐标"
V1-ENT-0357,V1-ENT-0357,委内瑞拉,Venezuela,country,real,VE,,,,country_polygon_required,https://www.geonames.org/advanced-search.html?q=Venezuela,2026-08-22,featured,v1_entity,confirmed,https://www.geonames.org/advanced-search.html?q=Venezuela,"WEB-CE-B17 新增正式国家节点；只承载加列戈斯作者地理关联，使用国家边界，不伪造中心坐标"
