relation_id,v1_relationship_id,source_entity_id,source_name_zh,target_place_id,target_name_zh,relation_type,map_relation_role,space_kind,confidence,review_status,description_zh,source_reference
V2-GEO-REL-018,V1-REL-0067,V1-ENT-0114,马里奥·巴尔加斯·略萨,V1-ENT-0124,秘鲁,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,巴尔加斯·略萨与秘鲁关联,V1-REL-0067
V2-GEO-REL-019,V1-REL-0068,V1-ENT-0114,马里奥·巴尔加斯·略萨,V1-ENT-0125,利马,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,巴尔加斯·略萨与利马关联,V1-REL-0068
V2-GEO-REL-020,V1-REL-0069,V1-ENT-0114,马里奥·巴尔加斯·略萨,V1-ENT-0126,阿雷基帕,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,巴尔加斯·略萨与阿雷基帕关联,V1-REL-0069
V2-GEO-REL-021,V1-REL-0070,V1-ENT-0114,马里奥·巴尔加斯·略萨,V1-ENT-0129,马德里,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,巴尔加斯·略萨与马德里关联,V1-REL-0070
V2-GEO-REL-022,V1-REL-0071,V1-ENT-0115,巴勃罗·聂鲁达,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,聂鲁达与智利关联,V1-REL-0071
V2-GEO-REL-023,V1-REL-0072,V1-ENT-0115,巴勃罗·聂鲁达,V1-ENT-0127,帕拉尔,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,聂鲁达与帕拉尔关联,V1-REL-0072
V2-GEO-REL-024,V1-REL-0073,V1-ENT-0115,巴勃罗·聂鲁达,V1-ENT-0128,圣地亚哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted_at_n3,聂鲁达与圣地亚哥关联,V1-REL-0073
V2-GEO-REL-025,V1-REL-0075,V1-ENT-0075,《百年孤独》,V1-ENT-0097,马孔多,SET_IN,fictional_setting,fictional,high,accepted_at_n3,《百年孤独》的虚构城市为马孔多,V1-REL-0075
V2-GEO-REL-027,V1-REL-0083,V1-ENT-0148,加夫列拉·米斯特拉尔,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,米斯特拉尔与智利关联（生于智利、获奖时居留地 Chile）,V1-REL-0083
V2-GEO-REL-028,V1-REL-0084,V1-ENT-0148,加夫列拉·米斯特拉尔,V1-ENT-0153,比库尼亚,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,米斯特拉尔与出生地比库尼亚（Vicuña，Elqui 河谷）关联,V1-REL-0084
V2-GEO-REL-029,V1-REL-0088,V1-ENT-0059,奥克塔维奥·帕斯,V1-ENT-0056,墨西哥城,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,帕斯与墨西哥城关联（1914 年生于此地，1998 年卒于此地）,V1-REL-0088
V2-GEO-REL-030,V1-REL-0089,V1-ENT-0059,奥克塔维奥·帕斯,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,帕斯与墨西哥关联（获奖时居住国）,V1-REL-0089
V2-GEO-REL-031,V1-REL-0102,V1-ENT-0169,《奥拉》,V1-ENT-0056,墨西哥城,SET_IN,work_setting,real,medium,accepted,《奥拉》故事发生于墨西哥城一座终年昏暗的宅邸,SRC-0129
V2-GEO-REL-032,V1-REL-0112,V1-ENT-0170,米格尔·安赫尔·阿斯图里亚斯,V1-ENT-0182,危地马拉,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,阿斯图里亚斯与危地马拉关联（作者身份/生平来源）,SRC-0130
V2-GEO-REL-033,V1-REL-0113,V1-ENT-0171,伊莎贝尔·阿连德,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,阿连德与智利关联（作者身份/生平来源）,SRC-0134
V2-GEO-REL-034,V1-REL-0114,V1-ENT-0172,豪尔赫·亚马多,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,亚马多与巴西关联（作者身份/生平来源）,SRC-0138
V2-GEO-REL-035,V1-REL-0124,V1-ENT-0184,胡安·卡洛斯·奥内蒂,V1-ENT-0196,乌拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,奥内蒂与乌拉圭关联（作者身份来源）,SRC-0141
V2-GEO-REL-036,V1-REL-0125,V1-ENT-0185,何塞·多诺索,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,多诺索与智利关联（作者身份来源）,SRC-0144
V2-GEO-REL-037,V1-REL-0126,V1-ENT-0186,埃内斯托·萨瓦托,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,萨瓦托与阿根廷关联（作者身份来源）,SRC-0148
V2-GEO-REL-038,V1-REL-0137,V1-ENT-0198,阿道夫·比奥伊·卡萨雷斯,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,比奥伊·卡萨雷斯与阿根廷关联（作者身份来源）,SRC-0153
V2-GEO-REL-039,V1-REL-0138,V1-ENT-0199,奥古斯托·罗亚·巴斯托斯,V1-ENT-0210,巴拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,罗亚·巴斯托斯与巴拉圭关联（作者身份来源）,SRC-0157
V2-GEO-REL-040,V1-REL-0139,V1-ENT-0200,奥拉西奥·基罗加,V1-ENT-0196,乌拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,基罗加与乌拉圭关联（作者身份来源）,SRC-0162
V2-GEO-REL-041,V1-REL-0149,V1-ENT-0211,马查多·德·阿西斯,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,马查多·德·阿西斯与巴西关联（作者身份来源）,SRC-0165
V2-GEO-REL-042,V1-REL-0150,V1-ENT-0212,若昂·吉马朗埃斯·罗萨,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,若昂·吉马朗埃斯·罗萨与巴西关联（作者身份来源）,SRC-0168
V2-GEO-REL-043,V1-REL-0151,V1-ENT-0213,格拉西利亚诺·拉莫斯,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,格拉西利亚诺·拉莫斯与巴西关联（作者身份来源）,SRC-0174
V2-GEO-REL-044,V1-REL-0161,V1-ENT-0223,塞萨尔·巴列霍,V1-ENT-0124,秘鲁,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,塞萨尔·巴列霍与秘鲁关联（作者身份来源）,SRC-0177
V2-GEO-REL-045,V1-REL-0162,V1-ENT-0224,鲁文·达里奥,V1-ENT-0235,尼加拉瓜,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,鲁文·达里奥与尼加拉瓜关联（作者身份来源）,SRC-0181
V2-GEO-REL-046,V1-REL-0163,V1-ENT-0225,何塞·马蒂,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,何塞·马蒂与古巴关联（作者身份来源）,SRC-0183
V2-GEO-REL-047,V1-REL-0173,V1-ENT-0236,尼卡诺尔·帕拉,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,尼卡诺尔·帕拉与智利关联（作者身份来源）,SRC-0188
V2-GEO-REL-048,V1-REL-0174,V1-ENT-0237,阿莱杭德拉·皮扎尼克,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,阿莱杭德拉·皮扎尼克与阿根廷关联（作者身份来源）,SRC-0191
V2-GEO-REL-049,V1-REL-0175,V1-ENT-0238,马里奥·贝内德蒂,V1-ENT-0196,乌拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,马里奥·贝内德蒂与乌拉圭关联（作者身份来源）,SRC-0194
V2-GEO-REL-050,V1-REL-0185,V1-ENT-0248,何塞·玛丽亚·阿格达斯,V1-ENT-0124,秘鲁,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,何塞·玛丽亚·阿格达斯与秘鲁关联（作者身份来源）,SRC-0197
V2-GEO-REL-051,V1-REL-0186,V1-ENT-0249,塞尔希奥·皮托尔,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,塞尔希奥·皮托尔与墨西哥关联（作者身份来源）,SRC-0200
V2-GEO-REL-052,V1-REL-0187,V1-ENT-0250,胡安·何塞·阿雷奥拉,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,胡安·何塞·阿雷奥拉与墨西哥关联（作者身份来源）,SRC-0202
V2-GEO-REL-053,V1-REL-0197,V1-ENT-0260,埃莱娜·波尼亚托夫斯卡,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,埃莱娜·波尼亚托夫斯卡与墨西哥关联（作者身份来源）,SRC-0207
V2-GEO-REL-054,V1-REL-0198,V1-ENT-0261,何塞·埃米利奥·帕切科,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,何塞·埃米利奥·帕切科与墨西哥关联（作者身份来源）,SRC-0209
V2-GEO-REL-055,V1-REL-0199,V1-ENT-0262,罗贝托·波拉尼奥,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,罗贝托·波拉尼奥与智利关联（作者身份来源）,SRC-0211
V2-GEO-REL-056,V1-REL-0209,V1-ENT-0272,爱德华多·加莱亚诺,V1-ENT-0196,乌拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,爱德华多·加莱亚诺与乌拉圭关联（作者身份来源）,SRC-0215
V2-GEO-REL-057,V1-REL-0210,V1-ENT-0273,里卡多·皮格利亚,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,里卡多·皮格利亚与阿根廷关联（作者身份来源）,SRC-0218
V2-GEO-REL-058,V1-REL-0211,V1-ENT-0274,塞萨尔·艾拉,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,塞萨尔·艾拉与阿根廷关联（作者身份来源）,SRC-0220
V2-GEO-REL-059,V1-REL-0221,V1-ENT-0284,曼努埃尔·普伊格,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,曼努埃尔·普伊格与阿根廷关联（作者身份来源）,SRC-0225
V2-GEO-REL-060,V1-REL-0222,V1-ENT-0285,西尔维娜·奥坎波,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,西尔维娜·奥坎波与阿根廷关联（作者身份来源）,SRC-0227
V2-GEO-REL-061,V1-REL-0223,V1-ENT-0286,罗贝托·阿尔特,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,罗贝托·阿尔特与阿根廷关联（作者身份来源）,SRC-0229
V2-GEO-REL-062,V1-REL-0233,V1-ENT-0296,萨曼塔·施韦布林,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,萨曼塔·施韦布林与阿根廷关联（作者身份来源）,SRC-0231
V2-GEO-REL-063,V1-REL-0234,V1-ENT-0297,玛丽安娜·恩里克斯,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,玛丽安娜·恩里克斯与阿根廷关联（作者身份来源）,SRC-0235
V2-GEO-REL-064,V1-REL-0235,V1-ENT-0298,亚历杭德罗·桑布拉,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,亚历杭德罗·桑布拉与智利关联（作者身份来源）,SRC-0239
V2-GEO-REL-065,V1-REL-0245,V1-ENT-0308,保罗·柯艾略,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,保罗·柯艾略与巴西关联（作者身份来源）,SRC-0241
V2-GEO-REL-066,V1-REL-0246,V1-ENT-0309,卡洛斯·德鲁蒙德·德·安德拉德,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,卡洛斯·德鲁蒙德·德·安德拉德与巴西关联（作者身份来源）,SRC-0244
V2-GEO-REL-067,V1-REL-0247,V1-ENT-0310,尼古拉斯·纪廉,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,尼古拉斯·纪廉与古巴关联（作者身份来源；B14 复审纠正国家节点）,SRC-0246
V2-GEO-REL-068,V1-REL-0257,V1-ENT-0320,何塞·莱萨马·利马,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,何塞·莱萨马·利马与古巴关联（作者身份来源）,SRC-0248
V2-GEO-REL-069,V1-REL-0258,V1-ENT-0321,吉列尔莫·卡夫雷拉·因凡特,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,吉列尔莫·卡夫雷拉·因凡特与古巴关联（作者身份来源）,SRC-0249
V2-GEO-REL-070,V1-REL-0259,V1-ENT-0322,索尔·胡安娜·伊内斯·德·拉·克鲁斯,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,索尔·胡安娜·伊内斯·德·拉·克鲁斯与墨西哥关联（作者身份来源）,SRC-0251
V2-GEO-REL-071,V1-REL-0269,V1-ENT-0332,胡利奥·拉蒙·里贝罗,V1-ENT-0124,秘鲁,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,胡利奥·拉蒙·里贝罗与秘鲁关联（作者身份来源）,SRC-0254
V2-GEO-REL-072,V1-REL-0270,V1-ENT-0333,胡安·何塞·萨埃尔,V1-ENT-0001,阿根廷,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,胡安·何塞·萨埃尔与阿根廷关联（作者身份来源）,SRC-0256
V2-GEO-REL-073,V1-REL-0271,V1-ENT-0334,雷纳尔多·阿雷纳斯,V1-ENT-0096,古巴,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,雷纳尔多·阿雷纳斯与古巴关联（作者身份来源）,SRC-0260
V2-GEO-REL-074,V1-REL-0281,V1-ENT-0344,路易斯·塞普尔维达,V1-ENT-0123,智利,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,路易斯·塞普尔维达与智利关联（作者身份来源）,SRC-0262
V2-GEO-REL-075,V1-REL-0282,V1-ENT-0345,瓜达卢佩·内特尔,V1-ENT-0051,墨西哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,瓜达卢佩·内特尔与墨西哥关联（作者身份来源）,SRC-0263
V2-GEO-REL-076,V1-REL-0283,V1-ENT-0346,克里斯蒂娜·佩里·罗西,V1-ENT-0196,乌拉圭,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,克里斯蒂娜·佩里·罗西与乌拉圭关联（作者身份来源）,SRC-0267
V2-GEO-REL-077,V1-REL-0293,V1-ENT-0358,莉吉娅·法贡德斯·特莱斯,V1-ENT-0183,巴西,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,莉吉娅·法贡德斯·特莱斯与巴西关联（作者身份来源）,SRC-0270
V2-GEO-REL-078,V1-REL-0294,V1-ENT-0359,豪尔赫·伊卡萨,V1-ENT-0356,厄瓜多尔,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,豪尔赫·伊卡萨与厄瓜多尔关联（作者身份来源）,SRC-0274
V2-GEO-REL-079,V1-REL-0295,V1-ENT-0360,罗慕洛·加列戈斯,V1-ENT-0357,委内瑞拉,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,罗慕洛·加列戈斯与委内瑞拉关联（作者身份来源）,SRC-0275
V2-GEO-REL-080,V1-REL-0296,V1-ENT-0171,伊莎贝尔·阿连德,V1-ENT-0125,利马,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,伊莎贝尔·阿连德与出生地利马关联,V1-REL-0296
V2-GEO-REL-081,V1-REL-0297,V1-ENT-0261,何塞·埃米利奥·帕切科,V1-ENT-0056,墨西哥城,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,何塞·埃米利奥·帕切科与出生地墨西哥城关联,V1-REL-0297
V2-GEO-REL-082,V1-REL-0298,V1-ENT-0262,罗贝托·波拉尼奥,V1-ENT-0128,圣地亚哥,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,罗贝托·波拉尼奥与出生地圣地亚哥关联,V1-REL-0298
V2-GEO-REL-083,V1-REL-0299,V1-ENT-0211,马查多·德·阿西斯,V1-ENT-0022,里约热内卢,ASSOCIATED_WITH_PLACE,author_geography,real,medium,accepted,马查多·德·阿西斯与出生地里约热内卢关联,V1-REL-0299
V2-GEO-REL-084,V1-REL-0300,V1-ENT-0198,阿道夫·比奥伊·卡萨雷斯,V1-ENT-0370,布宜诺斯艾利斯,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,阿道夫·比奥伊·卡萨雷斯与出生地布宜诺斯艾利斯关联,V1-REL-0300
V2-GEO-REL-085,V1-REL-0301,V1-ENT-0285,西尔维娜·奥坎波,V1-ENT-0370,布宜诺斯艾利斯,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,西尔维娜·奥坎波与出生地布宜诺斯艾利斯关联,V1-REL-0301
V2-GEO-REL-086,V1-REL-0302,V1-ENT-0184,胡安·卡洛斯·奥内蒂,V1-ENT-0371,蒙得维的亚,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,胡安·卡洛斯·奥内蒂与出生地蒙得维的亚关联,V1-REL-0302
V2-GEO-REL-087,V1-REL-0303,V1-ENT-0272,爱德华多·加莱亚诺,V1-ENT-0371,蒙得维的亚,ASSOCIATED_WITH_PLACE,author_geography,real,high,accepted,爱德华多·加莱亚诺与出生地蒙得维的亚关联,V1-REL-0303
V2-GEO-REL-088,V1-REL-0304,V1-ENT-0225,何塞·马蒂,V1-ENT-0372,哈瓦那,ASSOCIATED_WITH_PLACE,author_geography,real,medium,accepted,何塞·马蒂与出生地哈瓦那关联,V1-REL-0304
V2-GEO-REL-089,V1-REL-0305,V1-ENT-0078,《跳房子》,V1-ENT-0370,布宜诺斯艾利斯,SET_IN,story_setting,real,high,accepted,《跳房子》的故事空间包含布宜诺斯艾利斯,V1-REL-0305
V2-GEO-REL-090,V1-REL-0306,V1-ENT-0078,《跳房子》,V1-ENT-0373,巴黎,SET_IN,story_setting,real,high,accepted,《跳房子》的故事空间包含巴黎,V1-REL-0306
V2-GEO-REL-091,V1-REL-0307,V1-ENT-0146,《最明净的地区》,V1-ENT-0056,墨西哥城,SET_IN,story_setting,real,high,accepted,《最明净的地区》的故事空间为墨西哥城,V1-REL-0307
V2-GEO-REL-092,V1-REL-0308,V1-ENT-0081,《光明世纪》,V1-ENT-0096,古巴,SET_IN,story_setting,real,high,accepted,《光明世纪》的故事空间包含十八世纪末的古巴,V1-REL-0308
